word,tfidf_score,talk_frequency,global_frequency
nikki,0.039702,13,53
shining,0.021378,7,22
radiating,0.018639,8,51
metta,0.018383,12,445
goodwill,0.018152,16,427
category,0.016585,8,72
imagery,0.015658,5,23
friendliness,0.014512,7,163
sentient,0.014141,4,12
jerry,0.013961,3,7
brighter,0.011665,4,23
kindness,0.011630,15,530
lovely,0.011535,8,117
dolphin,0.010545,2,2
linda,0.010545,2,2
fragrant,0.010545,2,2
holly,0.010545,2,2
sarah,0.010545,2,2
fish,0.009933,3,15
chat,0.009883,6,95
ah,0.009526,6,109
brightly,0.009308,2,4
lisa,0.009308,2,3
spreading,0.008826,4,59
playful,0.008749,3,20
embracing,0.008749,3,32
neil,0.008583,2,8
moon,0.008229,3,26
sharing,0.008085,5,135
snow,0.008070,2,24
wishing,0.007461,5,113
love,0.007438,25,1487
awakened,0.007417,4,92
light,0.007352,9,411
bill,0.007346,2,10
shine,0.007196,3,61
reading,0.007149,5,108
recipient,0.006832,2,11
rain,0.006535,3,69
contact,0.006478,5,219
wish,0.006361,10,450
plant,0.006295,3,62
rose,0.006263,2,17
blanket,0.006263,2,12
sangha,0.006237,4,231
swim,0.006108,2,20
reflection,0.006081,5,212
ocean,0.006005,3,84
smiling,0.005833,2,19
swimming,0.005833,2,19
walking,0.005760,5,219
seed,0.005743,3,88
driver,0.005594,2,26
visual,0.005486,2,24
invite,0.005485,4,158
cultivation,0.005393,3,108
hurting,0.005384,2,26
sea,0.005287,2,27
sending,0.005287,2,33
morose,0.005273,1,1
magician,0.005273,1,1
vitalized,0.005273,1,1
bellowing,0.005273,1,1
fishy,0.005273,1,1
shark,0.005273,1,1
well-wishes,0.005273,1,1
shrimp,0.005273,1,1
eel,0.005273,1,1
orb,0.005273,1,1
enthusiastically,0.005273,1,1
semi-truck,0.005273,1,1
tinkerbell,0.005273,1,1
fun,0.005234,3,103
receiving,0.005084,3,152
well-wishing,0.005026,2,33
drawn,0.005026,2,29
landing,0.004946,2,33
east,0.004946,2,33
warm,0.004896,3,90
released,0.004870,2,33
goodness,0.004793,6,466
radiate,0.004727,2,37
fly,0.004727,2,33
song,0.004727,2,49
everywhere,0.004720,3,98
especially,0.004668,5,202
joyous,0.004654,1,2
porch,0.004654,1,2
sweetie,0.004654,1,2
moonlight,0.004654,1,3
symbolism,0.004654,1,2
fairy,0.004654,1,2
flew,0.004654,1,3
gaia,0.004654,1,2
fighting,0.004595,2,56
showed,0.004595,2,46
fight,0.004413,2,44
invitation,0.004326,3,132
happy-making,0.004292,1,3
whomever,0.004292,1,3
gonna,0.004292,1,9
colorful,0.004292,1,3
joyfully,0.004292,1,3
vicarious,0.004292,1,4
sprinkling,0.004292,1,4
jesse,0.004292,1,3
switched,0.004292,1,3
circular,0.004292,1,4
naturalness,0.004292,1,4
co-create,0.004292,1,3
unto,0.004292,1,4
heavy,0.004248,2,50
judge,0.004196,2,51
fantastic,0.004097,2,52
downwards,0.004035,1,4
soak,0.004035,1,6
swear,0.004035,1,8
dear,0.003914,2,124
petal,0.003836,1,6
