word,tfidf_score,talk_frequency,global_frequency
mudita,0.036367,12,85
envy,0.033870,10,43
joy,0.026902,33,965
evolutionary,0.023569,6,16
laughing,0.020972,5,18
seattle,0.020368,4,6
acceptance,0.019081,7,72
tu,0.018767,3,3
anh,0.016564,3,9
acceptable,0.015276,3,6
unacceptable,0.015276,3,6
conditioning,0.014937,6,63
jealousy,0.013548,4,40
resentment,0.012775,4,31
sympathetic,0.012601,5,61
sins,0.012511,2,2
impairs,0.012511,2,2
amoeba,0.011043,2,3
deadly,0.011043,2,3
unhappiness,0.010616,3,21
childhood,0.010161,3,20
ego,0.009609,4,86
policy,0.009102,2,7
controlled,0.008715,2,7
aching,0.008389,2,8
anguttara,0.008106,2,14
annoying,0.007856,2,12
success,0.007753,3,61
sufficient,0.007633,2,12
delighting,0.007431,2,16
abodes,0.007292,3,51
antidote,0.007247,2,18
egoic,0.007247,2,17
favorite,0.007124,3,57
evolution,0.007077,2,16
welfare,0.006965,3,99
tricky,0.006920,2,19
trace,0.006920,2,20
fortune,0.006774,2,34
public,0.006774,2,26
forces,0.006741,3,83
divine,0.006600,3,69
faces,0.006509,2,21
history,0.006399,3,64
matthewbrensilver,0.006256,1,1
birthed,0.006256,1,1
earthling,0.006256,1,1
nitpicking,0.006256,1,1
modification,0.006256,1,1
carrot,0.006256,1,1
commanded,0.006256,1,1
complicity,0.006256,1,1
authorities,0.006256,1,1
consolidated,0.006256,1,1
pandora,0.006256,1,1
granddaughter,0.006256,1,1
uproariously,0.006256,1,1
illegitimate,0.006256,1,1
reflex,0.006256,1,1
snap,0.006256,1,1
gluttony,0.006256,1,1
wrath,0.006256,1,1
deify,0.006256,1,1
sufferers,0.006256,1,1
manifold,0.006256,1,1
mates,0.006256,1,1
contest,0.006256,1,1
forebears,0.006256,1,1
matthieu,0.006256,1,1
ricard,0.006256,1,1
salah,0.006256,1,1
collaborators,0.006256,1,1
wealth,0.006164,2,42
nikaya,0.006164,2,53
delight,0.006148,4,201
game,0.005778,2,47
