word,tfidf_score,talk_frequency,global_frequency
equanimity,0.028536,15,460
costly,0.026762,4,8
cognitively,0.020071,3,5
compassion,0.019967,16,697
purify,0.016890,4,34
unstimulated,0.016407,2,2
compulsive,0.015096,3,12
displace,0.014498,2,3
helplessness,0.014343,3,20
divine,0.013421,3,25
opt,0.013381,2,4
unconsciousness,0.013381,2,4
post,0.012444,3,24
zoom,0.012092,4,82
cocoon,0.011974,2,7
sustainable,0.010679,2,11
passivity,0.010354,2,15
govern,0.009801,2,15
mostly,0.009407,4,103
cost,0.009341,2,24
sleep,0.009166,3,73
calendar,0.008947,2,21
abide,0.008701,3,155
care,0.008454,20,1655
reward,0.008445,2,22
dimitra,0.008204,1,1
treasurer,0.008204,1,1
bhaso,0.008204,1,1
meditation-naive,0.008204,1,1
interchangeable,0.008204,1,1
distill,0.008204,1,1
cross-check,0.008204,1,1
codependent,0.008204,1,1
zigzag,0.008204,1,1
empathy,0.008155,2,93
refine,0.008155,2,32
youtube,0.008052,3,82
influence,0.008052,3,87
samsara,0.007540,2,42
highly,0.007432,2,34
design,0.007328,2,32
weary,0.007249,1,2
nancy,0.007249,1,3
julie,0.007249,1,11
kevin,0.007249,1,2
endlessness,0.007249,1,2
berkeley,0.007249,1,2
grizzle,0.007249,1,2
nihilistic,0.007249,1,2
apathetic,0.007249,1,2
blaze,0.006690,1,4
ungovernability,0.006690,1,3
backstory,0.006690,1,3
efficiently,0.006690,1,3
inefficient,0.006690,1,5
eliot,0.006690,1,5
persuasive,0.006690,1,4
warm,0.006608,3,124
impulse,0.006460,2,66
rest,0.006365,9,559
collapse,0.006315,2,55
incarnate,0.006294,1,4
lure,0.006294,1,6
detachment,0.006294,1,6
stimulation,0.006294,1,4
balance,0.006110,3,233
gig,0.005987,1,5
mismatch,0.005987,1,5
technological,0.005987,1,6
nihilism,0.005987,1,9
ajahn,0.005983,2,108
dukkha,0.005837,3,410
description,0.005801,2,67
totally,0.005801,2,98
silent,0.005743,2,112
edit,0.005736,1,6
paul,0.005736,1,7
undefended,0.005736,1,6
