word,tfidf_score,talk_frequency,global_frequency
doubt,0.031407,35,169
poem,0.019472,23,411
circle,0.018855,23,159
hopeless,0.016439,8,13
matty,0.012960,5,6
weingast,0.012960,5,6
bodily,0.012706,12,110
signature,0.011266,5,8
critic,0.011027,7,52
hall,0.010275,8,48
confess,0.009897,5,11
hesitation,0.009283,5,19
nun,0.008797,6,66
vasetthi,0.008793,3,3
orbit,0.008576,4,14
vacillation,0.008576,4,11
woman,0.008224,8,174
hindrance,0.007843,8,208
somatic,0.007426,4,19
clark,0.006863,7,312
partly,0.006335,7,90
diana,0.006281,7,372
draw,0.005993,6,97
assure,0.005938,3,9
awaken,0.005936,11,447
throat,0.005769,4,33
physical,0.005535,9,219
match,0.005428,4,45
instead,0.005370,14,478
somebody,0.005355,8,363
authority,0.005278,4,38
restlessness,0.005206,4,76
elder,0.005030,3,19
literature,0.004820,3,25
ascribe,0.004788,2,4
type,0.004729,6,190
company,0.004553,3,30
stuckness,0.004506,2,11
gee,0.004506,2,5
write,0.004467,8,251
forever,0.004413,4,73
heaviness,0.004398,3,41
voice,0.004375,5,116
thousand,0.004322,4,69
therigatha,0.004288,2,6
questioner,0.004278,4,258
uncomfortable,0.003941,5,211
undermine,0.003905,3,36
poet,0.003853,3,52
truth,0.003830,7,536
show,0.003576,10,572
shoulder,0.003564,6,220
lump,0.003517,2,15
straight,0.003496,3,51
loneliness,0.003432,2,31
stick,0.003420,5,196
solve,0.003382,3,80
attribute,0.003214,2,23
meditative,0.003177,3,77
figure,0.003118,5,228
consequence,0.003114,3,72
disconnect,0.003114,3,100
whether,0.003112,8,331
handle,0.003091,2,24
number,0.002950,5,222
original,0.002932,2,52
feminine,0.002931,1,1
motherhood,0.002931,1,1
victor,0.002931,1,1
reinvent,0.002931,1,1
subpersonality,0.002931,1,1
distractedness,0.002931,1,1
untold,0.002931,1,1
philosophize,0.002931,1,1
hmph,0.002931,1,1
non-truth,0.002931,1,1
finally,0.002923,4,156
teacher,0.002922,8,581
round,0.002885,2,34
map,0.002885,2,41
asleep,0.002839,2,32
mention,0.002796,4,160
dog,0.002796,2,42
despair,0.002796,2,53
terrible,0.002787,3,126
chance,0.002756,4,164
inadequate,0.002754,2,33
achieve,0.002754,2,36
stuff,0.002736,4,194
else,0.002697,10,579
smile,0.002669,3,152
distract,0.002659,4,166
believe,0.002641,6,355
onto,0.002625,3,97
there'll,0.002603,2,35
shameful,0.002592,1,2
twitchy,0.002592,1,3
austere,0.002592,1,2
vacillate,0.002592,1,2
jitteriness,0.002592,1,2
identifiable,0.002592,1,2
hilarious,0.002592,1,2
kindhearted,0.002592,1,2
mathematician,0.002592,1,2
loving-kindness,0.002582,3,187
book,0.002566,4,272
meditate,0.002563,9,538
beauty,0.002561,3,167
line,0.002548,4,230
recognize,0.002524,9,700
read,0.002501,6,444
busy,0.002459,3,102
tightness,0.002459,3,119
experience,0.002426,46,3247
embody,0.002402,3,173
inner,0.002399,6,540
audio,0.002394,1,3
worthiness,0.002394,1,4
buddy,0.002394,1,3
fetishize,0.002394,1,3
manager,0.002394,1,3
preschool,0.002394,1,4
physicist,0.002394,1,3
recess,0.002394,1,3
parse,0.002394,1,3
descriptor,0.002394,1,3
abandon,0.002331,2,104
outside,0.002312,4,211
wonder,0.002311,3,150
grab,0.002305,2,77
activate,0.002279,2,86
interpretation,0.002254,2,59
furrow,0.002253,1,6
adjective,0.002253,1,11
matter,0.002246,5,303
trap,0.002230,2,79
problem,0.002218,4,310
rain,0.002207,2,100
turn,0.002168,9,703
path,0.002161,6,1006
helpful,0.002156,5,597
notice,0.002119,10,1251
jump,0.002118,2,65
ear,0.002097,2,77
hear,0.002057,8,937
start,0.002056,23,1571
anywhere,0.002056,2,67
momentum,0.002056,2,91
skeptical,0.002055,1,10
bleed,0.002055,1,6
nasty,0.002055,1,6
brow,0.002055,1,8
flash,0.002055,1,15
congeal,0.002055,1,6
old,0.002037,3,202
