word,tfidf_score,talk_frequency,global_frequency
welfare,0.023344,17,99
harm,0.020329,24,422
wisdom,0.018060,34,537
generosity,0.012713,13,256
interpersonal,0.012232,5,15
envelope,0.010934,3,3
pillow,0.010614,4,13
generative,0.010165,4,10
abstain,0.009786,4,20
diminish,0.009063,6,57
newspaper,0.008907,4,16
volunteer,0.008313,5,57
generous,0.008239,6,92
wise,0.007938,13,432
paramis,0.007908,4,22
well-being,0.007880,13,545
care,0.007607,39,1588
renunciation,0.007366,5,69
five-week,0.007289,2,2
stress,0.007280,9,260
model,0.007024,5,75
ethical,0.006803,6,195
inside,0.006705,15,429
lifer,0.006436,2,4
virtuous,0.006196,3,28
remarkable,0.006042,4,53
theater,0.005936,2,5
intoxication,0.005936,2,7
zen,0.005885,5,136
cause,0.005759,10,374
sexual,0.005495,3,46
embodiment,0.005495,3,27
conduct,0.005400,3,32
steal,0.005400,3,50
self-harm,0.005307,2,6
read,0.005157,10,421
murder,0.005083,2,9
reference,0.004972,5,143
wholeness,0.004943,4,147
cooky,0.004893,2,28
joy,0.004858,10,925
lap,0.004728,2,9
avoid,0.004693,5,170
stressful,0.004651,3,49
relationship,0.004644,10,488
inward,0.004590,3,44
offend,0.004583,2,10
benefit,0.004565,7,253
rearrange,0.004454,2,14
mutual,0.004336,2,21
kill,0.004314,3,121
sleep,0.004119,3,69
transform,0.004074,3,81
buddhism,0.004061,7,515
perfection,0.003875,2,30
sensitivity,0.003822,3,95
path,0.003771,8,796
action,0.003723,5,320
they'd,0.003663,2,26
question-answer,0.003645,1,1
stereotypical,0.003645,1,1
hallmark-y,0.003645,1,1
non-obligatory,0.003645,1,1
rationality,0.003645,1,1
obligatory,0.003645,1,1
unvirtuous,0.003645,1,1
clearance,0.003645,1,1
carpool,0.003645,1,1
kuan,0.003645,1,1
yin,0.003645,1,1
unselfconsciously,0.003645,1,1
professionalism,0.003645,1,1
unwaveringness,0.003645,1,1
well-born,0.003645,1,1
gift,0.003636,4,147
require,0.003551,4,146
instinct,0.003540,2,51
person,0.003530,14,1064
source,0.003388,4,340
meet,0.003336,8,600
ritual,0.003325,2,60
wisely,0.003230,2,31
they've,0.003167,3,96
abstract,0.003142,2,41
phenomenal,0.003142,2,46
learn,0.003118,13,759
purpose,0.003116,4,266
son,0.003101,2,83
practical,0.003060,2,41
master,0.003060,2,54
consider,0.003031,5,273
definition,0.003021,2,49
mystical,0.002968,1,3
lighten,0.002968,1,3
fracture,0.002968,1,3
quentin,0.002968,1,5
shawl,0.002968,1,3
west,0.002911,2,54
impulse,0.002876,2,65
block,0.002876,2,68
finger,0.002842,2,45
privacy,0.002791,1,5
stingy,0.002791,1,4
positivity,0.002791,1,4
hedonistic,0.002791,1,5
tire,0.002746,2,82
mother,0.002686,2,96
profound,0.002663,3,207
live,0.002655,13,1127
restrain,0.002654,1,7
thorough,0.002654,1,5
interpersonally,0.002654,1,5
breakfast,0.002654,1,6
lawyer,0.002654,1,5
deprivation,0.002654,1,8
pleasure,0.002647,4,697
step,0.002636,5,394
positive,0.002629,2,72
school,0.002629,2,95
focus,0.002621,6,597
others,0.002573,14,1054
inner,0.002559,5,456
criticism,0.002541,1,6
exceptional,0.002541,1,6
someone,0.002527,7,601
lie,0.002522,3,164
heady,0.002446,1,9
supernatural,0.002446,1,11
border,0.002446,1,10
book,0.002445,3,248
break,0.002390,3,188
half,0.002377,2,97
miserable,0.002364,1,16
misconduct,0.002364,1,18
