word,tfidf_score,talk_frequency,global_frequency
contentment,0.023398,76,284
desire,0.021276,146,738
mushroom,0.011920,15,17
latte,0.011715,12,12
holiday,0.009940,18,39
soon,0.009117,33,138
fictitious,0.008786,9,9
christmas,0.007356,12,25
lonely,0.007356,12,26
helpful,0.007047,48,561
loneliness,0.006958,12,28
crave,0.006674,25,272
curiosity,0.006245,18,99
it'll,0.006173,21,99
uplift,0.006128,15,84
list,0.006127,27,269
underneath,0.006116,18,86
outcome,0.006095,12,36
fantasy,0.005992,18,87
ambition,0.005981,12,32
apathy,0.005891,9,17
half-caf,0.005858,6,6
pumpkin,0.005858,6,6
spice,0.005858,6,6
car,0.005542,18,135
respect,0.005489,24,208
clark,0.005380,16,281
freedom,0.005259,45,597
skinny,0.005170,6,7
biochemistry,0.005170,6,7
bliss,0.005105,12,61
belief,0.004997,21,280
diana,0.004880,16,333
loan,0.004768,6,8
promotion,0.004768,6,9
okay,0.004680,66,1126
spaciousness,0.004618,15,214
acknowledge,0.004533,15,93
learner,0.004482,6,9
fuel,0.004397,12,89
honor,0.004348,12,81
money,0.004300,12,75
eliminate,0.004261,6,10
fleet,0.004261,6,10
season,0.004187,9,34
subtle,0.004148,24,372
promise,0.004058,9,41
oppose,0.004035,12,78
oh,0.003943,52,1322
cute,0.003927,6,15
pump,0.003927,6,14
lack,0.003915,12,91
celebrate,0.003883,9,58
wholesome,0.003839,18,349
underlie,0.003828,9,64
pretend,0.003726,9,47
card,0.003678,6,19
z,0.003678,6,17
pay,0.003613,18,214
fine,0.003598,15,150
distinguish,0.003584,9,50
y,0.003574,6,21
addict,0.003574,6,17
lead,0.003524,24,526
harmful,0.003496,9,74
machine,0.003479,6,18
enormously,0.003479,6,17
yep,0.003479,6,21
harm,0.003458,15,418
chase,0.003455,9,62
well-being,0.003421,21,536
object,0.003402,18,294
compulsion,0.003393,6,26
disconnection,0.003393,6,20
great,0.003356,54,904
questioner,0.003335,9,228
x,0.003313,6,26
ease,0.003306,27,522
bodily,0.003261,9,100
pleasurable,0.003171,6,29
demonstrate,0.003107,6,26
avoid,0.003022,12,169
hungry,0.002937,6,51
heaviness,0.002937,6,33
human,0.002937,30,532
year-round,0.002929,3,3
clickity-click-click,0.002929,3,3
valorization,0.002929,3,3
rhizome,0.002929,3,3
fungi,0.002929,3,3
grande,0.002929,3,3
burrito,0.002929,3,3
financially,0.002929,3,3
ecologically,0.002929,3,3
electric,0.002929,3,3
gregarious,0.002929,3,3
fantastical,0.002929,3,3
pejorative,0.002929,3,3
unloved,0.002929,3,3
gingerbread,0.002929,3,3
not-so-wholesome,0.002929,3,3
hurdle,0.002929,3,3
graduate,0.002886,6,55
match,0.002792,6,41
promote,0.002747,6,38
contraction,0.002745,9,91
idea,0.002724,71,1572
wish,0.002722,30,566
gesture,0.002705,6,42
apparently,0.002705,6,39
energy,0.002702,18,439
liberation,0.002695,9,113
art,0.002695,9,133
that'll,0.002665,6,32
weird,0.002626,6,41
cultivate,0.002593,15,447
shop,0.002588,6,46
rap,0.002585,3,4
temperament,0.002585,3,4
ginormous,0.002585,3,4
brownie,0.002585,3,4
juiciness,0.002585,3,7
cupcake,0.002585,3,4
biochemist,0.002585,3,4
overestimate,0.002585,3,4
peppermint,0.002585,3,5
booby,0.002585,3,4
nag,0.002585,3,4
disinterest,0.002585,3,4
bullet,0.002585,3,4
spacey,0.002585,3,4
completely,0.002555,15,248
inclination,0.002552,6,44
color,0.002552,6,62
whether,0.002452,18,303
hot,0.002420,6,62
lightness,0.002389,6,74
sorrow,0.002389,6,51
newsletter,0.002384,3,7
whoa,0.002384,3,6
rainy,0.002384,3,5
cigarette,0.002384,3,6
certification,0.002384,3,5
obtain,0.002384,3,6
extroverted,0.002384,3,5
disengagement,0.002384,3,5
fogginess,0.002384,3,5
type,0.002382,9,178
wonder,0.002343,9,139
particular,0.002341,21,431
cause,0.002337,15,371
label,0.002276,6,83
amazon,0.002241,3,6
awry,0.002241,3,6
barista,0.002241,3,6
furrow,0.002241,3,6
peace,0.002231,21,619
often,0.002201,45,1059
finally,0.002176,9,148
disconnect,0.002174,6,85
nice,0.002159,24,541
eradicate,0.002131,3,7
kusala,0.002131,3,8
heedlessness,0.002131,3,9
gamble,0.002131,3,10
alcohol,0.002131,3,7
tidy,0.002131,3,7
long-term,0.002131,3,32
grandchild,0.002131,3,7
treadmill,0.002131,3,7
blob,0.002131,3,7
pleasure,0.002121,12,694
school,0.002104,6,95
source,0.002091,9,308
i'll,0.002061,37,831
intersection,0.002040,3,9
harmless,0.002040,3,11
impressive,0.002040,3,9
cooky,0.002040,3,27
impress,0.002040,3,9
surely,0.002040,3,10
hedonic,0.002040,3,8
retire,0.002040,3,9
brow,0.002040,3,8
happy,0.002039,45,809
radical,0.002018,6,82
significant,0.001997,6,69
walk,0.001982,15,534
relief,0.001977,6,95
neat,0.001964,3,10
earn,0.001964,3,9
normalize,0.001964,3,11
secure,0.001964,3,9
excellence,0.001964,3,11
gut,0.001964,3,14
fun,0.001938,6,103
cling,0.001912,12,532
drive,0.001905,9,190
phd,0.001897,3,14
evaporate,0.001897,3,13
prize,0.001897,3,11
oppression,0.001897,3,12
instead,0.001894,15,439
happiness,0.001879,15,811
stop,0.001879,15,454
fast,0.001865,6,96
mom,0.001839,3,15
