word,tfidf_score,talk_frequency,global_frequency
friendliness,0.073945,58,177
friendly,0.055510,46,122
goodwill,0.026767,38,496
attitude,0.018042,26,290
metta,0.013566,14,453
well-wishing,0.012395,8,46
kindness,0.010649,22,538
belong,0.010314,10,103
24th,0.009744,4,8
december,0.009332,4,13
act,0.008954,14,316
animosity,0.008682,4,12
primary,0.008085,10,158
neighbor,0.007650,6,60
bar,0.007584,4,22
simple,0.007565,24,704
danger,0.007564,6,72
hospital,0.007114,4,43
radiance,0.006977,4,23
punitive,0.006692,2,2
re-member,0.006692,2,2
belonger,0.006692,2,2
half,0.006546,6,97
appropriate,0.006519,8,170
strange,0.006362,6,70
shine,0.006105,4,61
theravada,0.006105,4,51
emphasize,0.006079,8,159
alternative,0.005970,6,108
cognate,0.005908,2,3
streak,0.005908,2,3
accumulation,0.005908,2,3
weight,0.005666,6,150
ethic,0.005477,4,140
buddhism,0.005326,10,515
door,0.005255,6,153
difficult,0.005249,10,325
matter,0.005210,10,286
foundation,0.005171,6,164
motivation,0.004987,4,75
compassionate,0.004932,4,71
purchase,0.004872,2,6
suspicion,0.004872,2,8
cooperative,0.004872,2,9
warmhearted,0.004872,2,7
universally,0.004872,2,6
applicable,0.004872,2,6
align,0.004584,4,83
mitta,0.004492,2,14
sneak,0.004492,2,9
oneself,0.004389,6,177
substantial,0.004341,2,11
somatic,0.004341,2,18
pebble,0.004341,2,10
abuse,0.004341,2,11
sum,0.004208,2,11
yes,0.004168,8,380
half-smile,0.004089,2,12
exclude,0.003981,2,17
anukampa,0.003981,2,29
breathe,0.003877,20,2454
loving-kindness,0.003876,4,185
aspect,0.003867,7,269
towards,0.003858,10,480
naive,0.003708,2,23
low,0.003682,4,135
receive,0.003672,6,368
across,0.003651,4,151
basic,0.003651,4,130
ancient,0.003651,4,141
public,0.003630,2,26
grocery,0.003630,2,25
everyone,0.003593,10,446
gaze,0.003591,4,152
generosity,0.003591,4,256
care,0.003581,20,1588
pond,0.003557,2,31
disciple,0.003557,2,20
theory,0.003489,2,59
small,0.003489,8,387
may,0.003427,42,2171
silently,0.003424,2,25
total,0.003424,2,28
exchange,0.003363,2,23
classically,0.003363,2,24
reassure,0.003363,2,30
realization,0.003363,2,37
profound,0.003260,4,207
include,0.003208,8,384
lip,0.003197,2,32
ripple,0.003197,2,32
meditators,0.003197,2,26
aversive,0.003147,2,34
couch,0.003147,2,29
grand,0.003147,2,37
accessible,0.003099,2,32
swim,0.003099,2,40
tenderness,0.003053,2,57
general,0.003039,4,168
ordinary,0.003039,4,188
set,0.003036,6,310
compassion,0.003036,6,675
approach,0.003016,4,275
anger,0.002993,4,350
outward,0.002966,2,36
sacrifice,0.002966,2,49
reply,0.002966,2,47
awareness,0.002918,10,1247
inward,0.002809,2,44
corner,0.002809,2,41
nurture,0.002809,2,41
capable,0.002809,2,39
commitment,0.002773,2,56
store,0.002739,2,52
sentence,0.002739,2,44
foundational,0.002705,2,49
basis,0.002672,2,54
drop,0.002655,4,270
someone,0.002651,8,601
safe,0.002596,10,420
evoke,0.002579,2,68
comfortable,0.002577,4,211
harmony,0.002550,2,115
subject,0.002550,2,108
friendship,0.002550,2,126
least,0.002540,4,202
generous,0.002521,2,92
distance,0.002493,2,59
direct,0.002448,4,270
monastic,0.002439,2,107
tradition,0.002430,4,330
modern,0.002413,2,75
recently,0.002413,2,55
bone,0.002388,2,64
closely,0.002388,2,53
peaceful,0.002369,6,402
floor,0.002363,2,75
treat,0.002363,2,64
love,0.002289,15,1737
participate,0.002269,2,117
man,0.002269,2,137
heart,0.002257,18,1666
animal,0.002247,2,118
real,0.002226,4,227
always,0.002224,10,717
posture,0.002214,8,594
form,0.002208,6,443
wonderful,0.002208,6,485
youtube,0.002203,2,78
social,0.002203,2,117
extend,0.002182,2,76
translation,0.002182,2,105
bad,0.002146,4,452
stage,0.002121,2,125
text,0.002121,2,123
spot,0.002121,2,116
discomfort,0.002101,2,127
ethical,0.002082,2,195
society,0.002082,2,132
ill,0.002063,2,139
repeat,0.002063,2,81
affect,0.002063,2,99
smile,0.002044,2,144
contribute,0.002044,2,99
pas,0.002044,2,89
surprise,0.002026,2,88
trouble,0.002008,2,91
possible,0.001988,6,510
torso,0.001955,2,116
fear,0.001951,4,501
quietly,0.001938,2,94
protect,0.001938,2,107
light,0.001936,4,462
cushion,0.001889,2,115
keep,0.001875,10,806
english,0.001872,2,111
support,0.001870,8,928
chair,0.001857,2,105
nourish,0.001857,2,119
touch,0.001844,6,493
front,0.001841,2,114
express,0.001841,2,144
day,0.001835,14,989
careful,0.001811,2,122
warm,0.001811,2,120
fourth,0.001811,2,154
buddhist,0.001797,6,815
pick,0.001766,2,119
difficulty,0.001766,2,212
expression,0.001724,2,124
warmth,0.001724,2,155
theme,0.001724,2,123
word,0.001692,18,1319
spread,0.001669,2,235
land,0.001669,2,166
balance,0.001656,2,231
finally,0.001656,2,149
require,0.001630,2,146
turn,0.001616,6,674
grind,0.001592,2,162
community,0.001580,2,355
yesterday,0.001567,2,158
happy,0.001546,10,840
control,0.001543,2,267
meet,0.001531,4,600
base,0.001520,2,212
old,0.001508,2,200
pretty,0.001508,2,175
open,0.001505,12,1195
eye,0.001501,6,617
train,0.001497,2,299
high,0.001485,2,238
line,0.001474,2,215
image,0.001474,2,207
ask,0.001472,4,667
nothing,0.001460,4,464
common,0.001452,2,164
purpose,0.001430,2,266
figure,0.001430,2,218
field,0.001419,2,251
offer,0.001417,6,668
place,0.001392,14,1576
morning,0.001392,4,390
value,0.001378,2,214
meditate,0.001370,4,497
alive,0.001357,2,188
others,0.001350,8,1054
foot,0.001337,2,229
gentle,0.001337,2,257
connect,0.001336,4,658
answer,0.001327,2,245
choose,0.001298,2,246
fill,0.001298,2,223
idea,0.001292,10,1586
people,0.001285,28,3207
remember,0.001279,3,388
delight,0.001270,2,291
challenge,0.001260,2,299
buddha,0.001254,6,1777
translate,0.001251,2,243
soft,0.001251,2,246
wish,0.001229,4,577
tend,0.001224,2,225
certainly,0.001224,2,204
pleasure,0.001215,2,697
situation,0.001206,2,316
put,0.001202,6,795
able,0.001147,4,610
free,0.001138,6,730
mean,0.001123,10,1429
enter,0.001097,2,375
home,0.001089,2,253
late,0.001081,2,269
fact,0.001081,2,235
emotion,0.001073,2,385
stay,0.001019,4,814
fronsdal,0.001012,2,270
reason,0.001004,2,270
true,0.001004,2,389
teach,0.001000,6,1396
world,0.000975,16,2334
assume,0.000968,2,230
step,0.000968,2,394
nature,0.000961,2,395
inner,0.000940,2,456
whether,0.000933,2,305
welcome,0.000928,8,692
person,0.000926,4,1064
guide,0.000918,7,876
next,0.000917,4,610
everything,0.000908,4,881
close,0.000904,6,651
minute,0.000892,2,343
joy,0.000892,2,925
friend,0.000872,2,536
quite,0.000872,4,686
full,0.000846,2,325
calm,0.000840,2,801
enough,0.000819,4,733
gently,0.000814,2,398
i'd,0.000790,2,426
link,0.000767,4,507
space,0.000766,2,704
quiet,0.000760,2,622
hand,0.000736,2,474
gil,0.000719,2,411
peace,0.000713,2,632
within,0.000690,2,524
every,0.000685,2,489
lot,0.000677,10,1504
leave,0.000674,2,469
try,0.000674,6,1260
appreciate,0.000657,2,568
dharma,0.000641,2,838
together,0.000634,4,1021
rather,0.000630,2,511
dharmette,0.000630,2,318
else,0.000630,2,545
today,0.000594,4,831
especially,0.000594,1,203
year,0.000563,2,821
mindfulness,0.000563,2,952
last,0.000558,2,514
body,0.000542,10,3238
without,0.000540,4,957
suffer,0.000534,2,1632
many,0.000524,5,1071
well,0.000502,4,1325
okay,0.000491,2,1128
another,0.000440,2,747
learn,0.000440,2,759
become,0.000433,8,1735
thank,0.000427,6,1167
back,0.000427,6,1479
great,0.000427,2,911
happen,0.000417,6,2047
look,0.000412,4,1416
week,0.000401,2,710
might,0.000393,10,2112
whatever,0.000390,4,1184
still,0.000388,2,785
hold,0.000379,2,1003
life,0.000377,10,2727
live,0.000375,2,1127
bite,0.000362,4,1484
help,0.000354,2,853
understand,0.000350,2,1194
sometimes,0.000345,6,1848
often,0.000337,2,1064
good,0.000328,10,2445
work,0.000317,2,1346
present,0.000309,2,1195
bring,0.000293,2,1164
end,0.000292,4,1089
different,0.000285,4,1883
away,0.000278,2,1003
use,0.000266,2,1166
want,0.000226,6,2968
information,0.000217,2,405
begin,0.000213,2,1414
around,0.000202,2,1126
practice,0.000201,10,3716
sit,0.000190,4,1473
would,0.000181,2,1958
even,0.000170,10,1850
sense,0.000138,4,2910
moment,0.000135,2,1823
u,0.000129,12,3291
part,0.000129,2,1601
time,0.000122,16,2834
experience,0.000122,2,3049
mind,0.000121,6,4488
thing,0.000121,6,4774
make,0.000112,4,2377
find,0.000105,2,1649
think,0.000046,6,5868
feel,0.000037,12,6172
ai-generated,0.000000,1,374
transcript,0.000000,1,377
auto-generated,0.000000,1,374
subtitle,0.000000,1,375
video,0.000000,1,393
meditation,0.000000,21,3415
likely,0.000000,1,466
contain,0.000000,3,405
inaccuracy,0.000000,1,374
follow,0.000000,2,699
talk,0.000000,8,2392
give,0.000000,4,1870
insight,0.000000,2,1665
center,0.000000,10,1099
redwood,0.000000,2,421
city,0.000000,2,479
california,0.000000,2,432
please,0.000000,14,559
visit,0.000000,2,462
website,0.000000,2,441
www,0.000000,2,389
audiodharma,0.000000,2,389
org,0.000000,2,404
