word,tfidf_score,talk_frequency,global_frequency
compassion,0.026940,41,717
cycles,0.023974,9,24
suffering,0.021373,67,1656
sukha,0.015983,6,45
aspiration,0.014567,7,58
empathy,0.011806,5,78
tonglen,0.011499,3,8
sending,0.011407,5,38
witness,0.011407,5,38
channeled,0.010811,3,6
joy,0.009819,16,965
beirut,0.009418,2,2
softened,0.008391,3,15
magnitude,0.008313,2,3
clean,0.007641,5,103
dukkha,0.007459,8,565
friendliness,0.007356,5,205
suffer,0.007288,5,133
disentangle,0.007207,2,5
greetings,0.007084,3,24
rightness,0.006525,3,32
unnecessary,0.006333,3,34
motivated,0.006333,3,35
anukampā,0.006102,2,29
mixed,0.006102,2,12
dissolve,0.006072,3,40
drag,0.005594,2,19
distress,0.005489,3,59
adding,0.005303,3,71
happiness,0.005234,9,846
offer,0.004985,8,342
exhaling,0.004900,2,21
karuṇā,0.004809,2,34
breathing,0.004788,14,1992
organizing,0.004722,2,60
responsibility,0.004722,2,27
lapping,0.004709,1,1
somalia,0.004709,1,1
bombing,0.004709,1,1
mediterranean,0.004709,1,1
yugoslavia,0.004709,1,1
trieste,0.004709,1,1
correspondence,0.004709,1,1
outlet,0.004709,1,1
aspects,0.004413,4,164
entangled,0.004350,2,37
tibetan,0.004222,2,63
seasonal,0.004156,1,2
respiration,0.004156,1,2
tenderized,0.004156,1,2
tenderizing,0.004156,1,2
sings,0.004156,1,2
witnessing,0.004156,1,2
lengthy,0.004156,1,2
vaster,0.004156,1,3
enormity,0.004156,1,2
1980s,0.004156,1,2
refugee,0.004156,1,2
seriousness,0.004156,1,2
disentangling,0.004156,1,6
bottled,0.004156,1,2
horrendous,0.004156,1,2
breathe,0.004093,6,408
mettā,0.004048,2,184
stuck,0.003998,3,122
added,0.003994,2,48
bear,0.003994,2,36
wish,0.003854,6,397
thawing,0.003833,1,3
magazine,0.003833,1,3
israeli,0.003833,1,4
camps,0.003833,1,6
ts,0.003833,1,4
discouragement,0.003833,1,4
simpler,0.003703,2,68
moved,0.003703,2,51
scars,0.003604,1,4
cooperative,0.003604,1,8
percentage,0.003604,1,5
savior,0.003604,1,5
photographs,0.003604,1,5
shoulds,0.003604,1,6
serve,0.003575,2,78
heavy,0.003575,2,57
love,0.003494,13,1507
chats,0.003426,1,5
