word,tfidf_score,talk_frequency,global_frequency
love,0.019483,84,1723
equanimous,0.016949,8,75
grandparent,0.015293,4,10
equanimity,0.014749,13,459
kid,0.011240,7,101
foundation,0.007670,6,164
autonomy,0.007646,2,7
choice,0.007322,5,148
warmhearted,0.007269,2,7
self-centered,0.007269,2,8
dependent,0.007102,4,84
gas,0.006960,2,11
brahmavihara,0.006960,2,14
kindness,0.006612,9,530
peaceful,0.006527,11,397
impersonal,0.006474,2,11
form,0.006127,11,430
brahmaviharas,0.006096,2,29
indifference,0.006096,2,17
rejection,0.005527,2,16
appreciation,0.005512,4,203
alarm,0.005410,2,21
kim,0.005198,2,52
parent,0.005163,3,78
relationship,0.005129,8,484
exchange,0.005010,2,23
non-relational,0.004996,1,1
object-free,0.004996,1,1
self-responsibility,0.004996,1,1
vagary,0.004996,1,1
dross,0.004996,1,1
over-identification,0.004996,1,1
objectless,0.004996,1,1
spread,0.004990,4,233
aspect,0.004928,6,268
everyone,0.004854,9,442
despair,0.004762,2,52
exist,0.004719,4,156
appreciative,0.004687,2,81
year,0.004636,11,817
care,0.004629,17,1482
tenderness,0.004615,2,56
reject,0.004546,2,43
situation,0.004489,5,315
outward,0.004415,2,36
aloofness,0.004410,1,2
dispirit,0.004410,1,2
ruffle,0.004410,1,2
sicken,0.004410,1,3
grandmotherly,0.004410,1,2
playground,0.004410,1,3
non-anxious,0.004410,1,2
end-of-the-year,0.004410,1,2
anybody,0.004355,3,115
universe,0.004076,2,65
lid,0.004067,1,3
realism,0.004067,1,3
impurity,0.004067,1,3
equanimously,0.004067,1,3
scrap,0.004067,1,3
paste,0.004067,1,3
gaze,0.004030,3,149
knee,0.004025,2,72
someone,0.004008,8,577
conversation,0.003997,3,173
harmony,0.003882,2,111
activate,0.003882,2,83
object,0.003869,4,294
compassion,0.003842,5,634
warmth,0.003835,3,155
separate,0.003835,3,143
cooperate,0.003823,1,6
she'll,0.003823,1,4
you'll,0.003727,4,216
assessment,0.003634,1,9
kiss,0.003634,1,8
anapanasati,0.003634,1,5
badge,0.003480,1,7
however,0.003404,3,151
joy,0.003305,5,924
return,0.003305,5,265
definitely,0.003274,2,76
anything,0.003268,12,804
betrayal,0.003237,1,11
oppress,0.003237,1,8
donate,0.003237,1,9
participation,0.003237,1,9
presence,0.003176,3,207
amazingly,0.003137,1,9
passivity,0.003137,1,15
realistic,0.003137,1,10
discomfort,0.003122,2,127
strength,0.003064,2,97
secondary,0.003048,1,13
dust,0.003048,1,14
emotional,0.003012,3,222
mystery,0.002967,1,17
upekkha,0.002967,1,17
drama,0.002967,1,15
constriction,0.002894,1,16
lovingly,0.002894,1,18
leg,0.002878,2,99
aspire,0.002826,1,17
satipatthana,0.002826,1,16
presentation,0.002826,1,16
soften,0.002785,5,535
new,0.002785,5,548
irc,0.002763,1,22
catch,0.002726,4,424
peace,0.002719,5,619
fourth,0.002709,2,153
divine,0.002705,1,25
allen,0.002705,1,35
arm,0.002687,2,120
sutta,0.002687,2,307
breathe,0.002654,9,2412
subtle,0.002654,3,372
demonstrate,0.002650,1,26
slowly,0.002642,2,106
relational,0.002599,1,33
radiance,0.002599,1,23
explanation,0.002599,1,22
dignity,0.002599,1,26
attract,0.002599,1,28
passive,0.002599,1,19
awkward,0.002599,1,25
fortunate,0.002599,1,27
cannot,0.002599,2,129
personal,0.002557,2,156
phenomenally,0.002551,1,19
neighborhood,0.002505,1,20
they'd,0.002505,1,26
peacefulness,0.002462,1,22
impression,0.002462,1,24
sooner,0.002420,1,24
doctor,0.002420,1,45
letter,0.002420,1,32
need,0.002381,17,1540
overall,0.002381,1,25
gentleness,0.002381,1,33
intelligence,0.002381,1,111
penetrate,0.002343,1,33
win,0.002307,1,79
instruction,0.002305,2,212
primarily,0.002273,1,29
page,0.002273,1,31
tap,0.002240,1,28
anxious,0.002240,1,35
relate,0.002237,3,328
importance,0.002208,1,31
channel,0.002208,1,37
imc,0.002200,2,173
hand,0.002192,4,472
fell,0.002177,1,33
vacation,0.002177,1,53
wonderful,0.002175,4,475
samadhi,0.002171,3,1514
offer,0.002156,6,651
softness,0.002147,1,36
music,0.002147,1,61
manifest,0.002119,1,43
fix,0.002101,2,271
yet,0.002086,2,235
remarkable,0.002064,1,53
emerge,0.002064,1,63
wide,0.002039,2,252
responsibility,0.002038,1,49
gentle,0.002023,2,250
upon,0.002023,2,196
softly,0.002013,1,44
ego,0.002013,1,81
category,0.001964,1,72
degree,0.001964,2,226
kindly,0.001941,1,54
fundamental,0.001941,1,49
happiness,0.001924,3,811
act,0.001920,2,311
welfare,0.001919,1,95
fifth,0.001919,1,47
praise,0.001919,1,67
construct,0.001897,1,117
else,0.001873,4,541
raise,0.001854,1,57
certainly,0.001836,2,202
friendly,0.001834,1,117
accompany,0.001814,1,88
woman,0.001814,1,167
benefit,0.001809,2,242
include,0.001808,3,377
bone,0.001795,1,62
active,0.001795,1,61
seek,0.001795,1,80
invaluable,0.001795,1,68
prefer,0.001776,1,58
radiate,0.001776,1,107
closely,0.001776,1,53
cut,0.001776,1,58
abide,0.001757,1,153
personally,0.001757,1,58
circumstance,0.001757,1,83
person,0.001744,5,1053
finish,0.001739,1,64
next,0.001709,5,607
significant,0.001704,1,69
align,0.001704,1,83
painful,0.001704,1,98
mindfulness,0.001701,4,928
capacity,0.001667,2,372
youtube,0.001653,1,77
fit,0.001637,1,83
spacious,0.001621,1,109
strange,0.001621,1,67
emotion,0.001607,2,379
topic,0.001595,2,256
remain,0.001591,1,86
realm,0.001591,1,185
hopefully,0.001591,1,80
spot,0.001576,1,116
expectation,0.001576,1,106
difficult,0.001571,2,323
position,0.001561,1,85
contraction,0.001561,1,91
picture,0.001561,1,118
matter,0.001560,2,282
complicate,0.001546,1,87
shouldn't,0.001532,1,92
stay,0.001523,4,808
adjust,0.001518,1,90
tense,0.001518,1,124
week,0.001507,5,700
travel,0.001504,1,111
float,0.001478,1,113
similar,0.001478,1,80
torso,0.001464,1,109
anyone,0.001464,1,114
quietly,0.001452,1,92
characteristic,0.001452,1,190
easily,0.001439,1,97
mostly,0.001439,1,95
rather,0.001417,3,505
depend,0.001414,1,109
extra,0.001414,1,179
people,0.001410,21,3157
generally,0.001402,1,98
low,0.001390,1,130
