word,tfidf_score,talk_frequency,global_frequency
math,0.030666,7,7
cultivation,0.020912,14,108
skillful,0.018845,13,130
intention,0.018709,20,259
cultivate,0.013448,13,201
motivation,0.013304,8,73
unskillful,0.012139,6,61
release,0.010594,10,184
carrying,0.009414,5,42
resolution,0.009296,4,24
inspiration,0.008872,6,125
cultivating,0.008042,7,187
intertwined,0.007733,2,4
doable,0.007733,2,3
cultivated,0.007431,4,43
straighten,0.006705,2,5
non-ill,0.006374,2,7
abandon,0.006263,3,47
letting,0.006223,19,758
balancing,0.006103,2,7
spine,0.005808,3,45
told,0.005744,5,136
consider,0.005743,6,158
wise,0.005677,7,383
resentment,0.005649,3,42
goal,0.005632,4,125
store,0.005573,3,49
forgiveness,0.005502,2,25
surround,0.005345,2,11
purifying,0.005345,2,14
pursue,0.005345,2,17
capture,0.005204,2,13
reflect,0.005182,4,112
unhappiness,0.004956,2,21
tune,0.004878,3,65
effect,0.004833,4,161
grocery,0.004744,2,25
register,0.004648,2,24
spinning,0.004558,2,26
turned,0.004481,3,80
reprimanding,0.004381,1,1
redirected,0.004381,1,1
deviation,0.004381,1,1
achievable,0.004381,1,1
one-month,0.004381,1,1
well-articulated,0.004381,1,1
intertwining,0.004381,1,1
present-oriented,0.004381,1,1
hindrance,0.004349,3,197
provide,0.004265,3,83
concentration,0.004237,4,223
grand,0.004176,2,34
naturally,0.004145,3,81
year,0.004139,11,801
softening,0.004116,5,223
verse,0.004110,2,78
toward,0.004106,3,152
wanted,0.004055,5,248
uplift,0.004046,2,54
frame,0.004046,2,30
consciously,0.003986,2,29
highly,0.003986,2,33
dhammapada,0.003986,2,41
renewal,0.003867,1,2
rebalance,0.003867,1,6
year-end,0.003867,1,2
31st,0.003867,1,3
oppose,0.003867,1,2
mathematician,0.003867,1,2
intertwine,0.003867,1,2
future-oriented,0.003867,1,2
metta,0.003818,3,445
addition,0.003766,2,33
view,0.003737,5,631
term,0.003685,4,256
inward,0.003667,2,44
natural,0.003655,5,318
future,0.003575,4,217
sore,0.003566,1,4
attracts,0.003566,1,3
hesitate,0.003566,1,3
persisting,0.003566,1,3
grasped,0.003566,1,3
listed,0.003566,1,3
non-cruelty,0.003566,1,4
several,0.003530,2,53
engage,0.003475,3,132
briefly,0.003445,2,51
discovered,0.003404,2,52
mention,0.003365,2,46
revolution,0.003352,1,5
straightens,0.003352,1,4
noticeable,0.003352,1,4
relationality,0.003352,1,4
documentary,0.003352,1,4
named,0.003289,2,53
lingering,0.003187,1,7
registering,0.003187,1,5
stumble,0.003187,1,5
february,0.003187,1,7
midnight,0.003187,1,7
pin,0.003187,1,5
trouble,0.003181,2,57
let's,0.003126,5,389
bringing,0.003126,4,229
affect,0.003114,2,61
momentum,0.003081,2,84
grasping,0.003081,2,97
upward,0.003052,1,7
december,0.003052,1,13
unit,0.003052,1,9
aiming,0.003052,1,8
beneficial,0.003049,2,91
engaging,0.003049,2,74
included,0.002987,2,82
however,0.002984,3,151
new,0.002930,6,543
ahead,0.002928,2,76
class,0.002928,2,113
translation,0.002899,2,103
supporting,0.002871,2,88
bicycle,0.002838,1,22
upcoming,0.002838,1,8
preventing,0.002838,1,12
realm,0.002789,2,185
skull,0.002751,1,18
chin,0.002751,1,10
prior,0.002751,1,10
year's,0.002751,1,16
technical,0.002751,1,10
activity,0.002735,4,438
inviting,0.002712,2,118
shoulder,0.002702,3,201
various,0.002687,2,91
pas,0.002687,2,88
action,0.002681,3,318
guest,0.002673,1,13
continual,0.002673,1,11
arbitrary,0.002602,1,13
drifting,0.002602,1,15
forgive,0.002602,1,17
watched,0.002602,1,13
degree,0.002583,3,226
possible,0.002570,6,509
onto,0.002568,2,95
lying,0.002546,2,89
temporarily,0.002537,1,17
novel,0.002537,1,17
strengthening,0.002537,1,13
subconscious,0.002537,1,13
easily,0.002523,2,97
issue,0.002501,2,107
forehead,0.002478,1,21
sliding,0.002478,1,19
so-called,0.002478,1,13
forgotten,0.002478,1,13
false,0.002478,1,19
weight,0.002458,2,150
cushion,0.002458,2,115
offered,0.002437,2,103
needed,0.002433,3,227
directing,0.002423,1,23
gil's,0.002423,1,15
achieve,0.002423,1,21
week,0.002405,9,687
couldn't,0.002376,2,104
allen,0.002372,1,35
mentally,0.002372,1,18
blade,0.002372,1,19
picking,0.002372,1,16
application,0.002372,1,18
normal,0.002362,3,176
sutta,0.002356,2,307
turning,0.002336,2,134
supportive,0.002336,2,129
quote,0.002336,2,122
kim,0.002279,1,51
encouraging,0.002279,1,19
phase,0.002279,1,24
impossible,0.002279,1,25
cared,0.002279,1,27
area,0.002276,3,260
job,0.002260,2,190
deliberate,0.002237,1,34
cultural,0.002237,1,31
deliberately,0.002237,1,40
let,0.002237,22,1487
soften,0.002209,3,280
ripple,0.002197,1,27
depression,0.002197,1,28
connected,0.002177,3,296
low,0.002158,1,33
structure,0.002158,1,24
actually,0.002141,10,1065
relative,0.002122,1,27
interact,0.002122,1,30
evil,0.002122,1,54
diaphragm,0.002088,1,32
reminded,0.002088,1,28
nourishment,0.002088,1,42
meditators,0.002088,1,26
struggle,0.002088,1,30
favor,0.002088,1,25
stuff,0.002085,2,178
movement,0.002081,4,448
certain,0.002080,6,604
caught,0.002067,3,358
matter,0.002067,3,278
alertness,0.002055,1,25
ritual,0.002023,1,59
grasp,0.002023,1,34
required,0.002023,1,29
released,0.002023,1,33
energy,0.002021,3,439
general,0.002005,2,165
particular,0.002001,4,431
spring,0.001993,1,35
harming,0.001993,1,59
pushed,0.001993,1,38
context,0.001990,2,177
continuous,0.001964,1,53
mode,0.001964,1,51
finish,0.001964,1,38
develop,0.001959,2,191
direct,0.001944,2,199
today's,0.001936,1,30
rush,0.001909,1,34
wheel,0.001909,1,62
effective,0.001909,1,40
tool,0.001883,1,64
personality,0.001883,1,53
dynamic,0.001883,1,46
small,0.001876,3,341
touch,0.001862,3,286
considering,0.001858,1,35
exact,0.001858,1,38
we'll,0.001848,5,557
settling,0.001834,3,507
although,0.001833,1,43
non-harming,0.001833,1,64
bring,0.001831,5,641
