word,tfidf_score,talk_frequency,global_frequency
metta,0.030215,23,445
version,0.025436,17,96
appreciation,0.022448,18,203
nikki,0.020952,8,54
noella,0.015964,4,8
goodwill,0.015567,16,427
receive,0.014955,18,366
invite,0.013695,16,316
barbara,0.012599,4,12
retrospective,0.011973,3,4
fred,0.011042,3,8
group,0.009956,10,245
grateful,0.009717,5,40
year,0.009537,25,817
silently,0.009234,4,25
miranda,0.009043,2,2
past,0.008819,10,227
invitation,0.008656,7,132
dear,0.008391,5,125
mirror,0.008228,4,37
stretch,0.007378,4,56
destabilize,0.007361,2,4
chamber,0.007361,2,4
share,0.007045,11,455
nugget,0.006920,2,7
maria,0.006684,3,75
gratitude,0.006639,4,98
cocoon,0.006579,2,7
wow,0.006507,7,210
reflection,0.006258,6,212
lovely,0.006183,5,117
challenge,0.005992,7,292
camera,0.005859,2,11
appreciate,0.005700,13,567
gift,0.005691,5,144
adventure,0.005517,2,11
arc,0.005517,2,29
breakout,0.005371,2,20
name,0.005282,7,300
listen,0.005282,7,369
patience,0.005091,3,329
show,0.005064,9,524
totally,0.004873,3,92
string,0.004705,2,24
constipate,0.004522,1,1
constipation,0.004522,1,1
undamned,0.004522,1,1
spread,0.004516,4,233
love,0.004408,21,1723
asleep,0.004310,2,32
sake,0.004242,2,45
seat,0.004160,3,117
embrace,0.004114,2,59
previous,0.004054,2,36
sangha,0.004012,3,232
preferencing,0.003991,1,2
crux,0.003991,1,3
pertinent,0.003991,1,2
planner,0.003991,1,2
co-creation,0.003991,1,2
fell,0.003941,2,33
report,0.003941,2,37
send,0.003907,3,120
phone,0.003887,2,61
oh,0.003863,11,1322
sad,0.003835,2,52
accord,0.003835,2,38
son,0.003835,2,83
accept,0.003741,3,136
cross-talk,0.003681,1,3
dam,0.003681,1,3
free-flowing,0.003681,1,3
dose,0.003681,1,6
reminder,0.003643,2,52
conversation,0.003617,3,173
room,0.003590,6,410
openness,0.003587,3,135
small,0.003509,6,380
discrimination,0.003460,1,4
alphabetical,0.003460,1,4
yay,0.003460,1,8
lifetime,0.003356,2,71
vice,0.003289,1,5
versa,0.003289,1,5
grow,0.003222,6,481
circumstance,0.003180,2,83
life-giving,0.003150,1,7
complaint,0.003150,1,7
privately,0.003150,1,9
weren't,0.003147,2,77
space,0.003098,6,700
equanimity,0.003080,3,459
pulse,0.003032,1,9
beloved,0.003032,1,10
consistent,0.003032,1,9
thank,0.002958,31,1160
resistance,0.002935,2,120
reverse,0.002929,1,8
mortality,0.002929,1,13
beautiful,0.002901,5,538
topic,0.002887,4,256
attach,0.002852,2,108
spaciousness,0.002852,2,214
forgiveness,0.002839,1,25
unconditional,0.002839,1,13
sweetheart,0.002839,1,19
compassion,0.002781,4,634
pas,0.002773,2,88
chat,0.002699,2,103
shallow,0.002686,1,23
cue,0.002686,1,14
brilliant,0.002686,1,11
kindness,0.002660,4,530
loving-kindness,0.002651,2,182
mirghafori,0.002619,1,17
act,0.002606,3,311
perspective,0.002604,2,191
echo,0.002558,1,17
scenario,0.002558,1,15
remark,0.002558,1,14
interrupt,0.002501,1,16
front,0.002473,2,114
regardless,0.002448,1,15
daughter,0.002448,1,31
magic,0.002448,1,27
everyone,0.002441,5,442
arm,0.002432,2,120
supportive,0.002411,2,129
cultivate,0.002402,3,447
lung,0.002399,1,27
insist,0.002399,1,28
door,0.002391,2,147
theory,0.002352,1,59
obvious,0.002314,2,145
frustrate,0.002309,1,20
okay,0.002299,7,1126
consider,0.002280,3,267
daily,0.002276,2,152
last,0.002268,6,510
embodiment,0.002267,1,27
post,0.002267,1,24
child,0.002258,2,202
everybody,0.002258,2,196
land,0.002240,2,166
creative,0.002228,1,37
person,0.002210,7,1053
appropriate,0.002204,2,168
etc,0.002191,1,31
nourishment,0.002155,1,42
inhabit,0.002155,1,31
discernment,0.002155,1,70
adult,0.002155,1,27
community,0.002136,2,352
necessarily,0.002119,2,142
matter,0.002117,3,282
list,0.002102,2,269
arrive,0.002102,2,158
who've,0.002088,1,32
stabilize,0.002057,1,63
witness,0.002057,1,45
volunteer,0.002057,1,57
powerful,0.002054,2,146
lead,0.002040,3,526
somebody,0.002038,2,341
advice,0.002027,1,36
you've,0.002025,3,345
hour,0.002006,2,193
bunch,0.001998,1,30
acceptance,0.001998,1,65
hi,0.001998,1,36
wisdom,0.001965,3,536
change,0.001951,6,1409
trust,0.001946,2,252
guidance,0.001943,1,40
dynamic,0.001943,1,46
presence,0.001916,2,207
support,0.001913,6,913
system,0.001902,2,289
heart,0.001897,11,1635
family,0.001887,2,261
gather,0.001887,2,318
add,0.001873,2,286
look,0.001842,13,1404
walk,0.001836,3,534
neck,0.001799,1,50
greet,0.001799,1,69
number,0.001790,2,215
briefly,0.001778,1,51
wall,0.001778,1,60
decision,0.001778,1,51
model,0.001757,1,72
fill,0.001751,2,222
path,0.001741,3,795
fullness,0.001736,1,58
whose,0.001736,1,43
care,0.001725,7,1482
solid,0.001717,1,69
problem,0.001712,2,292
ease,0.001701,3,522
they'll,0.001678,1,53
perfectly,0.001678,1,61
zoom,0.001678,1,79
absolutely,0.001660,1,64
seed,0.001642,1,88
bone,0.001624,1,62
plant,0.001624,1,92
entire,0.001624,1,65
maintain,0.001624,1,79
floor,0.001607,1,73
bless,0.001590,1,119
belly,0.001589,2,260
struggle,0.001574,1,66
lean,0.001558,1,79
relaxation,0.001558,1,62
flower,0.001558,1,85
guy,0.001558,1,94
parent,0.001558,1,78
growth,0.001558,1,67
particular,0.001549,3,431
sweet,0.001526,1,88
order,0.001520,2,235
face,0.001498,2,249
enter,0.001487,2,373
necessary,0.001482,1,67
anxiety,0.001482,1,91
another,0.001470,5,742
course,0.001458,4,665
cause,0.001443,2,371
push,0.001401,2,316
river,0.001400,1,347
otherwise,0.001387,1,93
various,0.001387,1,91
open,0.001379,8,1183
set,0.001370,2,307
ah,0.001362,1,109
discussion,0.001362,1,90
tendency,0.001362,1,105
someone,0.001360,3,577
everywhere,0.001349,1,98
right,0.001346,12,2053
forget,0.001325,1,93
they've,0.001314,1,95
earth,0.001302,1,233
month,0.001302,1,109
guess,0.001302,1,117
angry,0.001302,1,174
perfect,0.001291,1,123
hang,0.001280,1,98
busy,0.001280,1,93
cushion,0.001269,1,115
nourish,0.001269,1,117
happy,0.001259,6,809
chair,0.001258,1,104
response,0.001226,1,194
warm,0.001216,1,120
could,0.001210,6,1418
realize,0.001206,2,401
phrase,0.001186,1,182
wouldn't,0.001186,1,128
complete,0.001186,1,126
always,0.001176,4,716
avoid,0.001166,1,169
others,0.001161,5,1015
young,0.001129,1,156
condition,0.001125,2,672
fine,0.001111,1,150
alone,0.001102,1,141
case,0.001102,1,167
top,0.001093,1,164
must,0.001093,1,154
include,0.001091,2,377
work,0.001077,5,1341
source,0.001076,1,308
contact,0.001076,1,224
turn,0.001073,3,671
breathe,0.001067,4,2412
didn't,0.001049,2,505
instruction,0.001043,1,212
stay,0.001034,3,808
reflect,0.001027,1,199
distract,0.001027,1,155
book,0.001011,1,247
still,0.001009,4,785
soften,0.001008,2,535
ready,0.001003,1,175
high,0.001003,1,237
ground,0.000988,1,211
image,0.000988,1,207
deep,0.000988,6,1628
question,0.000976,2,835
offer,0.000976,3,651
field,0.000973,1,247
purpose,0.000966,1,265
intention,0.000966,1,259
back,0.000954,10,1466
moment,0.000931,10,1810
state,0.000930,2,816
shoulder,0.000930,1,201
alive,0.000923,1,182
force,0.000923,1,216
emotional,0.000909,1,222
sort,0.000909,1,274
foot,0.000902,1,226
inspire,0.000902,1,229
relax,0.000900,3,1213
actually,0.000884,4,1065
simple,0.000855,2,685
many,0.000850,6,1063
nice,0.000833,2,541
tomorrow,0.000831,1,179
benefit,0.000819,1,242
already,0.000813,1,255
difference,0.000813,1,225
especially,0.000801,1,202
head,0.000789,1,260
bring,0.000785,4,1154
area,0.000783,1,260
fully,0.000777,1,284
sure,0.000777,1,247
free,0.000774,3,722
may,0.000768,7,2140
we'll,0.000763,2,557
either,0.000760,1,227
ago,0.000760,1,264
forward,0.000743,1,219
aspect,0.000743,1,268
day,0.000711,4,981
goodness,0.000685,1,466
flow,0.000685,1,559
early,0.000685,1,286
want,0.000673,13,2937
body,0.000670,9,3198
people,0.000668,11,3157
sense,0.000663,14,2893
light,0.000655,1,460
lot,0.000651,7,1487
read,0.000640,1,419
isn't,0.000636,1,390
whether,0.000631,1,303
present,0.000630,3,1184
close,0.000613,3,640
end,0.000601,6,1076
friend,0.000598,1,529
joy,0.000598,1,924
shift,0.000585,1,460
instead,0.000585,1,439
relationship,0.000580,1,484
happiness,0.000580,1,811
stop,0.000580,1,454
remember,0.000576,1,386
gently,0.000558,1,393
settle,0.000546,2,1490
freedom,0.000541,1,597
i'd,0.000525,1,426
towards,0.000520,1,469
whatever,0.000517,4,1178
important,0.000510,2,800
quiet,0.000508,1,619
new,0.000504,1,548
well,0.000502,3,1319
practice,0.000497,18,3693
interest,0.000496,1,502
hand,0.000496,1,472
ask,0.000492,1,666
whole,0.000481,2,1124
they're,0.000470,2,1054
imagine,0.000461,1,446
sometimes,0.000460,6,1836
sit,0.000457,7,1457
human,0.000453,1,532
introduction,0.000446,1,275
seem,0.000442,1,470
continue,0.000435,1,416
together,0.000425,2,1016
else,0.000424,1,541
touch,0.000420,1,481
hear,0.000399,1,841
mindfulness,0.000385,1,928
call,0.000377,2,1016
without,0.000366,2,944
bite,0.000366,3,1468
guide,0.000361,2,860
point,0.000361,2,1106
safe,0.000354,1,415
welcome,0.000319,2,684
life,0.000311,6,2697
allow,0.000309,2,1500
doe,0.000306,1,829
everything,0.000300,1,879
learn,0.000297,1,750
quite,0.000291,1,682
great,0.000288,1,904
different,0.000279,3,1866
put,0.000270,1,788
happen,0.000265,3,2043
i'll,0.000258,1,831
keep,0.000255,1,800
need,0.000254,2,1540
hold,0.000252,1,995
would,0.000249,2,1943
much,0.000248,5,1611
say,0.000239,7,4633
help,0.000238,1,846
teach,0.000221,1,1389
today,0.000202,1,818
let,0.000192,6,2634
use,0.000180,1,1160
u,0.000177,12,3250
part,0.000177,2,1587
information,0.000149,1,398
become,0.000149,2,1722
start,0.000139,1,1483
place,0.000134,1,1554
don't,0.000127,5,3298
make,0.000116,3,2361
thing,0.000110,4,4740
might,0.000104,2,2085
mind,0.000102,4,4463
feel,0.000071,17,6094
think,0.000063,6,5828
time,0.000063,6,2806
even,0.000047,2,1829
good,0.000045,1,2421
take,0.000028,1,2190
ai-generated,0.000000,1,369
transcript,0.000000,1,372
auto-generated,0.000000,1,369
subtitle,0.000000,1,370
video,0.000000,1,388
likely,0.000000,1,461
contain,0.000000,1,400
inaccuracy,0.000000,1,369
follow,0.000000,3,693
talk,0.000000,5,2372
wa,0.000000,23,5473
give,0.000000,8,1837
insight,0.000000,2,1660
meditation,0.000000,6,3370
center,0.000000,1,1080
redwood,0.000000,1,414
city,0.000000,1,472
california,0.000000,1,426
please,0.000000,3,551
visit,0.000000,1,457
website,0.000000,1,435
www,0.000000,1,384
audiodharma,0.000000,1,384
org,0.000000,1,398
