word,tfidf_score,talk_frequency,global_frequency
particularity,0.027573,5,11
spontaneity,0.024674,3,3
performative,0.024674,3,3
baldwin,0.021778,3,4
cliche,0.021778,3,4
personality,0.021209,6,53
uniqueness,0.020084,3,5
suffer,0.019889,30,1574
divorce,0.018882,3,10
uniquely,0.018882,3,7
distinctive,0.017950,3,8
articulation,0.016449,2,2
tolstoy,0.016449,2,2
distinctiveness,0.016449,2,2
fetter,0.015053,3,107
freedom,0.014767,15,597
pain,0.013708,11,503
trivial,0.012588,2,5
neurosis,0.011966,2,6
spontaneous,0.011459,2,7
empathic,0.011029,2,9
hate,0.010676,4,94
unhappy,0.010657,2,9
novel,0.009528,2,17
specie,0.008906,2,21
sensory,0.008726,2,33
cessation,0.008726,2,46
delusion,0.008417,4,214
bullwhips,0.008225,1,1
depersonalize,0.008225,1,1
sentience,0.008225,1,1
anna,0.008225,1,1
karenina,0.008225,1,1
lerner,0.008225,1,1
unemotional,0.008225,1,1
teacher-therapist,0.008225,1,1
tift,0.008225,1,1
greed,0.007830,4,238
gesture,0.007597,2,42
suspect,0.007483,2,39
patient,0.007374,2,116
exile,0.007259,1,3
implement,0.007259,1,2
paralysis,0.007259,1,2
endlessness,0.007259,1,2
alike,0.007259,1,2
meticulously,0.007259,1,2
ogha,0.007259,1,2
asavas,0.007259,1,8
bewilder,0.007259,1,2
ben,0.007259,1,2
explode,0.007259,1,2
negotiation,0.007259,1,2
protagonist,0.007259,1,2
psychoanalyst,0.007259,1,2
winnicott,0.007259,1,2
leakiness,0.007259,1,2
quirkiness,0.007259,1,2
unselfconscious,0.007259,1,2
bruce,0.007259,1,2
unique,0.007168,2,42
pretend,0.006975,2,47
intense,0.006796,2,47
enlighten,0.006796,2,46
intertwine,0.006695,1,7
heartache,0.006695,1,3
rogers,0.006695,1,3
abandonment,0.006695,1,3
rehearsal,0.006695,1,3
portal,0.006695,1,3
corral,0.006294,1,6
torment,0.006294,1,9
breakthrough,0.006294,1,4
melodrama,0.006294,1,5
undergo,0.006294,1,4
appendage,0.006294,1,4
honor,0.006105,2,81
suspicion,0.005983,1,8
chart,0.005983,1,5
hallmark,0.005983,1,6
alienation,0.005983,1,5
treat,0.005909,2,62
share,0.005825,5,455
fever,0.005729,1,8
indecisiveness,0.005729,1,7
brand,0.005729,1,8
predicament,0.005729,1,11
carl,0.005729,1,6
unify,0.005725,2,90
aliveness,0.005666,2,84
startle,0.005515,1,7
detect,0.005515,1,7
relinquishment,0.005515,1,16
compulsivity,0.005515,1,9
familiar,0.005433,3,177
reverse,0.005329,1,8
vary,0.005329,1,9
no-self,0.005329,1,9
thirst,0.005165,1,14
chill,0.005165,1,10
free,0.005163,11,722
detail,0.005139,2,104
jam,0.005018,1,14
privilege,0.005018,1,11
foggy,0.005018,1,10
sort,0.004959,3,274
imagery,0.004885,1,23
undertake,0.004885,1,18
heart-mind,0.004885,1,21
attune,0.004822,2,114
folk,0.004779,2,123
passage,0.004764,1,32
disconnection,0.004764,1,20
attunement,0.004764,1,13
blank,0.004652,1,25
unhappiness,0.004652,1,21
false,0.004652,1,19
shed,0.004652,1,25
across,0.004537,2,148
lovely,0.004498,2,117
express,0.004498,2,144
merely,0.004453,1,22
saturate,0.004453,1,26
articulate,0.004453,1,18
toe,0.004363,1,19
ultimately,0.004363,1,21
dress,0.004363,1,19
ourself,0.004363,1,21
hurt,0.004350,2,125
scale,0.004279,1,29
awkward,0.004279,1,25
