word,tfidf_score,talk_frequency,global_frequency
amy,0.026231,8,10
lunchbox,0.024088,6,6
ola,0.024088,6,6
in-breath,0.019646,13,84
nikki,0.018803,8,54
goodwill,0.017778,22,540
launch,0.017307,7,18
denise,0.016059,4,4
sweet,0.015823,12,98
dear,0.014801,10,128
aspiration,0.013893,8,75
receive,0.013396,18,378
1st,0.013115,4,6
kitty,0.013115,4,6
wish,0.012758,34,604
january,0.012362,5,16
fred,0.012345,4,10
share,0.012154,21,488
metta,0.011691,10,461
out-breath,0.010807,7,69
uplift,0.010037,6,90
challenge,0.009675,13,317
dog,0.009573,5,42
god,0.009400,7,205
friendliness,0.009264,6,178
yay,0.009259,3,8
year,0.009133,27,868
lean,0.008209,6,92
send-off,0.008029,2,2
cuddle,0.008029,2,2
kindness,0.007992,14,566
invite,0.007754,10,330
hour,0.007283,8,202
pack,0.007226,3,14
new,0.007090,15,558
gift,0.007058,7,153
breakout,0.007051,3,22
earth,0.007015,6,244
pet,0.006351,3,25
vertebra,0.006172,2,5
privacy,0.006172,2,5
everywhere,0.006094,5,101
outcome,0.006025,3,42
round,0.005927,3,34
poof,0.005873,2,7
aliveness,0.005473,4,92
attachment,0.005316,5,262
previous,0.005278,3,39
element,0.005089,4,185
health,0.005089,4,104
guideline,0.005086,2,17
cultivate,0.004967,7,471
prompt,0.004945,2,12
cute,0.004945,2,18
ah,0.004875,4,126
goodness,0.004824,8,490
reflection,0.004788,5,215
community,0.004719,5,371
arc,0.004701,2,33
send,0.004638,4,127
delight,0.004558,6,306
lovely,0.004352,4,123
mudita,0.004315,2,82
seed,0.004308,3,92
plant,0.004265,3,97
happiness,0.004203,8,869
slightly,0.004144,3,65
synchronize,0.004015,1,1
cloudiness,0.004015,1,1
off-kilter,0.004015,1,1
auspicious,0.004015,1,1
terrence,0.004015,1,1
jog,0.004015,1,1
unsurprising,0.004015,1,1
adoration,0.004015,1,1
cockatiel,0.004015,1,1
poofed,0.004015,1,1
piffle,0.004015,1,1
alive,0.003958,5,214
ease,0.003946,8,587
well-being,0.003820,6,593
embrace,0.003717,2,59
diana,0.003687,3,372
automatically,0.003665,2,34
safety,0.003626,3,120
stable,0.003595,3,111
like-hearted,0.003550,1,2
examination,0.003550,1,2
stalwart,0.003550,1,2
hilarious,0.003550,1,2
adorable,0.003550,1,2
lick,0.003550,1,2
accomplish,0.003473,2,59
ground,0.003441,4,242
progress,0.003429,2,45
well,0.003285,23,1406
ballast,0.003279,1,3
effortful,0.003279,1,3
cross-talk,0.003279,1,3
vicarious,0.003279,1,4
presence,0.003232,4,245
stretch,0.003229,2,61
person,0.003209,12,1156
possible,0.003192,8,542
tiny,0.003192,2,53
upright,0.003088,2,68
wrist,0.003086,1,4
effortlessly,0.003086,1,6
suitcase,0.003086,1,8
alphabetical,0.003086,1,4
nugget,0.003086,1,7
unconditionally,0.003086,1,4
friend,0.003066,6,586
yes,0.002974,5,418
child,0.002958,3,216
edition,0.002937,1,6
rotate,0.002937,1,5
unmute,0.002937,1,5
mission,0.002937,1,8
february,0.002937,1,7
ankle,0.002815,1,6
advertisement,0.002815,1,6
massive,0.002815,1,13
confession,0.002815,1,9
heart,0.002753,19,1755
however,0.002751,3,159
parent,0.002736,2,82
group,0.002712,3,265
formally,0.002711,1,7
prepare,0.002711,2,82
someone,0.002709,7,675
joy,0.002683,5,946
tonight,0.002637,2,105
backward,0.002622,1,8
dichotomy,0.002622,1,8
it'd,0.002622,1,9
presume,0.002622,1,8
special,0.002545,2,89
sweetheart,0.002543,1,19
christmas,0.002543,1,25
intention,0.002510,3,281
complicate,0.002479,2,92
wow,0.002475,3,223
rootedness,0.002472,1,12
unconditional,0.002472,1,14
smile,0.002437,2,152
puppy,0.002409,1,17
privilege,0.002409,1,13
root,0.002397,2,151
sangha,0.002357,2,239
chat,0.002357,2,112
mirghafori,0.002350,1,17
island,0.002350,1,32
credit,0.002350,1,14
he'll,0.002350,1,19
invisible,0.002297,1,17
shallow,0.002297,1,26
benefactor,0.002297,1,38
holiday,0.002297,1,39
meet,0.002280,5,671
release,0.002279,3,320
may,0.002273,23,2295
throughout,0.002264,2,112
similarly,0.002247,1,14
externally,0.002247,1,22
metaphor,0.002228,2,155
care,0.002212,11,1725
square,0.002201,1,41
happy,0.002199,12,900
embody,0.002193,2,173
air,0.002159,2,172
continuation,0.002158,1,16
thank,0.002122,26,1259
string,0.002117,1,24
resolution,0.002117,1,25
mindfully,0.002117,1,22
calendar,0.002117,1,23
encompass,0.002117,1,20
substitute,0.002117,1,21
room,0.002102,4,461
stay,0.002086,7,872
intentionality,0.002079,1,30
shower,0.002079,1,31
interrupt,0.002079,1,26
theme,0.002062,2,129
beautiful,0.002058,4,592
heaven,0.002043,1,120
small,0.002015,4,417
receptivity,0.001944,1,28
asleep,0.001944,1,32
aim,0.001915,1,38
love,0.001899,10,1809
internally,0.001886,1,43
crazy,0.001886,1,30
absolute,0.001859,1,31
accessible,0.001832,1,35
incline,0.001832,1,34
wrap,0.001807,1,44
fell,0.001783,1,33
advice,0.001783,1,41
wild,0.001783,1,50
okay,0.001772,6,1205
hand,0.001772,4,511
report,0.001759,1,38
relax,0.001751,7,1325
accord,0.001737,1,38
witness,0.001715,1,58
celebrate,0.001715,1,63
bunch,0.001715,1,34
yet,0.001662,2,248
lightness,0.001653,1,80
option,0.001653,1,56
sorrow,0.001653,1,52
settle,0.001651,7,1552
frame,0.001633,1,53
connect,0.001621,4,707
lift,0.001614,1,58
straight,0.001596,1,51
switch,0.001596,1,48
heavy,0.001578,1,58
comfortable,0.001572,2,217
briefly,0.001561,1,54
service,0.001561,1,94
greet,0.001544,1,75
inspire,0.001540,2,260
watch,0.001519,2,264
gravity,0.001495,1,54
whose,0.001495,1,48
raise,0.001495,1,59
friendly,0.001480,1,122
excite,0.001480,1,64
honor,0.001480,1,84
message,0.001465,1,69
zoom,0.001450,1,91
absolutely,0.001450,1,69
available,0.001449,2,235
focus,0.001428,3,624
treat,0.001422,1,67
kindly,0.001408,1,69
i'd,0.001398,3,454
floor,0.001394,1,79
circumstance,0.001381,1,91
cultivation,0.001381,1,110
either,0.001372,2,238
resist,0.001368,1,94
anyway,0.001368,1,72
towards,0.001368,3,518
growth,0.001355,1,78
wise,0.001353,2,461
mood,0.001343,1,96
except,0.001343,1,74
order,0.001335,2,252
retreat,0.001335,2,433
resistance,0.001295,1,126
spot,0.001295,1,119
wasn't,0.001291,2,310
result,0.001284,1,104
youtube,0.001284,1,88
kid,0.001272,1,110
everyone,0.001271,3,480
pull,0.001265,2,338
topic,0.001265,2,276
member,0.001261,1,189
wonderful,0.001252,3,545
position,0.001240,1,92
otherwise,0.001240,1,98
attach,0.001240,1,124
discomfort,0.001240,1,135
travel,0.001240,1,112
matter,0.001231,2,303
introduce,0.001229,1,86
doubt,0.001229,1,169
hopefully,0.001229,1,88
pas,0.001229,1,95
far,0.001222,2,369
steady,0.001219,1,174
session,0.001219,1,96
move,0.001213,4,671
address,0.001209,1,126
leave,0.001206,3,511
compassion,0.001206,2,713
surprise,0.001198,1,93
simply,0.001198,2,322
true,0.001190,2,423
forget,0.001189,1,97
set,0.001181,2,332
loving-kindness,0.001179,1,187
judge,0.001160,1,117
memory,0.001160,1,152
right,0.001160,13,2321
weight,0.001141,1,159
perfect,0.001141,1,131
tightness,0.001123,1,119
back,0.001116,12,1553
rise,0.001105,1,134
join,0.001105,1,117
simple,0.001100,3,749
chair,0.001097,1,112
stability,0.001088,1,176
express,0.001088,1,154
minute,0.001080,2,365
arm,0.001080,1,128
invitation,0.001080,1,141
type,0.001080,1,190
nourish,0.001071,1,138
gaze,0.001063,1,165
fourth,0.001055,1,166
die,0.001055,1,224
wonder,0.001055,1,150
plan,0.001047,1,164
supportive,0.001047,1,140
stop,0.001044,2,480
another,0.001040,4,796
tight,0.001039,1,146
mine,0.001039,1,236
wake,0.001031,1,138
everybody,0.001008,1,205
great,0.001001,4,964
teacher,0.001001,2,581
condition,0.000994,2,702
balance,0.000986,1,239
avoid,0.000986,1,186
amaze,0.000986,1,155
moment,0.000979,12,1919
power,0.000965,1,227
arrive,0.000965,1,161
chest,0.000958,1,151
mention,0.000958,1,160
posture,0.000957,3,664
course,0.000957,3,733
put,0.000953,4,849
body,0.000945,15,3405
chance,0.000944,1,164
freedom,0.000919,2,691
control,0.000910,1,287
opportunity,0.000910,1,180
include,0.000905,2,477
space,0.000899,2,755
safe,0.000894,3,451
record,0.000885,1,121
saw,0.000879,1,198
present,0.000862,5,1330
wholesome,0.000854,1,435
amount,0.000854,1,179
language,0.000842,1,198
expand,0.000825,1,201
bear,0.000825,1,249
always,0.000825,3,759
sort,0.000814,1,289
others,0.000813,4,1138
offer,0.000810,3,742
wait,0.000803,1,233
continue,0.000780,2,439
work,0.000777,4,1422
write,0.000765,1,251
problem,0.000760,1,310
quite,0.000751,3,733
awaken,0.000739,1,447
you'll,0.000739,1,238
direct,0.000734,1,281
nice,0.000733,2,579
belly,0.000714,1,280
already,0.000714,1,272
benefit,0.000714,1,278
head,0.000714,1,276
open,0.000714,5,1295
healthy,0.000710,1,329
today,0.000707,4,882
direction,0.000691,1,262
face,0.000691,1,256
breathe,0.000679,3,2612
wrong,0.000677,1,346
exactly,0.000677,1,245
name,0.000668,1,325
fall,0.000668,1,292
important,0.000665,3,881
turn,0.000660,2,703
keep,0.000658,3,854
forward,0.000650,1,238
listen,0.000650,1,480
practice,0.000643,27,3987
day,0.000638,4,1063
without,0.000630,4,1027
cause,0.000624,1,416
guide,0.000621,4,955
anything,0.000617,3,883
point,0.000613,4,1189
hope,0.000611,1,271
actually,0.000603,3,1129
lead,0.000595,1,549
desire,0.000595,1,785
helpful,0.000591,1,597
reason,0.000587,1,296
you've,0.000587,1,365
sound,0.000571,1,508
together,0.000563,3,1094
speak,0.000548,1,509
example,0.000540,1,395
shift,0.000537,1,471
whether,0.000533,1,331
close,0.000530,3,706
catch,0.000529,1,488
everything,0.000515,2,957
next,0.000515,2,668
bring,0.000504,3,1269
path,0.000493,1,1006
begin,0.000490,4,1493
show,0.000490,1,572
full,0.000490,1,358
gently,0.000483,1,426
grow,0.000473,1,525
bite,0.000458,4,1589
hold,0.000453,2,1072
help,0.000443,2,899
whatever,0.000442,4,1271
would,0.000442,4,2056
free,0.000439,2,790
ask,0.000433,1,723
live,0.000420,2,1316
allow,0.000416,3,1581
morning,0.000411,1,426
welcome,0.000398,3,751
good,0.000396,11,2632
create,0.000387,1,566
human,0.000384,1,590
much,0.000372,9,1749
big,0.000369,1,692
clear,0.000364,1,594
look,0.000361,3,1512
buddhist,0.000352,1,892
hear,0.000352,1,937
away,0.000345,2,1076
rest,0.000344,1,573
last,0.000335,1,553
able,0.000335,1,658
sit,0.000334,6,1592
happen,0.000304,4,2196
suffer,0.000301,1,1751
notice,0.000290,1,1251
little,0.000288,5,2467
eye,0.000285,1,665
arise,0.000272,1,1093
take,0.000262,11,2368
want,0.000259,6,3191
learn,0.000258,1,831
long,0.000257,2,987
people,0.000251,5,3497
end,0.000245,3,1170
enough,0.000236,1,779
still,0.000233,1,827
need,0.000225,2,1638
sense,0.000216,5,3086
word,0.000213,2,1481
link,0.000208,1,565
whole,0.000206,1,1332
sometimes,0.000195,3,1977
let,0.000191,7,2887
teach,0.000190,1,1555
part,0.000152,2,1726
experience,0.000144,2,3247
world,0.000141,2,2570
deep,0.000137,1,1807
u,0.000135,10,3581
try,0.000135,1,1350
thing,0.000132,6,5117
start,0.000122,1,1571
become,0.000122,2,1881
information,0.000118,1,441
around,0.000118,1,1211
might,0.000093,2,2246
lot,0.000082,1,1640
mind,0.000066,3,4777
find,0.000063,1,1762
time,0.000050,5,3091
think,0.000050,6,6192
life,0.000043,1,3018
feel,0.000037,11,6492
make,0.000031,1,2532
even,0.000020,1,1972
ai-generated,0.000000,1,403
transcript,0.000000,1,406
auto-generated,0.000000,1,403
subtitle,0.000000,1,404
video,0.000000,1,426
likely,0.000000,1,498
contain,0.000000,1,437
inaccuracy,0.000000,1,403
follow,0.000000,1,759
talk,0.000000,3,2572
give,0.000000,9,2086
insight,0.000000,1,1714
meditation,0.000000,9,3673
center,0.000000,2,1193
redwood,0.000000,1,453
city,0.000000,1,512
california,0.000000,1,468
please,0.000000,3,604
visit,0.000000,1,495
website,0.000000,1,471
www,0.000000,1,418
audiodharma,0.000000,1,418
org,0.000000,1,434
