word,tfidf_score,talk_frequency,global_frequency
conventional,0.015514,6,24
practitioner,0.013457,14,201
sincerity,0.012286,6,43
renunciation,0.012190,7,70
spiritual,0.011195,13,573
material,0.011123,6,52
space,0.009425,19,712
yearn,0.009083,3,10
cultivation,0.008887,6,109
path,0.008816,16,849
internal,0.007710,5,89
sincere,0.007567,3,26
sufficiency,0.007067,2,4
position,0.006803,5,86
general,0.005898,6,170
flicker,0.005831,2,9
quality,0.004886,9,625
groundedness,0.004819,2,23
linger,0.004625,2,21
area,0.004476,6,268
actual,0.004444,3,87
shorter-term,0.004335,1,1
heartful,0.004335,1,1
gamut,0.004335,1,1
reinvoke,0.004335,1,1
caught-upness,0.004335,1,1
50-year,0.004335,1,1
over-consuming,0.004335,1,1
contour,0.004335,1,1
self-betrayal,0.004335,1,1
spirituality,0.004299,2,41
case,0.004276,4,171
dharma,0.004207,10,842
invite,0.004183,5,319
problem,0.004153,5,294
regret,0.003974,2,37
muscle,0.003836,3,112
equipment,0.003829,1,2
overwork,0.003829,1,2
self-consciously,0.003829,1,2
regular,0.003808,2,32
sound,0.003689,6,490
expect,0.003676,3,102
navigate,0.003614,2,52
grow,0.003579,7,508
consider,0.003574,5,283
tentative,0.003533,1,3
heater,0.003533,1,3
culminate,0.003533,1,5
blunt,0.003533,1,4
ample,0.003533,1,3
intimacy,0.003525,2,44
main,0.003363,2,59
electronic,0.003323,1,7
roughly,0.003323,1,4
counselor,0.003323,1,9
breadth,0.003323,1,4
societal,0.003323,1,4
batchelor,0.003323,1,36
stray,0.003323,1,9
land,0.003283,3,166
depth,0.003252,2,58
unfold,0.003232,3,170
balance,0.003207,3,233
connectedness,0.003161,1,7
terminology,0.003161,1,5
restriction,0.003161,1,5
fulfill,0.003161,1,5
positive,0.003116,2,79
profound,0.003109,3,215
differently,0.003053,2,56
cover,0.003053,2,66
myriad,0.003028,1,6
delay,0.003028,1,6
narrow,0.002962,2,87
hour,0.002949,3,193
engage,0.002942,4,329
mood,0.002934,2,92
order,0.002921,4,240
locate,0.002915,1,8
excellence,0.002915,1,11
secure,0.002915,1,9
assure,0.002915,1,9
convention,0.002915,1,16
paragraph,0.002915,1,8
man,0.002905,2,139
walk,0.002858,5,552
notion,0.002850,2,99
reconnecting,0.002818,1,9
gracefully,0.002818,1,8
stephen,0.002818,1,56
intention,0.002799,3,261
health,0.002771,2,97
worker,0.002732,1,17
interestingly,0.002732,1,11
launch,0.002732,1,17
physical,0.002718,3,212
family,0.002718,3,266
stage,0.002697,2,128
various,0.002697,2,91
ease,0.002694,5,551
flourish,0.002655,1,39
convert,0.002655,1,14
nerve,0.002655,1,15
meaningful,0.002649,2,93
society,0.002649,2,136
pas,0.002625,2,94
culture,0.002625,2,138
heart,0.002597,16,1680
intuitive,0.002586,1,14
connection,0.002528,3,216
restful,0.002522,1,15
subconscious,0.002522,1,13
flesh,0.002522,1,13
comfortable,0.002492,3,215
notice,0.002482,8,1217
discover,0.002474,3,312
extra,0.002472,2,181
explicit,0.002464,1,17
compulsion,0.002464,1,27
instrument,0.002464,1,19
aspire,0.002464,1,17
act,0.002439,3,344
tolerate,0.002410,1,16
network,0.002410,1,37
amidst,0.002410,1,18
mundane,0.002410,1,17
effect,0.002371,2,165
allen,0.002359,1,35
sharp,0.002359,1,23
sunlight,0.002359,1,19
discipline,0.002359,1,19
spiritually,0.002359,1,23
connotation,0.002359,1,16
articulate,0.002359,1,18
skillfully,0.002359,1,19
texture,0.002359,1,15
examine,0.002312,1,28
resolution,0.002312,1,24
benefit,0.002287,3,270
kim,0.002268,1,52
explicitly,0.002268,1,21
prioritize,0.002268,1,32
manifestation,0.002268,1,23
recall,0.002268,1,22
awareness,0.002247,6,1263
pick,0.002241,2,124
orient,0.002241,2,199
education,0.002226,1,76
sublime,0.002226,1,26
purify,0.002226,1,34
connect,0.002190,5,666
ache,0.002187,1,26
suggestion,0.002187,1,22
philosopher,0.002187,1,34
depression,0.002187,1,28
weave,0.002187,1,35
create,0.002155,5,538
career,0.002150,1,25
hey,0.002150,1,30
intuition,0.002150,1,25
distinct,0.002150,1,24
sensation,0.002121,5,884
landscape,0.002114,1,26
emotion,0.002099,3,388
somehow,0.002092,4,321
etc,0.002080,1,32
humility,0.002080,1,31
coffee,0.002080,1,39
piece,0.002057,2,222
overall,0.002048,1,26
internally,0.002048,1,42
weak,0.002048,1,36
didn't,0.002030,4,516
surround,0.001987,1,35
bind,0.001987,1,39
trace,0.001987,1,38
dhammapada,0.001987,1,41
irritation,0.001958,1,40
serious,0.001958,1,34
consciously,0.001958,1,31
unskillful,0.001958,1,63
gradually,0.001931,1,43
channel,0.001931,1,37
lead,0.001926,3,540
group,0.001922,2,249
open,0.001919,12,1220
powerful,0.001908,2,166
confusion,0.001904,1,58
bunch,0.001879,1,32
complex,0.001879,1,40
question,0.001866,4,845
contrast,0.001854,1,40
resolve,0.001854,1,51
amount,0.001839,2,172
investigation,0.001830,1,65
softness,0.001830,1,38
cease,0.001830,1,53
inward,0.001807,1,45
screen,0.001807,1,62
strongly,0.001807,1,41
access,0.001807,1,47
satisfaction,0.001807,1,40
life,0.001803,38,2821
attempt,0.001784,1,37
eightfold,0.001784,1,103
carry,0.001773,2,206
sadness,0.001763,1,62
burden,0.001763,1,46
service,0.001763,1,79
foundational,0.001763,1,49
couple,0.001747,2,175
religion,0.001741,1,94
outside,0.001735,2,199
answer,0.001722,2,250
hadn't,0.001721,1,49
fair,0.001721,1,45
sustain,0.001721,1,141
jaw,0.001701,1,48
buy,0.001701,1,70
impulse,0.001701,1,66
doe,0.001689,6,877
certain,0.001685,5,631
play,0.001685,2,275
manage,0.001681,1,50
relationship,0.001665,3,498
evoke,0.001662,1,71
partner,0.001662,1,62
beautiful,0.001653,3,559
friendship,0.001644,1,127
teacher,0.001629,3,566
settledness,0.001626,1,76
neighbor,0.001626,1,63
least,0.001626,2,206
decade,0.001608,1,52
fade,0.001608,1,64
fuel,0.001608,1,91
bodily,0.001591,1,102
message,0.001591,1,65
direct,0.001591,2,272
gently,0.001581,3,406
engagement,0.001574,1,54
intimate,0.001574,1,58
bone,0.001558,1,64
enough,0.001556,6,750
seek,0.001542,1,83
plant,0.001542,1,95
cut,0.001542,1,59
loss,0.001542,1,123
mental,0.001535,2,352
include,0.001534,3,397
conscious,0.001526,1,69
worth,0.001526,1,77
serve,0.001526,1,110
bring,0.001513,8,1197
rich,0.001511,1,67
struggle,0.001511,1,67
circumstance,0.001511,1,88
flower,0.001496,1,86
afternoon,0.001481,1,67
parent,0.001481,1,80
year,0.001473,4,830
experience,0.001456,19,3121
ahead,0.001453,1,77
prepare,0.001453,1,80
animal,0.001453,1,119
potential,0.001453,1,85
