word,tfidf_score,talk_frequency,global_frequency
statue,0.027759,10,25
wind,0.022139,18,191
blame,0.021765,13,108
su,0.017595,4,4
dongpo,0.017595,4,4
tea,0.017439,9,55
fame,0.016656,6,17
worldly,0.016144,7,38
status,0.014811,7,36
drink,0.014017,8,64
praise,0.013248,8,75
foyan,0.013196,3,3
failure,0.012248,5,26
amanda,0.011660,3,4
loss,0.010886,7,125
she'd,0.010792,4,18
newspaper,0.010792,4,16
disrepute,0.010762,3,7
performer,0.010762,3,5
gain,0.009238,6,103
freedman,0.008885,3,11
open-handed,0.008885,3,10
silvery,0.008797,2,2
palmer,0.008797,2,2
clique,0.008797,2,2
fart,0.008797,2,2
pleasure,0.008717,11,720
ines,0.008589,3,12
zen,0.008555,6,139
intention,0.008284,9,269
show,0.008148,15,553
artist,0.007883,3,13
bride,0.007774,2,3
raft,0.007690,3,40
stand,0.007386,10,296
ego,0.007177,4,81
idiot,0.007175,2,5
screw,0.007175,2,4
servant,0.007175,2,9
paint,0.007053,3,27
devastate,0.006750,2,5
costume,0.006420,2,8
student,0.006221,4,169
game,0.006064,3,48
across,0.006001,5,157
play,0.005955,7,283
there'd,0.005923,2,8
hit,0.005660,3,67
job,0.005588,5,198
white,0.005517,3,60
blow,0.005517,3,58
attach,0.005450,4,122
car,0.005402,4,143
bronze,0.005396,2,14
skill,0.005256,3,68
chase,0.005196,3,63
lose,0.005145,9,427
expert,0.005127,2,15
poem,0.005086,4,405
sport,0.004797,2,21
eventually,0.004762,4,104
street,0.004713,3,92
dress,0.004702,2,19
donation,0.004702,2,21
school,0.004619,3,101
yoga,0.004612,2,30
pair,0.004528,2,45
heaven,0.004528,2,110
everybody,0.004402,4,201
zealand,0.004399,1,1
wellington,0.004399,1,1
8-foot,0.004399,1,1
gown,0.004399,1,1
pianist,0.004399,1,1
workaholic,0.004399,1,1
racquetball,0.004399,1,1
piano,0.004399,1,1
niels,0.004399,1,1
bohr,0.004399,1,1
adventurous,0.004399,1,1
eight-foot,0.004399,1,1
brag,0.004399,1,1
olympic,0.004399,1,1
nerd,0.004399,1,1
10th-century,0.004399,1,1
statesman,0.004399,1,1
hand-carry,0.004399,1,1
manuscript,0.004399,1,1
put-down,0.004399,1,1
career,0.004372,2,25
laughter,0.004358,3,76
unusual,0.004232,2,30
comfortable,0.004223,5,216
pain,0.004072,6,516
learn,0.003967,14,795
interrelational,0.003887,1,2
bouquet,0.003887,1,2
long-lost,0.003887,1,2
heartbroken,0.003887,1,3
crook,0.003887,1,2
tennis,0.003887,1,2
unpopular,0.003887,1,3
applause,0.003887,1,2
multitasking,0.003887,1,2
fail,0.003824,2,50
music,0.003773,2,62
perfect,0.003751,3,128
master,0.003725,2,54
fall,0.003641,5,287
batter,0.003587,1,3
pedestal,0.003587,1,3
oops,0.003587,1,3
physicist,0.003587,1,3
perk,0.003587,1,3
door,0.003460,3,155
gear,0.003375,1,4
athlete,0.003375,1,4
live,0.003320,14,1210
mistake,0.003242,2,61
peace,0.003221,7,647
feat,0.003210,1,5
musician,0.003210,1,6
gig,0.003210,1,5
divorce,0.003210,1,11
culturally,0.003210,1,5
nobel,0.003210,1,6
basically,0.003175,2,94
seek,0.003142,2,83
basket,0.003075,1,11
grade,0.003075,1,8
ray,0.003075,1,11
impress,0.003075,1,9
flower,0.003049,2,86
wrong,0.002975,4,335
sip,0.002962,1,9
cookie,0.002962,1,24
puff,0.002962,1,7
accomplishment,0.002962,1,12
golden,0.002962,1,11
insult,0.002962,1,12
god,0.002961,2,199
sweet,0.002905,2,96
fun,0.002905,2,105
note,0.002878,2,108
toss,0.002863,1,11
wed,0.002863,1,9
reconnecting,0.002863,1,9
bicycle,0.002863,1,22
prize,0.002863,1,11
awesome,0.002863,1,8
restaurant,0.002863,1,9
half,0.002852,2,102
remember,0.002838,5,395
pose,0.002776,1,9
veil,0.002776,1,11
qualify,0.002776,1,13
defense,0.002776,1,10
reverse,0.002776,1,9
ridiculous,0.002776,1,11
still,0.002755,11,813
rearrange,0.002698,1,14
illuminate,0.002698,1,11
society,0.002678,2,137
river,0.002678,2,368
huge,0.002631,2,107
lotus,0.002628,1,25
outrage,0.002628,1,42
move,0.002614,8,644
key,0.002609,2,97
you've,0.002565,4,359
fool,0.002563,1,33
