word,tfidf_score,talk_frequency,global_frequency
concept,0.028637,34,243
label,0.022030,17,83
pee,0.017605,6,7
binder,0.016617,5,5
post-it,0.016617,5,5
pant,0.016239,6,8
pen,0.015816,8,22
clip,0.013533,5,8
knee,0.009404,7,72
wednesday,0.009208,5,21
control,0.009197,12,267
tuesday,0.008623,4,13
assumption,0.008596,6,48
extra,0.008514,9,179
sensation,0.008487,26,867
throb,0.008120,3,5
calendar,0.007211,4,21
middle-sized,0.006647,2,2
cavity,0.006647,2,2
illogical,0.006647,2,2
pain,0.006630,13,503
paper,0.006565,4,31
inherent,0.006479,5,62
terrible,0.006379,6,120
diana,0.006261,6,333
generous,0.006261,5,92
constrict,0.006091,3,14
tune,0.005982,6,124
restlessness,0.005891,4,75
marker,0.005868,2,3
aliveness,0.005749,5,84
angry,0.005725,6,176
exact,0.005655,4,38
handy,0.005413,2,4
vein,0.005413,2,8
note,0.005367,5,108
agitation,0.005217,5,106
lung,0.005198,3,28
inject,0.005090,2,5
customer,0.005090,2,5
ai,0.004839,2,14
late,0.004831,9,269
wow,0.004825,7,210
top,0.004818,6,165
dog,0.004763,3,41
accurate,0.004688,3,29
actual,0.004646,4,82
insert,0.004635,2,7
um,0.004635,2,8
clark,0.004599,4,281
oppose,0.004599,4,78
ticket,0.004462,2,9
caretaker,0.004312,2,10
obsessive,0.004312,2,13
distinction,0.004253,4,96
difference,0.004193,7,226
big,0.004174,13,645
okay,0.004144,17,1128
stretch,0.004080,3,56
area,0.004013,7,264
notice,0.003863,16,1190
trick,0.003766,2,15
nearly,0.003766,2,17
new,0.003743,10,550
attribute,0.003683,2,22
yell,0.003683,2,18
compare,0.003674,3,76
year,0.003638,13,821
tricky,0.003606,2,20
size,0.003606,2,19
assign,0.003606,2,23
annoy,0.003533,2,28
critic,0.003533,2,52
helpful,0.003518,7,562
expression,0.003424,4,124
test,0.003401,2,23
precisely,0.003401,2,22
diffuse,0.003340,2,32
experience,0.003328,55,3049
weiser,0.003323,1,1
ballpoint,0.003323,1,1
tada,0.003323,1,1
scissor,0.003323,1,1
clicky,0.003323,1,1
ink,0.003323,1,1
reinterpret,0.003323,1,1
scanner,0.003323,1,1
technician,0.003323,1,1
pleural,0.003323,1,1
gps,0.003323,1,1
academically,0.003323,1,1
map,0.003228,2,41
speed,0.003228,2,27
diaphragm,0.003176,2,32
inhabit,0.003176,2,31
story,0.003161,9,988
apparently,0.003078,2,39
adult,0.003078,2,29
behave,0.003078,2,30
permanent,0.003032,2,40
red,0.002946,2,46
rib,0.002946,2,36
three-day,0.002934,1,2
skinny,0.002934,1,7
humiliation,0.002934,1,2
burner,0.002934,1,2
interior,0.002934,1,2
anybody,0.002913,3,115
gosh,0.002905,2,38
fell,0.002905,2,33
funny,0.002827,2,46
idea,0.002823,22,1586
person,0.002759,12,1064
uncomfortable,0.002743,3,195
add,0.002736,4,288
distinguish,0.002720,2,50
year-long,0.002707,1,3
kindergarten,0.002707,1,4
continent,0.002707,1,4
disrespectful,0.002707,1,3
ascribe,0.002707,1,4
cram,0.002707,1,3
malicious,0.002707,1,4
professionally,0.002707,1,3
warm,0.002697,3,120
service,0.002687,2,79
air,0.002675,3,168
change,0.002630,11,1414
small,0.002599,6,387
avoid,0.002568,3,170
fantastic,0.002562,2,53
useful,0.002550,5,275
interactive,0.002545,1,4
toy,0.002545,1,9
preconception,0.002545,1,5
proclaim,0.002545,1,7
provisional,0.002545,1,4
unknowingly,0.002545,1,7
use,0.002510,19,1166
beyond,0.002507,3,185
comment,0.002487,3,190
date,0.002420,1,9
conflate,0.002420,1,6
dye,0.002420,1,5
presumably,0.002420,1,5
curiosity,0.002372,2,99
hear,0.002359,8,844
often,0.002346,14,1064
completely,0.002344,4,248
fascinate,0.002323,2,63
dioxide,0.002317,1,9
inevitable,0.002317,1,8
bike,0.002317,1,20
ski,0.002317,1,8
loosely,0.002317,1,6
discard,0.002317,1,7
bang,0.002317,1,9
whether,0.002317,5,305
increase,0.002231,2,89
tanya,0.002231,1,20
carbon,0.002231,1,11
idealize,0.002231,1,8
somebody,0.002230,3,343
put,0.002189,11,795
right,0.002188,27,2070
describe,0.002163,4,273
noon,0.002156,1,11
optional,0.002156,1,15
