word,tfidf_score,talk_frequency,global_frequency
team,0.022527,8,70
discover,0.020860,20,312
troupe,0.016447,3,3
discovery,0.014860,6,56
soccer,0.014529,3,8
samadhi,0.013804,17,1519
dance,0.012949,5,45
observe,0.012861,7,123
awareness,0.012789,27,1263
unification,0.011824,6,101
float,0.011520,7,113
bang,0.011488,3,9
somatic,0.010692,3,18
aware,0.010192,16,622
light,0.009536,12,468
faculty,0.009504,4,74
anchor,0.009140,4,60
lightly,0.008810,4,47
attentional,0.008774,3,47
ocean,0.008226,4,87
player,0.006911,2,18
plate,0.006911,2,12
experiment,0.006855,3,49
coach,0.006716,2,16
concentration,0.006656,5,230
conceit,0.006529,3,70
judge,0.006414,4,113
holistic,0.006380,2,22
weight,0.006200,4,152
attentive,0.005974,3,53
inclusive,0.005849,2,25
judgment,0.005759,4,179
awkward,0.005632,2,26
pressure,0.005606,5,263
multitracking,0.005482,1,1
uninfluenced,0.005482,1,1
non-hesitation,0.005482,1,1
mailbox,0.005482,1,1
choppiness,0.005482,1,1
uncontracted,0.005482,1,1
untight,0.005482,1,1
successful,0.005437,2,31
tension,0.005249,7,608
expectation,0.005209,3,112
interfere,0.005026,2,44
strength,0.005025,3,99
cognitive,0.004884,2,53
dandelion,0.004843,1,2
proprioception,0.004843,1,2
concentrate,0.004810,3,123
wave,0.004769,3,162
simple,0.004635,9,721
drift,0.004629,2,51
force,0.004518,4,220
non-assertiveness,0.004469,1,3
observer,0.004469,1,6
clank,0.004469,1,3
spoon,0.004469,1,3
intimacy,0.004458,2,44
air,0.004390,3,170
skill,0.004353,2,68
one-pointed,0.004203,1,4
utilize,0.004203,1,4
expense,0.004203,1,8
naturalist,0.004203,1,6
opposition,0.004203,1,6
contention,0.004203,1,5
disparate,0.004203,1,6
aloof,0.004203,1,4
window,0.004069,2,72
unburden,0.003998,1,5
butterfly,0.003998,1,8
kaleidoscope,0.003998,1,6
mail,0.003998,1,5
carrier,0.003998,1,6
willful,0.003998,1,6
hammer,0.003998,1,7
preconceive,0.003998,1,5
undistracted,0.003829,1,17
criticism,0.003829,1,6
