word,tfidf_score,talk_frequency,global_frequency
subjective,0.048423,15,74
samadhi,0.032079,39,1556
sacred,0.029008,15,96
reverence,0.025826,8,29
temple,0.022976,10,71
enter,0.018844,20,384
vessel,0.012717,3,9
dimension,0.011217,5,58
prepare,0.011170,6,82
demeanor,0.009753,2,3
mode,0.009420,4,57
preparation,0.008891,3,29
object,0.008758,8,321
subject,0.008482,4,109
liberate,0.008303,4,72
humility,0.007889,3,32
location,0.007378,4,88
transition,0.007156,3,56
introductory,0.006986,2,13
grove,0.006616,2,21
concentrate,0.006530,4,125
purification,0.006456,2,33
secular,0.006309,2,78
shift,0.005895,8,471
self-reference,0.005514,1,1
precondition,0.005514,1,1
hustle,0.005514,1,1
bustle,0.005514,1,1
chest,0.005261,4,151
special,0.005243,3,89
gentleness,0.005106,2,37
tenderness,0.005034,2,58
belong,0.005022,3,108
discovery,0.004964,2,58
self-consciously,0.004877,1,2
far-fetched,0.004877,1,2
usual,0.004817,3,113
clean,0.004627,3,151
tender,0.004595,2,50
purpose,0.004533,4,311
significance,0.004504,1,3
appropriation,0.004504,1,3
transpersonal,0.004504,1,3
humbleness,0.004504,1,3
translucent,0.004504,1,3
connectivity,0.004504,1,3
residue,0.004504,1,3
across,0.004449,3,161
religion,0.004288,2,103
subjectively,0.004239,1,4
self-conscious,0.004239,1,4
district,0.004239,1,4
forcefulness,0.004239,1,4
yogic,0.004239,1,5
self,0.004226,5,1148
beyond,0.004217,3,188
build,0.004117,4,247
inside,0.004094,6,459
30-minute,0.004034,1,5
sacredness,0.004034,1,6
objectify,0.004034,1,16
focus,0.003923,6,624
treat,0.003906,2,67
momentum,0.003868,2,91
dioxide,0.003866,1,9
life-giving,0.003866,1,7
latter,0.003724,1,7
carbon,0.003724,1,11
transcendent,0.003724,1,11
reorient,0.003724,1,9
soften,0.003650,6,572
care,0.003591,13,1725
spot,0.003558,2,119
consider,0.003546,4,301
distinction,0.003526,2,102
nowadays,0.003493,1,20
teeny,0.003493,1,11
parcel,0.003493,1,9
transparent,0.003493,1,17
byproduct,0.003396,1,10
forceful,0.003396,1,10
useful,0.003381,4,293
gather,0.003353,3,366
heal,0.003348,2,120
attitude,0.003307,3,304
adjust,0.003238,2,102
casually,0.003228,1,18
majesty,0.003228,1,18
attune,0.003212,2,120
gentle,0.003173,3,277
former,0.003155,1,15
attunement,0.003155,1,15
remark,0.003155,1,14
breathe,0.003109,10,2612
quiet,0.003109,5,648
thoroughly,0.003086,1,16
arrange,0.003086,1,15
strain,0.003085,2,137
busy,0.003085,2,102
join,0.003036,2,117
stumble,0.002964,1,18
indian,0.002964,1,25
nibbana,0.002964,1,42
familiarity,0.002964,1,19
dramatically,0.002908,1,18
yoga,0.002908,1,30
bubble,0.002908,1,23
edge,0.002876,2,182
tree,0.002876,2,215
purify,0.002855,1,34
laser,0.002855,1,24
shower,0.002855,1,31
mine,0.002854,2,236
atmosphere,0.002805,1,25
oxygen,0.002805,1,36
grace,0.002805,1,24
greedy,0.002805,1,26
sea,0.002758,1,28
finally,0.002749,2,156
land,0.002689,2,176
spread,0.002689,2,255
zero,0.002671,1,30
limitation,0.002671,1,52
appropriate,0.002650,2,179
neighborhood,0.002630,1,25
mark,0.002630,1,37
new,0.002597,4,558
cup,0.002591,1,53
trace,0.002553,1,38
ultimate,0.002553,1,38
email,0.002553,1,41
theravada,0.002517,1,52
incline,0.002517,1,34
review,0.002517,1,37
twice,0.002517,1,33
orientation,0.002483,2,245
ritual,0.002482,1,76
emphasize,0.002466,2,177
respectful,0.002449,1,34
channel,0.002449,1,39
respect,0.002448,2,241
ready,0.002431,2,187
determine,0.002416,1,35
relax,0.002406,7,1325
tea,0.002355,1,58
material,0.002355,1,54
nature,0.002352,3,413
kindness,0.002352,3,566
inward,0.002326,1,45
everyday,0.002326,1,42
phone,0.002298,1,65
town,0.002270,1,62
attempt,0.002270,1,38
lightness,0.002270,1,80
settle,0.002267,7,1552
shoulder,0.002235,2,220
minute,0.002226,3,365
india,0.002218,1,81
clothe,0.002218,1,54
bow,0.002218,1,54
stretch,0.002218,1,61
outside,0.002174,2,211
degree,0.002174,2,237
wall,0.002168,1,67
walk,0.002150,3,579
attention,0.002136,8,1400
evoke,0.002121,1,74
friendliness,0.002121,1,178
rush,0.002121,1,58
alert,0.002098,1,53
behind,0.002087,2,202
specifically,0.002076,1,58
least,0.002058,2,214
gravity,0.002054,1,54
window,0.002054,1,74
fade,0.002054,1,65
receive,0.002044,2,378
dear,0.002033,1,128
medium,0.002033,1,87
receptive,0.002033,1,83
full,0.002018,3,358
environment,0.002012,1,65
available,0.001990,2,235
invaluable,0.001972,1,73
attentive,0.001972,1,58
belly,0.001963,2,280
intimate,0.001953,1,62
prefer,0.001953,1,61
tradition,0.001936,2,356
align,0.001934,1,83
cycle,0.001915,1,79
floor,0.001915,1,79
unification,0.001915,1,110
face,0.001897,2,256
brain,0.001879,1,112
significant,0.001862,1,76
relaxation,0.001862,1,70
exactly,0.001859,2,245
interpret,0.001845,1,83
tie,0.001845,1,77
necessary,0.001845,1,68
oppose,0.001811,1,90
awake,0.001795,1,92
somewhat,0.001795,1,77
everything,0.001769,5,957
disappear,0.001763,1,125
youtube,0.001763,1,88
expectation,0.001763,1,113
pull,0.001737,2,338
partly,0.001703,1,90
stage,0.001703,1,135
deepen,0.001703,1,91
text,0.001688,1,135
social,0.001688,1,136
represent,0.001674,1,111
contract,0.001674,1,107
buddhism,0.001668,2,578
leave,0.001657,3,511
muscle,0.001646,1,113
helpful,0.001623,2,597
meditate,0.001607,3,538
similar,0.001606,1,87
change,0.001594,4,1471
rhythm,0.001593,1,118
choice,0.001593,1,154
light,0.001590,2,502
quietly,0.001567,1,102
touch,0.001558,3,513
wind,0.001530,1,194
torso,0.001530,1,132
metaphor,0.001530,1,155
soon,0.001518,1,148
wander,0.001518,1,141
embody,0.001506,1,173
suggest,0.001506,1,97
low,0.001494,1,143
wherever,0.001483,1,105
encourage,0.001483,1,126
gaze,0.001460,1,165
attachment,0.001460,1,262
slowly,0.001460,1,111
today,0.001456,6,882
tremendous,0.001449,1,119
judgment,0.001427,1,187
theme,0.001416,1,129
place,0.001391,9,1656
experience,0.001389,14,3247
orient,0.001385,1,223
gift,0.001385,1,153
body,0.001385,16,3405
involve,0.001384,2,448
appear,0.001375,1,138
condition,0.001365,2,702
balance,0.001354,1,239
explore,0.001344,1,205
case,0.001335,1,178
check,0.001335,1,174
gently,0.001327,2,426
power,0.001325,1,227
profound,0.001296,1,225
study,0.001296,1,195
movement,0.001289,2,475
stick,0.001287,1,196
concentration,0.001278,1,247
run,0.001259,1,159
pretty,0.001250,1,183
distract,0.001250,1,166
peaceful,0.001243,2,433
general,0.001242,1,175
would,0.001214,8,2056
amount,0.001173,1,179
language,0.001157,1,198
clarity,0.001149,1,261
ever,0.001141,1,190
field,0.001133,1,281
bear,0.001133,1,249
add,0.001133,1,300
understand,0.001130,4,1281
slow,0.001118,1,168
support,0.001112,3,1043
system,0.001102,1,317
introduction,0.001088,2,295
wide,0.001072,1,297
value,0.001065,1,242
play,0.001058,1,289
connection,0.001051,1,230
release,0.001043,1,320
fill,0.001036,1,250
quite,0.001031,3,733
seem,0.001023,2,526
discover,0.001022,1,325
