word,tfidf_score,talk_frequency,global_frequency
samadhi,0.031179,39,1519
compassion,0.014916,18,676
deliberateness,0.011808,3,20
accompany,0.011521,6,131
context,0.011016,9,185
care,0.009905,35,1613
attitude,0.009863,9,296
reverence,0.009659,3,28
vipassana,0.009234,4,88
purpose,0.009093,8,280
frontal,0.008800,2,4
lightness,0.008779,4,80
preparation,0.008638,3,29
respect,0.008441,7,232
deliberate,0.008030,3,37
successful,0.008030,3,31
sacred,0.007681,4,92
gaze,0.007203,5,156
capable,0.006749,3,40
tender,0.006666,3,50
caregiving,0.006613,2,39
willfulness,0.006613,2,15
outdoors,0.006439,2,27
concentrate,0.006315,4,123
appreciation,0.005857,4,209
radiance,0.005649,2,23
care-feeling,0.005398,1,1
conjoin,0.005398,1,1
golly,0.005398,1,1
disassociate,0.005398,1,1
non-contentious,0.005398,1,1
ritualistically,0.005398,1,1
peacefulness,0.005353,2,22
concentration,0.005242,4,230
overall,0.005100,2,26
challenge,0.005061,5,307
sake,0.004948,2,47
tenderness,0.004948,2,57
gentleness,0.004948,2,37
meaningful,0.004947,3,93
incense,0.004768,1,3
light,0.004694,6,468
effective,0.004678,2,42
dedication,0.004678,2,42
experiment,0.004500,2,49
full-time,0.004400,1,3
intentness,0.004400,1,5
shawl,0.004400,1,3
palette,0.004400,1,3
discouragement,0.004400,1,4
warm,0.004357,3,122
edge,0.004322,3,175
upon,0.004320,4,204
suffer,0.004274,10,1695
love,0.004267,17,1743
development,0.004236,2,58
warmth,0.004219,3,155
friendliness,0.004140,2,177
forcefulness,0.004139,1,4
everyone,0.004066,7,457
fifth,0.004049,2,52
association,0.004049,2,63
monastery,0.004006,2,113
intentional,0.004006,2,58
young,0.003993,3,165
sacredness,0.003936,1,6
fable,0.003936,1,13
abbess,0.003936,1,21
candle,0.003936,1,8
child,0.003932,3,213
invaluable,0.003921,2,68
profound,0.003872,3,215
normal,0.003796,4,183
accompaniment,0.003770,1,20
idealistic,0.003770,1,7
ordinary,0.003645,3,192
introductory,0.003630,1,11
combine,0.003630,1,7
assault,0.003630,1,8
prepare,0.003618,2,80
special,0.003549,2,83
wholeheartedly,0.003509,1,9
capacity,0.003435,4,403
abbot,0.003402,1,21
detach,0.003402,1,12
toward,0.003388,2,153
supply,0.003306,1,13
contribute,0.003269,2,102
value,0.003240,3,227
anukampa,0.003220,1,29
hijack,0.003220,1,17
grove,0.003220,1,21
bath,0.003220,1,14
safety,0.003212,2,118
stable,0.003212,2,108
elder,0.003141,1,18
blanket,0.003141,1,13
kindness,0.003107,4,545
breathe,0.003094,10,2491
strain,0.003027,2,134
attention,0.003006,11,1275
wander,0.003002,2,137
karuna,0.003001,1,36
sport,0.003001,1,20
robe,0.003001,1,33
stability,0.002977,2,169
offer,0.002975,8,696
fulfillment,0.002938,1,23
discipline,0.002938,1,19
infuse,0.002938,1,21
disappointment,0.002938,1,20
low,0.002928,2,140
mudita,0.002879,1,82
transformative,0.002879,1,22
familiarity,0.002879,1,19
kick,0.002879,1,19
wouldn't,0.002835,2,131
tree,0.002835,2,203
apply,0.002813,2,166
foundation,0.002790,2,165
atmosphere,0.002772,1,24
oxygen,0.002723,1,36
embodiment,0.002723,1,27
deliberately,0.002723,1,42
spread,0.002704,2,238
enter,0.002689,3,381
uncommon,0.002677,1,24
distinct,0.002677,1,24
someplace,0.002632,1,27
injure,0.002590,1,34
deserve,0.002550,1,33
include,0.002547,4,397
occur,0.002485,2,142
well-wishing,0.002474,1,48
integral,0.002474,1,31
unite,0.002474,1,32
skilled,0.002474,1,33
ritual,0.002474,1,60
standard,0.002438,1,32
highly,0.002438,1,34
discovery,0.002438,1,56
consciously,0.002438,1,31
meet,0.002433,4,610
violence,0.002404,1,62
determine,0.002404,1,33
success,0.002339,1,57
weather,0.002308,1,56
mindfulness,0.002253,5,990
force,0.002224,2,220
cold,0.002222,1,53
enlighten,0.002195,1,49
bow,0.002195,1,51
softly,0.002168,1,45
reminder,0.002168,1,54
quick,0.002168,1,42
wide,0.002160,2,259
deep,0.002125,11,1709
free,0.002119,7,748
steadiness,0.002118,1,105
overwhelm,0.002094,1,57
liberate,0.002070,1,63
ability,0.002069,2,240
discover,0.002054,2,312
sight,0.002047,1,63
settledness,0.002025,1,76
motivation,0.002025,1,75
calm,0.002013,3,810
touch,0.002012,4,497
consequence,0.002003,1,62
dedicate,0.002003,1,55
receptive,0.002003,1,81
environment,0.002003,1,61
massage,0.001981,1,99
welfare,0.001981,1,105
central,0.001981,1,74
week,0.001979,6,717
imagination,0.001961,1,96
attentive,0.001961,1,53
sign,0.001940,1,89
distress,0.001940,1,86
focus,0.001925,3,607
school,0.001901,1,99
cycle,0.001882,1,77
peaceful,0.001867,3,412
relaxation,0.001863,1,63
area,0.001858,2,268
support,0.001841,5,960
heart,0.001819,9,1680
