word,tfidf_score,talk_frequency,global_frequency
afflict,0.052956,21,27
lock,0.029249,18,71
river,0.026347,23,351
noble,0.021359,21,268
change,0.017811,67,1441
appearance,0.017025,9,49
forever,0.015998,11,68
sariputta,0.015714,6,33
truth,0.015249,22,525
self-pity,0.013248,4,5
nakulapita,0.011248,3,3
migraine,0.011248,3,3
old,0.011137,13,200
eightfold,0.009260,6,103
man,0.008796,7,139
medication,0.008624,3,6
flow,0.008573,15,570
age,0.007842,6,78
platonic,0.007499,2,2
botox,0.007499,2,2
anoint,0.007499,2,2
watercolor,0.007499,2,2
statement,0.007443,5,60
stream,0.007396,6,110
dhamma,0.007197,4,129
distress,0.006739,5,86
ambrosia,0.006624,2,4
venerable,0.006253,3,41
year,0.006050,19,830
paint,0.006000,3,27
pandita,0.005750,2,5
suffer,0.005344,18,1695
self-image,0.005238,2,11
brush,0.005043,2,13
train,0.004989,6,306
apply,0.004884,5,166
sparkle,0.004875,2,14
latch,0.004726,2,11
bucket,0.004726,2,23
ill,0.004623,4,142
burden,0.004574,3,46
store,0.004519,3,54
householder,0.004473,2,21
permanence,0.004473,2,22
watch,0.004342,6,250
pass,0.004240,4,149
advance,0.004169,2,17
lucky,0.004082,2,21
catch,0.004073,8,440
pain,0.004029,7,514
cessation,0.004000,2,46
evocative,0.004000,2,17
vantage,0.003924,2,23
mine,0.003877,4,232
buddha,0.003854,17,1883
resist,0.003806,3,93
antibiotic,0.003749,1,1
fend,0.003749,1,1
encumber,0.003749,1,1
unafflicted,0.003749,1,1
nauseous,0.003749,1,1
uncomplaining,0.003749,1,1
non-affliction,0.003749,1,1
non-hostility,0.003749,1,1
zero,0.003719,2,28
resistance,0.003629,3,123
expectation,0.003563,3,112
disappear,0.003530,3,125
difference,0.003368,5,233
onto,0.003347,3,95
reply,0.003340,2,47
path,0.003336,7,849
template,0.003312,1,2
orthodox,0.003312,1,3
er,0.003312,1,2
aspirin,0.003312,1,2
stern,0.003312,1,2
deadly,0.003312,1,3
somatically,0.003312,1,2
fear,0.003308,6,506
color,0.003294,2,62
tea,0.003294,2,55
stress,0.003253,4,294
react,0.003234,3,100
step,0.003168,6,419
plato,0.003056,1,8
foolishness,0.003056,1,8
decay,0.003056,1,6
lyric,0.003056,1,3
succumb,0.003056,1,8
unattached,0.003056,1,3
bright,0.002942,2,68
conversation,0.002931,3,185
cream,0.002875,1,8
homage,0.002875,1,7
discrimination,0.002875,1,4
clerk,0.002875,1,4
concept,0.002795,3,259
you'll,0.002792,4,227
central,0.002753,2,74
fierce,0.002734,1,6
fleet,0.002734,1,10
kaleidoscope,0.002734,1,6
non-ill,0.002734,1,7
premise,0.002734,1,6
recently,0.002695,2,56
bless,0.002668,2,119
freedom,0.002654,6,638
custom,0.002619,1,6
new,0.002594,6,551
lean,0.002588,2,80
ago,0.002563,4,268
disaster,0.002522,1,7
surgery,0.002522,1,9
wise,0.002509,4,454
laughter,0.002465,2,76
curious,0.002465,2,94
