word,tfidf_score,talk_frequency,global_frequency
hindrance,0.016322,9,197
effect,0.012007,8,162
homeostasis,0.011916,3,11
samadhi,0.011213,14,1514
obsessive,0.010616,3,13
agitation,0.010277,6,106
quality,0.010268,15,620
limit,0.010162,7,175
narrow,0.009533,5,83
discouragement,0.008885,2,4
discourage,0.008699,3,20
deplete,0.008355,2,5
unify,0.007627,4,90
sake,0.007578,3,46
sensation,0.007501,14,867
fragment,0.007465,3,40
mentality,0.007323,2,10
remorse,0.007323,2,12
shut,0.007253,3,39
freeze,0.007055,3,50
worry,0.006749,5,154
choice,0.006431,4,148
fullness,0.006236,3,59
domain,0.005919,2,34
settle,0.005552,17,1501
pressure,0.005491,5,263
wherewithal,0.005455,1,1
large,0.005399,4,139
refrain,0.005298,2,62
study,0.005232,4,175
agitate,0.005139,3,103
regret,0.005131,2,34
contract,0.005091,3,96
affect,0.005045,3,99
heal,0.004999,3,107
ritual,0.004977,2,60
subliminally,0.004816,1,2
whisperer,0.004816,1,4
familiar,0.004807,4,178
tightness,0.004619,3,113
catch,0.004496,6,427
solve,0.004205,2,77
reorganize,0.004178,1,6
systematic,0.004178,1,4
dark,0.004157,2,57
activate,0.004157,2,86
healthy,0.004110,4,267
balance,0.004049,3,231
profound,0.003986,3,207
daydream,0.003972,1,5
knit,0.003972,1,7
overactivated,0.003972,1,5
accompany,0.003935,2,124
dissolve,0.003813,2,83
relieve,0.003804,1,7
unwholesomeness,0.003804,1,8
numb,0.003804,1,15
deflate,0.003804,1,7
timer,0.003804,1,7
wholeness,0.003699,2,147
globe,0.003662,1,20
tour,0.003662,1,12
border,0.003662,1,10
location,0.003592,2,87
small,0.003555,5,387
common,0.003551,3,164
capacity,0.003550,4,384
tug,0.003539,1,9
pull,0.003473,4,320
seventh,0.003430,1,11
oftentimes,0.003430,1,12
contraction,0.003426,2,91
absorb,0.003426,2,130
unwholesome,0.003426,2,176
calm,0.003423,5,801
physical,0.003420,3,208
position,0.003394,2,86
force,0.003344,3,219
skull,0.003333,1,19
hind,0.003333,1,19
compulsive,0.003333,1,12
strength,0.003333,2,98
trouble,0.003273,2,91
story-making,0.003245,1,15
lousy,0.003245,1,11
torpor,0.003245,1,26
rhythm,0.003216,2,110
torso,0.003188,2,116
discover,0.003175,3,294
sloth,0.003165,1,29
subconscious,0.003165,1,13
judge,0.003160,2,113
strain,0.003106,2,131
compulsion,0.003091,1,27
scope,0.003091,1,17
weight,0.003079,2,150
concern,0.003038,3,269
lay,0.003027,2,141
soften,0.003024,5,544
component,0.003023,1,18
low,0.003002,2,135
tension,0.002975,4,604
importantly,0.002959,1,16
visualize,0.002959,1,22
energize,0.002959,1,25
fourth,0.002952,2,154
mind,0.002951,90,4488
mental,0.002907,3,344
edge,0.002903,2,173
blind,0.002900,1,25
dramatically,0.002900,1,17
preparation,0.002900,1,29
tight,0.002880,2,134
upper,0.002844,1,20
adjustment,0.002844,1,18
avoid,0.002810,2,170
foundation,0.002810,2,164
ambition,0.002791,1,32
drain,0.002791,1,20
preoccupation,0.002787,2,205
full,0.002759,4,325
heaviness,0.002741,1,33
calmness,0.002694,1,39
rumination,0.002694,1,46
enter,0.002682,3,375
dance,0.002606,1,44
meditators,0.002606,1,26
aware,0.002575,4,590
activity,0.002567,3,439
intelligence,0.002565,1,114
occur,0.002555,2,137
breathe,0.002529,8,2454
particular,0.002496,4,433
tower,0.002488,1,43
cage,0.002452,1,35
discovery,0.002452,1,56
mode,0.002452,1,51
rib,0.002418,1,36
feedback,0.002418,1,42
restlessness,0.002418,1,75
form,0.002400,4,443
spine,0.002384,1,46
report,0.002384,1,37
awareness,0.002379,5,1247
light,0.002368,3,462
guidance,0.002352,1,40
underlie,0.002352,1,65
success,0.002352,1,57
territory,0.002352,1,31
hop,0.002320,1,37
state,0.002269,4,818
attitude,0.002263,2,290
absorption,0.002261,1,45
loop,0.002261,1,42
conceit,0.002233,1,58
shoulder,0.002229,2,207
burden,0.002205,1,46
minute,0.002182,3,343
gentle,0.002180,2,257
slow,0.002164,2,162
possible,0.002161,4,510
neck,0.002152,1,55
impulse,0.002152,1,65
wear,0.002152,1,67
block,0.002152,1,68
aversion,0.002132,2,482
relax,0.002132,6,1230
involve,0.002117,3,408
overwhelm,0.002103,1,57
act,0.002086,2,316
problem,0.002086,2,292
gravity,0.002055,1,51
welfare,0.002055,1,99
consequence,0.002055,1,60
sleep,0.002055,1,69
available,0.002055,2,214
motivation,0.002033,1,75
disconnect,0.002010,1,86
certainly,0.001996,2,204
invaluable,0.001967,1,68
situation,0.001967,2,316
bone,0.001947,1,64
commentary,0.001926,1,86
fight,0.001926,1,103
rich,0.001926,1,65
head,0.001910,2,267
silent,0.001907,1,111
beneficial,0.001887,1,92
aliveness,0.001887,1,84
series,0.001882,2,248
associate,0.001882,2,234
afternoon,0.001850,1,67
significant,0.001850,1,70
resist,0.001850,1,92
inspiration,0.001850,1,125
task,0.001850,1,72
awake,0.001831,1,78
face,0.001815,2,251
particularly,0.001814,1,86
expectation,0.001729,1,106
partly,0.001729,1,83
picture,0.001713,1,118
confidence,0.001697,1,156
tense,0.001651,1,125
discussion,0.001651,1,90
goodness,0.001638,2,474
adjust,0.001637,1,92
stable,0.001608,1,108
appreciate,0.001607,3,568
characteristic,0.001594,1,190
big,0.001581,3,645
they've,0.001580,1,96
assume,0.001578,2,230
important,0.001563,5,806
leg,0.001553,1,104
stillness,0.001540,1,179
content,0.001501,1,167
define,0.001501,1,125
join,0.001488,1,113
encourage,0.001488,1,120
arm,0.001476,1,120
gaze,0.001464,1,152
period,0.001464,1,112
remind,0.001464,1,110
wake,0.001452,1,121
lose,0.001443,2,413
hatred,0.001440,1,197
become,0.001413,16,1735
almost,0.001390,3,558
personal,0.001383,1,158
daily,0.001371,1,153
beyond,0.001371,1,185
explore,0.001371,1,195
spread,0.001361,1,235
surface,0.001339,1,160
belief,0.001339,1,280
concentration,0.001329,1,223
require,0.001329,1,146
power,0.001329,1,216
chance,0.001318,1,150
contact,0.001308,1,224
greed,0.001298,1,240
chest,0.001288,1,144
i'd,0.001288,2,426
mention,0.001268,1,157
harm,0.001268,1,422
control,0.001258,1,267
distract,0.001248,1,155
space,0.001248,2,704
quiet,0.001238,2,622
operate,0.001229,1,256
hour,0.001220,1,193
ready,0.001211,1,177
wholesome,0.001202,1,349
hand,0.001200,2,474
ground,0.001184,1,218
change,0.001177,3,1414
everyone,0.001172,2,446
whole,0.001168,4,1133
purpose,0.001166,1,266
fix,0.001148,1,275
understand,0.001141,4,1194
expand,0.001131,1,183
within,0.001126,2,524
term,0.001123,1,262
value,0.001123,1,214
alive,0.001106,1,188
wide,0.001106,1,254
doe,0.001099,3,839
