word,tfidf_score,talk_frequency,global_frequency
beginnings,0.023198,11,22
upaka,0.014495,5,5
endings,0.012743,7,28
generosity,0.011993,15,206
yasa,0.011596,4,4
beginning,0.009860,31,456
awakened,0.009175,9,92
indulgences,0.008697,3,3
yasa's,0.008697,3,3
acquire,0.008609,5,15
supreme,0.007775,4,13
yeah,0.007419,15,767
sublime,0.007401,5,26
meditative,0.007212,7,76
ending,0.007186,6,59
year,0.007181,10,243
figure,0.006900,10,169
began,0.006758,6,76
everything's,0.006230,5,43
clark,0.005992,6,281
asceticism,0.005831,3,11
acquired,0.005831,3,10
soon,0.005743,7,138
inherent,0.005632,5,62
diana,0.005434,6,331
treat,0.005356,4,31
teach,0.005349,8,187
january,0.005306,3,16
turns,0.005278,7,183
throw,0.005198,4,47
son,0.005124,4,76
vesak,0.005118,2,3
pronounce,0.005118,2,4
commitment,0.005053,4,47
begin,0.005031,19,555
unclenching,0.004719,2,4
literature,0.004709,3,25
beliefs,0.004704,5,148
tradition,0.004557,8,262
ethical,0.004529,5,192
eat,0.004453,4,68
extreme,0.004285,3,28
okay,0.004211,20,1126
became,0.004174,5,129
spiritual,0.004172,7,555
awakening,0.004108,6,280
idealized,0.004039,2,7
shakes,0.004039,2,7
volunteering,0.004039,2,17
uncomfortable,0.003998,5,194
buddha,0.003958,21,1594
late,0.003957,3,47
meets,0.003957,3,43
somebody,0.003950,6,318
pointing,0.003865,5,154
idea,0.003805,23,1145
peace,0.003786,12,619
disturbing,0.003756,2,11
anchor,0.003738,3,48
celebration,0.003641,2,11
biography,0.003641,2,13
lightly,0.003548,3,45
traffic,0.003537,2,11
highlighting,0.003537,2,16
he's,0.003450,5,305
movement,0.003436,8,356
dukkha,0.003396,5,401
story,0.003385,8,624
teaching,0.003348,9,477
questioner,0.003302,3,228
isn't,0.003260,8,390
sensual,0.003228,3,104
professional,0.003207,2,26
money,0.003192,3,75
oh,0.003152,14,1322
deserve,0.003139,2,24
distracting,0.003139,2,20
paper,0.003076,2,27
underneath,0.003027,3,86
instead,0.002999,8,439
teacher,0.002968,6,329
walks,0.002960,2,25
community,0.002943,4,310
implicit,0.002907,2,29
wife,0.002907,2,37
fueling,0.002907,2,45
accept,0.002907,3,85
boost,0.002899,1,1
janus,0.002899,1,1
spokes,0.002899,1,1
pens,0.002899,1,1
tallies,0.002899,1,1
embers,0.002899,1,1
reaffirms,0.002899,1,1
niceties,0.002899,1,1
self-mortification,0.002899,1,1
pleasantries,0.002899,1,1
excerpting,0.002899,1,1
proclaims,0.002899,1,1
blobs,0.002899,1,1
over-anchor,0.002899,1,1
fallibility,0.002899,1,1
pieced,0.002899,1,1
conrad,0.002899,1,1
unusual,0.002857,2,27
seek,0.002857,2,30
practices,0.002849,4,153
wrote,0.002822,3,70
concept,0.002822,3,89
relationships,0.002795,3,98
immediately,0.002769,3,76
range,0.002743,3,89
doubt,0.002743,3,146
sorry,0.002720,2,29
resources,0.002720,2,37
organized,0.002678,2,61
faculties,0.002678,2,56
showing,0.002643,3,95
lies,0.002638,2,37
knowing,0.002606,8,621
letting,0.002601,12,758
poet,0.002599,2,43
imc,0.002593,4,158
name,0.002573,4,188
forbid,0.002559,1,2
efficiency,0.002559,1,2
pencils,0.002559,1,2
taxpayers,0.002559,1,2
disorganized,0.002559,1,2
tickets,0.002559,1,3
ash,0.002559,1,4
grind,0.002559,1,2
anew,0.002559,1,2
luxuries,0.002559,1,2
convinces,0.002559,1,2
kondañña,0.002559,1,2
seekers,0.002559,1,2
day-long,0.002559,1,2
expertise,0.002559,1,2
checkbook,0.002559,1,2
unsettledness,0.002559,1,2
popped,0.002559,1,2
skipped,0.002559,1,2
loving-kindness,0.002549,3,182
individuals,0.002526,2,42
distraction,0.002526,2,41
poem,0.002505,3,329
beauty,0.002483,3,164
bright,0.002459,2,45
state,0.002455,5,483
emphasis,0.002440,3,106
freely,0.002426,2,53
enlightened,0.002426,2,45
real,0.002419,5,225
usually,0.002419,5,227
pure,0.002395,2,59
eating,0.002365,2,45
southeast,0.002360,1,4
mildly,0.002360,1,3
flickering,0.002360,1,4
corporate,0.002360,1,4
inconsequential,0.002360,1,3
repercussions,0.002360,1,3
bonfire,0.002360,1,3
troublesome,0.002360,1,3
retired,0.002360,1,3
refuse,0.002360,1,3
fuels,0.002360,1,3
honors,0.002360,1,4
newsletter,0.002360,1,7
chord,0.002360,1,3
didn't,0.002354,7,505
woman,0.002336,2,97
wasn't,0.002313,5,290
skin,0.002307,2,61
realized,0.002300,3,125
opposite,0.002300,3,107
practicing,0.002284,6,332
teaches,0.002280,2,55
head,0.002279,4,219
leave,0.002262,4,191
ignite,0.002218,1,4
optimism,0.002218,1,4
machines,0.002218,1,9
thinker,0.002218,1,6
chances,0.002201,2,62
generous,0.002201,2,77
causing,0.002176,2,73
happen,0.002174,8,526
holding,0.002132,5,371
unfold,0.002128,2,72
