word,tfidf_score,talk_frequency,global_frequency
lake,0.035886,17,125
tension,0.021043,29,596
gas,0.018250,5,11
tense,0.017515,11,124
doubt,0.017515,11,164
relax,0.014606,42,1213
station,0.014600,4,16
freeze,0.013699,6,49
samadhi,0.012905,17,1514
basin,0.012795,3,5
tighten,0.012511,6,58
water,0.011051,12,484
gasoline,0.010480,2,2
bucket,0.009871,3,23
green,0.008339,3,20
contraction,0.008185,5,91
untroubled,0.008020,2,5
fluid,0.007745,3,28
soften,0.007010,12,535
hindrance,0.006936,4,197
uncertain,0.006394,2,14
block,0.006181,3,68
usual,0.006144,4,106
absence,0.005900,3,96
pull,0.005811,7,319
unnecessarily,0.005796,2,16
pool,0.005350,2,41
algae,0.005240,1,1
nozzle,0.005240,1,1
dangerous,0.004994,2,33
car,0.004957,3,135
contract,0.004866,3,96
uncertainty,0.004840,2,36
liberation,0.004821,3,113
stick,0.004797,4,191
u-turn,0.004625,1,2
interval,0.004625,1,2
divide,0.004444,2,54
tightness,0.004410,3,113
clean,0.004410,3,144
focus,0.004322,7,597
wide,0.004276,4,252
rudimentary,0.004265,1,3
eighth,0.004265,1,3
dam,0.004265,1,3
dilemma,0.004265,1,4
limit,0.004192,3,173
liberate,0.004170,2,56
tight,0.004122,3,134
park,0.004120,2,50
fullness,0.004024,2,58
wrist,0.004010,1,4
dirty,0.004010,1,6
connoisseur,0.004010,1,4
sensitize,0.004010,1,4
healthy,0.003938,4,265
lifetime,0.003890,2,71
liquid,0.003812,1,5
rigidity,0.003812,1,5
knit,0.003812,1,7
price,0.003812,1,8
piece,0.003801,3,217
invaluable,0.003764,2,68
glorify,0.003650,1,8
intersection,0.003650,1,9
widely,0.003650,1,7
timer,0.003650,1,7
relaxation,0.003610,2,62
wholeness,0.003573,2,146
prepare,0.003537,2,77
partial,0.003513,1,12
deaden,0.003513,1,12
journal,0.003513,1,7
necessary,0.003434,2,67
cling,0.003420,4,532
clock,0.003395,1,12
distinction,0.003336,2,96
calm,0.003311,5,782
unresolved,0.003290,1,16
bathroom,0.003290,1,14
mud,0.003197,1,16
temporary,0.003197,1,11
progressive,0.003197,1,20
gentle,0.003183,3,250
inspire,0.003136,3,229
muscle,0.003127,2,104
simplistic,0.003112,1,11
impactful,0.003112,1,11
machine,0.003112,1,18
expert,0.003112,1,14
select,0.003035,1,18
constriction,0.003035,1,16
cost,0.003035,1,18
easily,0.003018,2,97
release,0.002976,3,295
rigid,0.002964,1,19
elbow,0.002964,1,31
wednesday,0.002964,1,20
forehead,0.002898,1,22
metaphor,0.002890,2,146
decrease,0.002837,1,17
resonance,0.002837,1,22
alarm,0.002837,1,21
situation,0.002825,3,315
stay,0.002795,7,808
breathe,0.002783,9,2412
forefront,0.002780,1,17
return,0.002773,4,265
strong,0.002711,4,436
state,0.002693,5,816
preoccupation,0.002681,2,204
separate,0.002681,2,143
recognize,0.002627,5,645
capacity,0.002623,3,372
profound,0.002596,2,195
throat,0.002582,1,31
beginner,0.002538,1,38
scan,0.002538,1,36
sweep,0.002538,1,38
sooner,0.002538,1,24
study,0.002514,2,174
whole,0.002511,9,1124
diaphragm,0.002497,1,32
well-wishing,0.002497,1,33
inherently,0.002497,1,32
coffee,0.002497,1,39
reasonable,0.002497,1,29
difficult,0.002472,3,323
penetrate,0.002458,1,33
aware,0.002450,4,589
learn,0.002409,7,750
flow,0.002382,3,559
unnecessary,0.002349,1,34
overcome,0.002349,1,58
ready,0.002325,2,175
red,0.002315,1,46
variety,0.002315,1,33
effective,0.002283,1,40
contrast,0.002252,1,39
dynamic,0.002252,1,46
manifest,0.002222,1,43
morning,0.002155,4,388
next,0.002151,6,607
reminder,0.002111,1,52
neck,0.002085,1,50
grab,0.002060,1,73
decision,0.002060,1,51
pleasant,0.002059,2,350
hold,0.002046,7,995
partner,0.002036,1,58
finger,0.002036,1,45
jaw,0.002036,1,48
fill,0.002029,2,222
whenever,0.002012,1,43
fifth,0.002012,1,47
open,0.001998,10,1183
tire,0.001967,1,82
street,0.001967,1,84
exercise,0.001945,1,59
receive,0.001926,2,366
massage,0.001923,1,98
smell,0.001923,1,78
unification,0.001903,1,95
attention,0.001883,7,1243
difference,0.001883,2,225
normal,0.001883,2,176
narrow,0.001843,1,81
silent,0.001843,1,110
head,0.001828,2,260
carefully,0.001824,1,56
cover,0.001824,1,66
area,0.001815,2,260
fully,0.001801,2,284
significant,0.001787,1,69
task,0.001787,1,71
potential,0.001787,1,81
establish,0.001769,1,68
still,0.001754,6,785
increase,0.001751,1,89
ahead,0.001751,1,76
natural,0.001749,2,318
extend,0.001717,1,75
nothing,0.001711,3,462
current,0.001700,1,116
near,0.001668,1,111
spot,0.001652,1,116
unwholesome,0.001637,1,176
matter,0.001636,2,282
grasp,0.001622,1,134
comfort,0.001607,1,114
highlight,0.001607,1,102
strength,0.001607,1,97
heal,0.001607,1,103
trouble,0.001592,1,86
around,0.001584,10,1116
project,0.001578,1,106
it'll,0.001578,1,99
desire,0.001564,2,738
rhythm,0.001550,1,109
attune,0.001536,1,114
valuable,0.001536,1,93
forget,0.001536,1,93
light,0.001518,2,460
big,0.001512,3,642
month,0.001509,1,109
important,0.001478,5,800
keep,0.001478,5,800
clear,0.001473,3,556
nice,0.001448,3,541
basic,0.001445,1,121
lay,0.001445,1,141
anymore,0.001445,1,99
crave,0.001433,1,272
catch,0.001429,2,424
close,0.001422,6,640
wherever,0.001421,1,99
walk,0.001419,2,534
remind,0.001409,1,108
period,0.001397,1,112
wonder,0.001397,1,139
eventually,0.001397,1,103
minute,0.001387,2,342
awareness,0.001387,3,1240
slowly,0.001386,1,106
recognition,0.001363,1,212
avoid,0.001352,1,169
opposite,0.001352,1,117
others,0.001345,5,1015
foundation,0.001341,1,164
begin,0.001337,8,1397
posture,0.001326,3,586
full,0.001324,2,322
check,0.001298,1,162
body,0.001294,15,3198
fine,0.001288,1,150
enough,0.001278,4,728
case,0.001277,1,167
chance,0.001277,1,148
course,0.001267,3,665
top,0.001267,1,164
grind,0.001247,1,160
yesterday,0.001247,1,154
movement,0.001245,2,448
turn,0.001244,3,671
chest,0.001237,1,143
necessarily,0.001228,1,142
possibility,0.001199,1,159
opportunity,0.001199,1,167
emphasize,0.001199,1,154
heart,0.001199,6,1635
eye,0.001198,3,610
powerful,0.001190,1,146
stress,0.001172,1,257
form,0.001168,2,430
hour,0.001163,1,193
oneself,0.001154,1,175
hand,0.001150,2,472
wholesome,0.001145,1,349
line,0.001145,1,215
question,0.001131,2,835
field,0.001127,1,247
goodwill,0.001127,1,427
common,0.001127,1,164
attitude,0.001119,1,265
presence,0.001110,1,207
every,0.001077,2,478
shoulder,0.001077,1,201
wow,0.001077,1,210
pressure,0.001069,1,259
meditate,0.001068,2,493
sometimes,0.001067,12,1836
slow,0.001037,1,161
ability,0.001037,1,227
side,0.001030,1,272
possible,0.001025,2,509
object,0.001014,1,294
aversion,0.001014,1,482
quite,0.001011,3,682
dharma,0.001008,2,827
behind,0.001007,1,184
comfortable,0.001007,1,210
challenge,0.000992,1,292
invite,0.000992,1,316
problem,0.000992,1,292
concern,0.000992,1,260
simple,0.000991,2,685
soft,0.000985,1,243
build,0.000985,1,233
available,0.000985,1,213
least,0.000985,1,202
awaken,0.000977,1,412
tomorrow,0.000963,1,179
tend,0.000956,1,224
pleasure,0.000949,1,694
middle,0.000949,1,212
subtle,0.000928,1,372
especially,0.000928,1,202
belly,0.000921,1,260
wrong,0.000921,1,318
associate,0.000907,1,222
series,0.000901,1,247
allow,0.000894,5,1500
may,0.000890,7,2140
able,0.000884,2,605
need,0.000881,6,1540
stand,0.000881,1,273
either,0.000881,1,227
listen,0.000874,1,369
