word,tfidf_score,talk_frequency,global_frequency
subjective,0.051284,16,74
tooth-brusher,0.027552,5,5
limit,0.022760,16,181
identify,0.021786,14,141
partial,0.021488,6,13
teeth,0.017361,5,16
self-made,0.016531,3,3
objectification,0.016070,4,11
brush,0.014821,4,13
limitation,0.013895,5,48
objectify,0.012052,3,16
samadhi,0.011480,14,1516
hindrance,0.009137,5,198
enter,0.008277,9,375
concept,0.008206,6,259
identity,0.007755,4,156
zen,0.007105,4,139
meditator,0.006886,3,47
quality,0.006238,9,624
student,0.005876,3,164
suppose,0.005750,5,175
preoccupation,0.005645,4,206
hum,0.005558,2,30
appearance,0.005558,2,49
respective,0.005510,1,1
sweeper,0.005510,1,1
partiality,0.005510,1,1
past,0.005504,5,227
task,0.005482,3,77
comfort,0.005137,3,114
settle,0.005127,16,1516
projection,0.005049,2,33
skilled,0.005049,2,33
onto,0.004914,3,95
removal,0.004867,1,2
ninth,0.004867,1,2
functionally,0.004867,1,2
is-ness,0.004867,1,2
leg,0.004708,3,106
whole,0.004692,16,1149
immediate,0.004650,2,47
master,0.004650,2,54
clean,0.004629,3,148
inner,0.004610,6,481
future,0.004600,4,217
goodwill,0.004533,4,504
short-change,0.004491,1,4
unconcerned,0.004491,1,3
neck,0.004372,2,55
lose,0.004348,6,421
object,0.004308,4,302
subjectively,0.004224,1,4
conflict,0.004177,2,320
touch,0.004124,8,496
consciousness,0.004086,2,139
fullness,0.004086,2,63
entryway,0.004017,1,7
secretly,0.004017,1,5
warmhearted,0.004017,1,7
confirm,0.004017,1,11
truncate,0.004017,1,6
friendly,0.004000,2,122
focus,0.003947,6,606
sacred,0.003917,2,92
lens,0.003878,2,70
badge,0.003848,1,7
reappear,0.003848,1,8
idea,0.003781,18,1634
catch,0.003758,5,435
fantasy,0.003726,2,89
objective,0.003705,1,8
coat,0.003705,1,8
supernatural,0.003705,1,11
fully,0.003705,4,297
affirm,0.003581,1,9
crime,0.003581,1,12
cognition,0.003581,1,14
view,0.003499,4,679
pull,0.003474,4,326
ridiculous,0.003472,1,11
doubt,0.003394,2,164
inherit,0.003374,1,12
unpleasant,0.003364,2,233
foot,0.003326,3,231
wide,0.003326,3,258
expert,0.003286,1,14
eat,0.003248,2,135
aversion,0.003231,3,484
attune,0.003220,2,117
oddly,0.003205,1,15
holistic,0.003205,1,22
sensibility,0.003205,1,18
easily,0.003139,2,100
breathe,0.003136,10,2491
immediacy,0.003131,1,15
aspire,0.003131,1,17
thursday,0.003131,1,18
treasure,0.003062,1,37
victim,0.003062,1,23
define,0.003011,2,129
unsettle,0.002998,1,31
arm,0.002986,2,121
uncomfortable,0.002938,2,207
story,0.002908,5,1011
judgment,0.002891,2,179
manipulate,0.002882,1,19
apologize,0.002882,1,19
prioritize,0.002882,1,32
box,0.002829,1,33
embodiment,0.002779,1,27
harmonious,0.002779,1,23
hair,0.002779,1,29
miracle,0.002779,1,58
exactly,0.002759,3,238
dislike,0.002731,1,29
vibration,0.002731,1,27
zero,0.002731,1,28
risk,0.002731,1,25
fluid,0.002731,1,28
body,0.002689,30,3278
identification,0.002686,1,33
classically,0.002686,1,26
filter,0.002643,1,32
silly,0.002643,1,30
sweep,0.002643,1,40
piece,0.002611,2,222
course,0.002604,6,693
tingle,0.002602,1,30
deep,0.002573,13,1699
poor,0.002562,1,35
overlook,0.002562,1,28
well-wishing,0.002524,1,48
regret,0.002524,1,37
essential,0.002524,1,38
fragment,0.002488,1,41
overcome,0.002488,1,58
boy,0.002488,1,44
discovery,0.002488,1,56
desire,0.002478,3,743
mode,0.002453,1,52
fear,0.002442,3,503
sacrifice,0.002419,1,50
lock,0.002387,1,71
contrast,0.002355,1,40
humanity,0.002325,1,50
physical,0.002317,2,209
fix,0.002300,2,284
temple,0.002295,1,70
divide,0.002295,1,58
strongly,0.002295,1,41
convince,0.002295,1,40
carry,0.002267,2,203
bow,0.002239,1,51
connect,0.002236,4,661
lightly,0.002212,1,47
pleasant,0.002201,2,351
walk,0.002190,3,549
wall,0.002186,1,60
recognize,0.002183,4,667
relax,0.002155,6,1244
degree,0.002154,2,230
normally,0.002136,1,47
live,0.002124,7,1172
finger,0.002112,1,47
friendliness,0.002112,1,177
relevant,0.002088,1,52
least,0.002078,2,205
opinion,0.002065,1,120
full,0.002064,3,338
experience,0.002052,21,3116
intentional,0.002043,1,58
available,0.002033,2,222
preference,0.002021,1,65
fly,0.002021,1,66
direct,0.002019,2,272
easeful,0.002000,1,69
unification,0.002000,1,99
tomorrow,0.001990,2,188
notice,0.001979,5,1214
conclusion,0.001959,1,56
classic,0.001959,1,62
anywhere,0.001959,1,62
treat,0.001939,1,66
series,0.001934,2,248
head,0.001920,2,270
peaceful,0.001914,3,410
narrow,0.001900,1,85
important,0.001882,6,822
establish,0.001845,1,70
prepare,0.001845,1,80
necessary,0.001827,1,67
youtube,0.001810,1,80
wholeness,0.001810,1,154
single,0.001776,1,87
remain,0.001776,1,86
fact,0.001762,2,242
speech,0.001760,1,175
element,0.001744,1,183
develop,0.001737,2,364
stage,0.001728,1,127
disappear,0.001728,1,125
aside,0.001712,1,112
ill,0.001697,1,142
project,0.001682,1,106
tendency,0.001667,1,106
preoccupy,0.001638,1,121
someone,0.001637,3,625
alternative,0.001610,1,118
judge,0.001610,1,113
usual,0.001610,1,109
torso,0.001610,1,118
dharma,0.001598,3,842
wisdom,0.001593,2,545
mostly,0.001583,1,100
memory,0.001583,1,149
share,0.001570,2,462
step,0.001559,2,414
broad,0.001556,1,120
simplicity,0.001481,1,262
air,0.001469,1,170
encounter,0.001457,1,115
doe,0.001437,4,875
separate,0.001422,1,144
involve,0.001417,2,418
learn,0.001408,4,777
rest,0.001397,3,558
gift,0.001389,1,147
teacher,0.001386,2,560
short,0.001378,1,133
comment,0.001357,1,193
amaze,0.001357,1,146
inside,0.001346,2,439
may,0.001337,10,2204
moment,0.001337,12,1854
gently,0.001335,2,406
certain,0.001290,3,630
orientation,0.001286,1,200
stay,0.001256,3,821
hour,0.001248,1,193
imc,0.001238,1,173
respect,0.001229,1,232
practitioner,0.001229,1,200
soften,0.001219,2,549
ground,0.001193,1,221
break,0.001193,1,195
hand,0.001191,2,491
language,0.001184,1,182
purpose,0.001167,1,278
gil,0.001163,2,429
morning,0.001163,2,397
gather,0.001150,1,330
within,0.001145,2,532
wow,0.001133,1,214
understand,0.001133,4,1220
imagine,0.001109,2,466
value,0.001109,1,226
others,0.001107,4,1076
world,0.001105,11,2377
continue,0.001083,2,422
side,0.001077,1,276
sensation,0.001074,2,884
release,0.001062,1,296
comfortable,0.001062,1,214
fill,0.001054,1,233
problem,0.001054,1,294
build,0.001046,1,236
act,0.001039,1,338
challenge,0.001039,1,302
simple,0.001031,2,721
great,0.001024,3,933
truth,0.001024,1,523
open,0.001020,5,1216
pleasure,0.000995,1,717
enough,0.000993,3,749
tradition,0.000988,1,339
subtle,0.000981,1,377
buddhist,0.000972,2,830
put,0.000972,3,810
water,0.000967,1,493
allow,0.000944,5,1528
either,0.000940,1,229
away,0.000927,4,1019
stand,0.000926,1,280
aspect,0.000913,1,271
well-being,0.000894,1,572
bad,0.000887,1,456
capacity,0.000881,1,402
guide,0.000877,4,898
push,0.000868,1,318
buddhism,0.000862,1,528
though,0.000844,1,241
self,0.000844,1,1140
pain,0.000844,1,514
matter,0.000844,1,293
relate,0.000838,1,331
flow,0.000838,1,570
early,0.000838,1,292
okay,0.000830,2,1157
fronsdal,0.000814,1,287
reason,0.000814,1,276
you've,0.000808,1,355
eye,0.000807,2,634
kindness,0.000791,1,545
assume,0.000780,1,239
next,0.000755,2,620
example,0.000752,1,377
whether,0.000746,1,314
everything,0.000740,2,900
people,0.000736,10,3299
realize,0.000735,1,408
close,0.000724,3,673
small,0.000719,1,392
strong,0.000688,1,451
ease,0.000683,1,551
buddha,0.000669,2,1874
still,0.000634,2,802
free,0.000620,2,745
hold,0.000620,2,1026
need,0.000615,4,1575
particular,0.000614,1,446
link,0.000614,2,521
become,0.000609,7,1765
form,0.000605,1,448
ask,0.000600,1,676
help,0.000587,2,865
tell,0.000586,1,577
different,0.000571,5,1929
happen,0.000557,5,2092
introduction,0.000555,1,279
leave,0.000555,1,484
meditate,0.000550,1,514
human,0.000541,1,555
together,0.000534,2,1029
appreciate,0.000528,1,588
sense,0.000521,9,2973
thing,0.000517,16,4890
dharmette,0.000515,1,323
wish,0.000511,1,583
else,0.000511,1,559
want,0.000505,8,3032
today,0.000495,2,839
end,0.000468,4,1106
able,0.000466,1,622
last,0.000458,1,532
posture,0.000450,1,608
point,0.000439,2,1143
suffer,0.000438,1,1686
would,0.000435,3,1996
day,0.000432,2,1003
life,0.000424,7,2791
safe,0.000419,1,427
well,0.000408,2,1341
move,0.000407,1,640
sit,0.000395,5,1500
try,0.000372,2,1282
good,0.000369,7,2494
begin,0.000348,2,1433
around,0.000325,2,1154
place,0.000319,2,1591
keep,0.000310,1,816
bite,0.000290,2,1538
much,0.000290,5,1667
often,0.000280,1,1089
actually,0.000270,1,1093
work,0.000264,1,1356
happy,0.000251,1,872
present,0.000248,1,1235
back,0.000234,2,1499
lot,0.000228,2,1537
without,0.000222,1,976
think,0.000221,18,5980
part,0.000212,2,1616
heart,0.000207,1,1679
might,0.000189,3,2163
welcome,0.000189,1,706
long,0.000183,1,942
information,0.000174,1,414
many,0.000174,1,1088
look,0.000168,1,1458
even,0.000163,6,1892
whatever,0.000157,1,1201
little,0.000142,2,2381
mind,0.000129,4,4572
feel,0.000122,25,6273
thank,0.000114,1,1193
take,0.000097,3,2259
sometimes,0.000092,1,1889
make,0.000090,2,2438
let,0.000080,2,2725
u,0.000052,3,3378
