word,tfidf_score,talk_frequency,global_frequency
fist,0.054050,19,55
easeful,0.026153,13,69
fisted,0.024231,6,11
compulsion,0.022036,7,27
light,0.016859,21,468
identify,0.014092,9,141
gentle,0.013108,12,267
seesaw,0.011077,2,2
intensity,0.010986,4,27
disappear,0.010430,6,125
pressure,0.010195,9,263
awareness,0.010049,21,1263
force,0.009128,8,220
blast,0.009029,2,4
instruction,0.008925,7,215
prioritization,0.008493,2,10
strength,0.008461,5,99
balance,0.008195,6,233
identification,0.008103,3,33
identity,0.007801,4,156
strain,0.007764,5,134
wander,0.007700,5,137
samadhi,0.007383,9,1519
collectedness,0.007201,2,9
divide,0.006926,3,58
concept,0.006882,5,259
division,0.006607,2,17
relax,0.006475,18,1245
disorient,0.006445,2,19
touch,0.006193,12,497
nice,0.005990,12,559
compel,0.005690,2,23
half-an-hour,0.005538,1,1
non-compulsive,0.005538,1,1
non-forceful,0.005538,1,1
fistedness,0.005538,1,1
separation,0.005402,2,39
behind,0.005268,5,193
soft,0.005268,5,246
lose,0.005076,7,423
fragment,0.005004,2,41
self-regard,0.004892,1,2
fixedly,0.004892,1,2
fragmentation,0.004892,1,2
disassociation,0.004892,1,3
pry,0.004892,1,2
hand,0.004805,8,491
tightness,0.004697,3,115
experiment,0.004617,2,49
stay,0.004611,11,826
focus,0.004608,7,607
reification,0.004515,1,4
solidification,0.004515,1,5
tighten,0.004346,2,60
undivided,0.004247,1,9
10th,0.004247,1,5
handsome,0.004247,1,4
inconceivable,0.004247,1,5
astound,0.004039,1,6
concentration,0.004034,3,230
friendly,0.004024,2,122
loud,0.003982,2,61
forcefully,0.003869,1,6
jerk,0.003869,1,7
repetition,0.003869,1,7
necessarily,0.003796,3,149
tension,0.003788,5,608
wrong,0.003759,4,333
proper,0.003725,1,16
ground,0.003603,3,221
thumb,0.003601,1,11
i-am-ness,0.003601,1,11
intention,0.003577,3,261
latch,0.003491,1,11
self-care,0.003491,1,15
embarrass,0.003491,1,9
gather,0.003473,3,330
suppose,0.003448,3,177
divisive,0.003393,1,14
persistence,0.003393,1,22
compulsive,0.003393,1,12
useful,0.003377,4,284
attention,0.003365,12,1275
contribute,0.003354,2,102
override,0.003304,1,20
aversion,0.003254,3,484
disconnection,0.003223,1,20
betray,0.003223,1,12
invite,0.003207,3,319
comfortable,0.003184,3,215
infuse,0.003015,1,21
present,0.002975,12,1238
peripheral,0.002955,1,40
tightly,0.002955,1,29
supportive,0.002933,2,133
slowly,0.002933,2,108
manifestation,0.002898,1,23
foundation,0.002863,2,165
breathe,0.002858,9,2491
instruct,0.002845,1,18
laser,0.002845,1,24
preoccupation,0.002818,2,207
priority,0.002794,1,25
weekend,0.002701,1,25
cling,0.002682,3,559
convey,0.002658,1,26
pull,0.002625,3,326
alertness,0.002616,1,25
develop,0.002606,3,366
fixate,0.002539,1,46
unite,0.002539,1,32
patient,0.002502,1,116
determine,0.002467,1,33
variety,0.002433,1,34
gradual,0.002433,1,62
unnecessary,0.002433,1,36
loosen,0.002433,1,41
guidance,0.002400,1,40
dedication,0.002400,1,42
underlie,0.002369,1,66
hop,0.002369,1,37
isn't,0.002340,3,406
temple,0.002309,1,70
goodwill,0.002282,2,504
open,0.002247,11,1220
pleasant,0.002217,2,351
create,0.002203,4,538
course,0.002173,5,696
normally,0.002148,1,47
grab,0.002148,1,77
forever,0.002148,1,68
none,0.002148,1,50
return,0.002143,3,278
friendliness,0.002124,1,177
finger,0.002124,1,47
problem,0.002123,2,294
tone,0.002101,1,101
honest,0.002101,1,70
collect,0.002078,1,72
ease,0.002066,3,551
whole,0.002056,7,1151
fullness,0.002055,1,63
analogy,0.002033,1,59
absence,0.002033,1,109
available,0.002033,2,224
attentive,0.002012,1,53
disconnect,0.002012,1,94
intimate,0.002012,1,58
point,0.001977,9,1149
final,0.001970,1,70
sacred,0.001970,1,92
use,0.001949,9,1198
associate,0.001948,2,234
apart,0.001931,1,77
aware,0.001931,3,622
settle,0.001926,6,1517
prepare,0.001856,1,80
fully,0.001853,2,299
work,0.001848,7,1360
posture,0.001817,4,608
form,0.001816,3,450
wholeness,0.001804,1,155
extend,0.001804,1,77
single,0.001787,1,87
afraid,0.001771,1,104
capacity,0.001763,2,403
strange,0.001738,1,72
comfort,0.001723,1,114
heal,0.001707,1,107
welcome,0.001703,9,707
early,0.001688,2,292
connect,0.001679,3,666
otherwise,0.001677,1,98
tendency,0.001677,1,106
tense,0.001677,1,127
far,0.001676,2,361
desire,0.001664,2,743
art,0.001663,1,144
tune,0.001663,1,125
voice,0.001663,1,113
possible,0.001652,3,523
adjust,0.001634,1,96
muscle,0.001634,1,112
sensation,0.001626,3,884
usual,0.001620,1,109
concentrate,0.001620,1,123
quickly,0.001606,1,91
alternative,0.001606,1,119
assume,0.001571,2,239
begin,0.001569,9,1436
weight,0.001566,1,152
reach,0.001566,1,105
anymore,0.001553,1,99
across,0.001515,1,152
support,0.001512,4,960
low,0.001502,1,140
eventually,0.001490,1,104
gaze,0.001478,1,156
encounter,0.001466,1,115
haven't,0.001466,1,100
tight,0.001455,1,138
apply,0.001443,1,166
doe,0.001439,4,877
limit,0.001432,1,181
pick,0.001432,1,124
involve,0.001418,2,423
beyond,0.001398,1,186
opposite,0.001398,1,127
daily,0.001398,1,154
spread,0.001387,1,238
directly,0.001376,1,116
amaze,0.001366,1,146
inside,0.001347,2,441
somehow,0.001337,2,321
occur,0.001275,1,142
exist,0.001265,1,164
hold,0.001256,4,1026
operate,0.001256,1,257
quiet,0.001248,2,634
emphasize,0.001247,1,169
respect,0.001237,1,232
train,0.001228,1,306
high,0.001219,1,244
help,0.001175,4,866
field,0.001175,1,255
tell,0.001174,2,580
back,0.001171,10,1504
gil,0.001164,2,437
fix,0.001158,1,284
ever,0.001141,1,183
carry,0.001133,1,206
attitude,0.001125,1,296
slow,0.001108,1,164
outside,0.001108,1,199
together,0.001082,4,1029
learn,0.001058,3,781
build,0.001054,1,236
discover,0.001054,1,312
act,0.001039,1,344
you'll,0.001031,1,227
concern,0.001024,1,278
healthy,0.001017,1,293
week,0.001015,3,717
middle,0.001009,1,227
translate,0.001002,1,258
cultivate,0.000988,1,462
buddhist,0.000973,2,833
close,0.000966,4,674
direction,0.000946,1,254
important,0.000942,3,824
stand,0.000933,1,280
able,0.000933,2,623
try,0.000931,5,1286
wise,0.000926,1,454
aspect,0.000920,1,271
understand,0.000851,3,1224
flow,0.000844,1,570
sometimes,0.000833,9,1897
hope,0.000826,1,259
move,0.000823,2,640
may,0.000821,6,2204
fronsdal,0.000814,1,294
fear,0.000814,1,506
