word,tfidf_score,talk_frequency,global_frequency
refuge,0.065474,57,171
bead,0.017409,6,7
walk,0.017214,39,537
mug,0.009859,3,3
safety,0.009772,10,117
shoe,0.009311,5,29
questioner,0.008766,7,228
trade-off,0.008705,3,4
sangha,0.007681,8,236
chip,0.007550,3,7
introvert,0.007550,3,6
gun,0.007550,3,8
remind,0.007055,8,110
imply,0.006990,5,39
frighten,0.006726,4,28
protect,0.006663,7,107
heartfelt,0.006618,3,11
buddham,0.006573,2,2
saranam,0.006573,2,2
gachhami,0.006573,2,2
berry,0.006573,2,2
conflict,0.006261,5,318
motivate,0.006191,5,57
francisco,0.006087,4,43
exemplar,0.005803,2,3
mala,0.005803,2,3
extrovert,0.005803,2,3
san,0.005667,4,50
inspiration,0.005572,5,125
buddhistic,0.005353,2,4
off-putting,0.005353,2,4
trainer,0.005353,2,4
sticker,0.005353,2,4
prayer,0.004955,3,52
street,0.004844,4,86
letter,0.004788,3,32
headline,0.004786,2,7
buddhism,0.004708,9,515
companionship,0.004583,2,8
regularly,0.004432,3,32
withdraw,0.004412,2,9
encapsulate,0.004412,2,14
noon,0.004264,2,11
frame,0.004194,3,43
remember,0.004187,10,388
capable,0.004139,3,39
topic,0.004124,8,261
commit,0.004086,3,57
integrity,0.004086,3,54
physically,0.004086,3,44
harmonize,0.004016,2,11
bathroom,0.004016,2,15
fronsdal,0.003976,8,270
reminder,0.003937,3,54
inspire,0.003911,6,232
founder,0.003910,2,14
buddha,0.003901,19,1777
community,0.003879,5,355
write,0.003769,6,238
bad,0.003689,7,452
encompass,0.003642,2,17
scar,0.003494,2,24
dharma,0.003463,11,838
awkward,0.003363,2,26
earnest,0.003286,1,1
pedestrian,0.003286,1,1
grammatically,0.003286,1,1
rebel,0.003286,1,1
liner,0.003286,1,1
multi-year,0.003286,1,1
manzanita,0.003286,1,1
bracelet,0.003286,1,1
heck,0.003286,1,1
wife,0.003246,2,39
temperature,0.003192,2,24
discover,0.003188,5,294
wasn't,0.003185,6,290
dangerous,0.003140,2,33
protection,0.003140,2,33
chant,0.003140,2,47
selfish,0.003140,2,30
least,0.003118,5,202
difficult,0.003093,6,325
tip,0.003091,2,34
contribute,0.003012,3,99
possibility,0.002963,4,162
gingerly,0.002902,1,2
centrally,0.002902,1,2
accidental,0.002902,1,2
gunpoint,0.002902,1,2
apprehend,0.002902,1,2
step,0.002853,6,394
gil,0.002824,8,411
responsible,0.002796,2,38
story,0.002779,8,988
wow,0.002726,4,210
dump,0.002676,1,3
withdrawal,0.002676,1,3
wart,0.002676,1,3
completeness,0.002676,1,4
drill,0.002676,1,3
bargain,0.002676,1,3
extroverted,0.002676,1,5
de-escalate,0.002676,1,5
statement,0.002657,2,57
straight,0.002657,2,46
foot,0.002627,4,229
someone,0.002604,8,601
wear,0.002593,2,67
door,0.002581,3,153
collapse,0.002563,2,53
seem,0.002561,8,478
yes,0.002559,5,380
partner,0.002533,2,60
grammar,0.002517,1,4
at-homeness,0.002517,1,4
retrospect,0.002517,1,4
hedonistic,0.002517,1,5
plan,0.002499,3,163
tell,0.002491,7,560
challenge,0.002476,4,299
motivation,0.002449,2,75
important,0.002448,13,806
worry,0.002440,3,154
flatten,0.002393,1,6
altar,0.002393,1,7
mail,0.002393,1,5
unconsciously,0.002393,1,7
ashamed,0.002393,1,5
jail,0.002393,1,13
desk,0.002393,1,5
helpless,0.002393,1,6
accompany,0.002371,2,124
positive,0.002371,2,72
invaluable,0.002371,2,68
especially,0.002335,4,203
classic,0.002321,2,62
seldom,0.002292,1,7
neurotic,0.002292,1,6
self-preoccupied,0.002292,1,6
neurosis,0.002292,1,7
negotiate,0.002292,1,7
bet,0.002292,1,6
stay,0.002253,9,814
align,0.002251,2,83
run,0.002239,3,152
order,0.002219,4,236
ahead,0.002207,2,76
site,0.002206,1,13
schedule,0.002206,1,8
steer,0.002206,1,8
laughter,0.002185,2,74
practitioner,0.002172,3,200
native,0.002132,1,8
lo,0.002132,1,8
thumb,0.002132,1,11
stop,0.002109,5,457
spouse,0.002066,1,9
equally,0.002066,1,13
plate,0.002066,1,12
reconnect,0.002066,1,10
picture,0.002064,2,118
person,0.002046,9,1064
car,0.002045,2,137
ever,0.002030,3,180
mindful,0.002030,3,257
live,0.002026,11,1127
sail,0.002008,1,30
effectively,0.002008,1,11
doubt,0.002008,2,164
trouble,0.001972,2,91
pen,0.001955,1,22
devote,0.001955,1,15
quest,0.001955,1,16
profoundly,0.001955,1,12
possible,0.001953,6,510
didn't,0.001924,5,507
pause,0.001920,2,197
thoroughly,0.001907,1,12
hostile,0.001907,1,16
lately,0.001907,1,13
non-reactive,0.001907,1,14
guarantee,0.001907,1,17
posture,0.001903,7,594
understand,0.001890,11,1194
bring,0.001872,13,1164
bar,0.001862,1,22
assess,0.001862,1,16
available,0.001857,3,214
turn,0.001852,7,674
metaphor,0.001824,2,146
majority,0.001821,1,15
behold,0.001821,1,14
inclusion,0.001821,1,26
beautifully,0.001821,1,22
low,0.001808,2,135
ask,0.001807,5,667
example,0.001792,4,367
safe,0.001785,7,420
smart,0.001783,1,20
alarm,0.001783,1,21
fourth,0.001778,2,154
everyone,0.001765,5,446
minute,0.001752,4,343
nicely,0.001747,1,24
american,0.001747,1,20
bubble,0.001747,1,22
dramatically,0.001747,1,17
christian,0.001747,1,33
complete,0.001735,2,126
company,0.001713,1,29
hole,0.001713,1,37
recall,0.001713,1,22
computer,0.001713,1,24
friend,0.001713,4,536
engage,0.001688,3,319
magical,0.001682,1,22
every,0.001682,5,489
great,0.001677,8,911
stand,0.001676,3,273
ago,0.001664,3,265
create,0.001654,5,526
gladness,0.001652,1,48
suggestion,0.001652,1,22
hey,0.001652,1,29
show,0.001650,4,525
young,0.001626,2,162
paper,0.001623,1,31
impression,0.001623,1,24
table,0.001623,1,31
occasionally,0.001623,1,26
shock,0.001623,1,26
kitchen,0.001623,1,54
home,0.001604,3,253
alone,0.001601,2,143
require,0.001601,2,146
sooner,0.001596,1,24
put,0.001574,8,795
dry,0.001570,1,39
i'd,0.001551,4,426
couch,0.001545,1,29
rightness,0.001522,1,32
useful,0.001513,3,275
ritual,0.001499,1,60
surround,0.001499,1,35
reject,0.001499,1,43
suspect,0.001499,1,39
mirror,0.001499,1,37
world,0.001496,25,2334
you've,0.001480,3,346
fellow,0.001477,1,44
keep,0.001473,8,806
literal,0.001456,1,33
technique,0.001456,1,48
okay,0.001446,6,1128
fear,0.001437,3,501
provide,0.001437,2,203
tap,0.001436,1,32
regular,0.001436,1,32
variety,0.001436,1,34
wheel,0.001436,1,62
underlie,0.001417,1,65
guidance,0.001417,1,40
shop,0.001417,1,48
effective,0.001417,1,42
success,0.001417,1,57
suppose,0.001405,2,163
resolve,0.001398,1,51
fresh,0.001398,1,40
read,0.001395,3,421
mindfulness,0.001384,5,952
freely,0.001380,1,53
screen,0.001380,1,59
religious,0.001362,1,71
commitment,0.001362,1,56
option,0.001362,1,46
add,0.001353,2,288
alive,0.001333,2,188
trigger,0.001328,1,43
reactive,0.001328,1,62
doe,0.001324,6,839
outside,0.001323,2,195
connect,0.001313,4,658
fair,0.001312,1,44
lift,0.001312,1,57
actually,0.001310,8,1070
lose,0.001304,3,413
answer,0.001304,2,245
number,0.001304,2,216
hold,0.001304,7,1003
upright,0.001297,1,63
bottom,0.001281,1,46
probably,0.001275,3,343
big,0.001270,4,645
forever,0.001267,1,68
main,0.001267,1,59
honest,0.001267,1,65
strong,0.001266,3,439
ocean,0.001252,1,84
truth,0.001247,2,487
else,0.001238,4,545
danger,0.001238,1,72
intentional,0.001238,1,54
welfare,0.001238,1,99
clear,0.001228,4,560
away,0.001227,9,1003
lifetime,0.001224,1,71
attentive,0.001224,1,50
central,0.001211,1,73
disconnect,0.001211,1,86
dedicate,0.001211,1,55
mother,0.001211,1,96
nice,0.001207,4,546
fly,0.001198,1,66
sign,0.001198,1,80
conclusion,0.001198,1,53
buddhist,0.001177,4,815
conscious,0.001173,1,66
woman,0.001173,1,170
fight,0.001161,1,103
rich,0.001161,1,65
negative,0.001161,1,73
active,0.001161,1,63
direction,0.001159,2,241
count,0.001149,1,310
faith,0.001149,1,172
guy,0.001137,1,94
people,0.001127,25,3207
news,0.001126,1,74
sure,0.001117,2,252
resist,0.001114,1,92
man,0.001114,1,137
new,0.001110,3,550
need,0.001108,12,1551
establish,0.001103,1,69
anyway,0.001103,1,71
real,0.001093,2,227
consider,0.001093,2,273
work,0.001090,7,1346
usually,0.001085,2,232
question,0.001084,3,835
necessary,0.001082,1,67
nothing,0.001076,3,464
reactivity,0.001072,1,146
fact,0.001062,2,235
health,0.001051,1,96
fast,0.001051,1,96
kid,0.001051,1,104
afraid,0.001051,1,103
peace,0.001050,3,632
use,0.001045,8,1166
attach,0.001042,1,108
pattern,0.001032,1,130
core,0.001032,1,128
element,0.001032,1,183
disappear,0.001022,1,125
ethical,0.001022,1,195
contract,0.001022,1,96
explain,0.001022,1,92
acknowledge,0.001022,1,93
habit,0.001022,1,114
meaningful,0.001013,1,91
enough,0.001005,5,733
taste,0.001004,1,148
heal,0.001004,1,107
it'll,0.000995,1,99
relate,0.000994,2,328
mean,0.000992,9,1429
true,0.000987,2,389
far,0.000987,2,355
deal,0.000986,1,107
choice,0.000969,1,148
valuable,0.000969,1,93
concentrate,0.000969,1,118
life,0.000963,26,2727
anyone,0.000960,1,116
forget,0.000960,1,94
clearly,0.000951,2,387
angry,0.000944,1,176
share,0.000937,2,458
beauty,0.000935,1,166
depend,0.000935,1,109
react,0.000935,1,100
busy,0.000935,1,93
together,0.000935,6,1021
expect,0.000927,1,101
inner,0.000923,2,456
english,0.000920,1,111
support,0.000919,4,928
night,0.000912,1,173
happy,0.000911,6,840
noble,0.000904,1,264
catch,0.000903,2,427
careful,0.000889,1,122
couldn't,0.000889,1,105
arm,0.000889,1,120
eventually,0.000882,1,103
wonder,0.000882,1,139
air,0.000882,1,168
whole,0.000879,5,1133
always,0.000874,4,717
tight,0.000867,1,134
slowly,0.000867,1,107
pick,0.000867,1,119
mine,0.000853,1,229
expression,0.000846,1,124
teacher,0.000837,2,536
personal,0.000833,1,158
year,0.000830,3,821
others,0.000829,5,1054
daily,0.000826,1,153
comment,0.000820,1,190
ease,0.000819,2,533
fine,0.000813,1,150
check,0.000807,1,165
profound,0.000800,1,207
would,0.000800,9,1958
piece,0.000794,1,218
quote,0.000794,1,150
top,0.000794,1,165
won't,0.000788,1,135
include,0.000788,2,384
suffer,0.000786,3,1632
q,0.000782,1,120
want,0.000778,21,2968
harm,0.000764,1,422
idea,0.000761,6,1586
powerful,0.000746,1,149
approach,0.000741,1,275
train,0.000735,1,299
book,0.000735,1,248
somebody,0.000735,1,343
today,0.000730,5,831
ready,0.000729,1,177
high,0.000729,1,238
form,0.000723,2,443
wonderful,0.000723,2,485
find,0.000722,14,1649
language,0.000718,1,165
break,0.000718,1,188
common,0.000713,1,164
ground,0.000713,1,218
trust,0.000708,1,253
bear,0.000708,1,231
amount,0.000702,1,165
offer,0.000696,3,668
clarity,0.000692,1,252
morning,0.000684,2,390
carry,0.000682,1,199
term,0.000677,1,262
value,0.000677,1,214
allow,0.000673,6,1508
wait,0.000671,1,214
leave,0.000662,2,469
degree,0.000647,1,227
good,0.000645,20,2445
day,0.000644,5,989
connection,0.000642,1,210
fill,0.000638,1,223
side,0.000638,1,275
comfortable,0.000633,1,211
back,0.000629,9,1479
invite,0.000628,1,316
problem,0.000628,1,292
delight,0.000624,1,291
rather,0.000619,2,511
awaken,0.000614,1,413
middle,0.000601,1,212
love,0.000599,4,1737
lot,0.000599,9,1504
tradition,0.000597,1,330
place,0.000586,6,1576
make,0.000578,21,2377
breathe,0.000571,3,2454
series,0.000567,1,248
fully,0.000563,1,288
right,0.000561,7,2070
word,0.000554,6,1319
thing,0.000553,28,4774
wise,0.000551,1,432
listen,0.000547,1,385
well-being,0.000547,1,545
name,0.000547,1,302
aspect,0.000543,1,269
enter,0.000539,1,375
cling,0.000535,1,535
describe,0.000535,1,273
anything,0.000534,3,812
bite,0.000533,6,1484
late,0.000531,1,269
pull,0.000523,1,320
matter,0.000512,1,286
early,0.000501,1,287
around,0.000497,5,1126
start,0.000497,5,1491
often,0.000497,3,1064
compassion,0.000497,1,675
helpful,0.000497,1,562
set,0.000497,1,310
teach,0.000491,3,1396
different,0.000489,7,1883
become,0.000479,9,1735
little,0.000478,11,2311
move,0.000477,2,632
notice,0.000477,2,1190
sound,0.000458,1,489
whether,0.000458,1,305
close,0.000444,3,651
realize,0.000441,1,402
joy,0.000438,1,925
long,0.000434,4,932
small,0.000428,1,387
involve,0.000425,1,408
begin,0.000419,4,1414
relationship,0.000419,1,488
happiness,0.000419,1,830
full,0.000416,1,325
calm,0.000412,1,801
look,0.000405,4,1416
inside,0.000403,1,429
somehow,0.000400,1,311
