word,tfidf_score,talk_frequency,global_frequency
count,0.061038,29,311
settle,0.023898,68,1516
wander,0.016782,10,137
massage,0.015684,7,98
unsettle,0.013152,4,31
drift,0.012748,5,51
balloon,0.012190,3,13
expand,0.011350,9,184
settledness,0.011326,5,76
voice,0.010873,6,113
samadhi,0.008992,10,1516
ground,0.007851,6,221
dial,0.007401,2,12
breathe,0.006534,19,2491
cycle,0.006314,3,77
engage,0.006183,6,323
number,0.005992,5,218
ultimate,0.005620,2,37
contract,0.005583,3,98
automatic,0.005537,2,43
relax,0.005515,14,1244
discovery,0.005457,2,56
harbinger,0.005338,1,2
well-placed,0.005338,1,2
pronunciation,0.005338,1,2
loudness,0.005338,1,2
musculature,0.005338,1,2
shrivel,0.005338,1,2
length,0.005166,2,53
aspiration,0.005166,2,75
leg,0.005163,3,106
weight,0.005120,3,152
option,0.004972,2,53
attitude,0.004935,4,294
easefully,0.004925,1,3
mechanical,0.004925,1,3
foundation,0.004717,3,164
out-breath,0.004685,2,66
normally,0.004685,2,47
telescope,0.004633,1,8
wobble,0.004633,1,4
spread,0.004535,3,238
receive,0.004492,4,368
surface,0.004464,3,164
tripod,0.004406,1,7
sol,0.004406,1,9
entire,0.004387,2,65
closely,0.004341,2,53
floor,0.004296,2,75
bed,0.004252,2,62
deflate,0.004220,1,7
volume,0.004220,1,6
quiet,0.004104,6,633
provide,0.003868,3,212
clue,0.003808,1,10
agitate,0.003755,2,107
invest,0.003700,1,12
continual,0.003700,1,11
constrict,0.003700,1,14
effortless,0.003700,1,35
hesitate,0.003700,1,10
steady,0.003689,2,168
strength,0.003689,2,99
stay,0.003672,8,821
seat,0.003656,2,120
arbitrary,0.003604,1,13
muscle,0.003593,2,109
rhythm,0.003562,2,111
torso,0.003531,2,118
light,0.003520,4,467
fold,0.003515,1,19
spark,0.003515,1,16
discover,0.003467,3,310
cushion,0.003413,2,116
you'll,0.003393,3,226
chair,0.003385,2,105
invitation,0.003329,2,133
catch,0.003297,4,435
visualize,0.003288,1,22
belly,0.003227,3,266
air,0.003222,2,170
reference,0.003222,2,148
heart,0.003178,14,1679
apologize,0.003161,1,19
dawn,0.003103,1,30
