word,tfidf_score,talk_frequency,global_frequency
mole,0.025466,8,8
bhaddiya,0.025315,9,10
trample,0.022502,8,11
king,0.016174,12,493
simplify,0.015861,11,48
plow,0.015213,8,24
yard,0.013354,6,12
yehuda,0.012733,4,4
amichai,0.012733,4,4
soil,0.012657,8,48
forget,0.012272,13,94
guy,0.011900,11,110
whisper,0.011683,7,27
simplification,0.011615,5,10
simplicity,0.011201,13,262
sukha,0.010636,6,28
ruin,0.010359,5,22
complexity,0.010014,6,26
diana,0.009949,10,353
clark,0.009831,9,298
dig,0.009062,5,28
guard,0.008679,5,45
data,0.008345,5,48
bliss,0.008301,6,64
tao,0.007788,3,12
te,0.007788,3,7
ching,0.007788,3,7
underneath,0.007647,7,89
house,0.007223,7,119
questioner,0.007113,6,242
terrible,0.007027,7,125
wrong,0.006997,13,335
suspicious,0.006677,3,10
scar,0.006676,4,25
flower,0.006619,6,86
lead,0.006590,14,543
awkward,0.006554,4,26
blah,0.006430,3,22
dichotomous,0.006366,2,2
prion,0.006366,2,2
pest,0.006366,2,2
wealth,0.006328,4,42
paper,0.006125,4,34
bad,0.006105,12,459
uncomfortable,0.005983,7,207
doubt,0.005864,6,165
mitchell,0.005626,2,5
aerate,0.005626,2,3
poem,0.005521,6,405
break,0.005486,8,199
former,0.005437,3,15
nuance,0.005318,3,20
literature,0.005208,3,25
fearful,0.005208,3,22
drawer,0.005192,2,5
wilderness,0.005104,3,32
hatred,0.005047,6,208
cattle,0.004885,2,6
mess,0.004829,3,26
luther,0.004646,2,9
stuff,0.004530,6,186
frequently,0.004522,3,38
semblance,0.004451,2,7
nuanced,0.004286,2,10
interpret,0.004286,4,81
nervous,0.004265,3,54
versus,0.004245,4,89
spring,0.004151,3,39
compound,0.004144,2,10
stephen,0.004144,2,56
martin,0.004144,2,13
gosh,0.004096,3,43
clearly,0.004059,9,412
hut,0.004018,2,13
potluck,0.004018,2,20
complicate,0.003980,4,88
royal,0.003905,2,17
publish,0.003905,2,13
motif,0.003905,2,12
kingdom,0.003803,2,29
slap,0.003803,2,17
hadn't,0.003760,3,50
novel,0.003710,2,17
extra,0.003620,4,182
hear,0.003597,13,871
ease,0.003590,9,552
disease,0.003545,2,20
figure,0.003429,5,221
complication,0.003403,2,23
host,0.003403,2,30
individual,0.003392,4,109
monastic,0.003376,3,111
organize,0.003376,3,154
plant,0.003376,3,96
tree,0.003338,4,205
okay,0.003310,14,1165
happiness,0.003286,8,860
remember,0.003286,8,395
simple,0.003279,11,725
throw,0.003277,3,98
sure,0.003230,6,258
everybody,0.003185,4,201
kingship,0.003183,1,1
drastically,0.003183,1,1
simpleness,0.003183,1,1
bifurcate,0.003183,1,1
knucklehead,0.003183,1,1
anxiousness,0.003183,1,1
bifurcation,0.003183,1,1
alt-middle,0.003183,1,1
abreast,0.003183,1,1
virus,0.003183,1,1
bacteria,0.003183,1,1
byron,0.003183,1,1
katie,0.003183,1,1
schoolyard,0.003183,1,1
mlk,0.003183,1,1
poster,0.003183,1,1
albert,0.003183,1,1
einstein,0.003183,1,1
empty,0.003154,3,98
worry,0.003137,4,158
well-being,0.003118,6,574
power,0.003089,4,220
dukkha,0.003020,4,410
right,0.002966,40,2207
dismiss,0.002926,2,39
range,0.002907,3,97
spectrum,0.002884,2,45
voice,0.002856,3,114
human,0.002837,9,557
revolt,0.002813,1,3
whoop,0.002813,1,3
demonize,0.002813,1,2
polarize,0.002813,1,2
gradation,0.002813,1,2
infectious,0.002813,1,3
prestigious,0.002813,1,2
alternative,0.002738,3,125
busy,0.002738,3,94
read,0.002725,6,430
investigation,0.002696,2,65
dwell,0.002662,2,44
experiment,0.002662,2,49
forward,0.002617,5,230
basic,0.002606,3,132
dementia,0.002596,1,4
empty-handed,0.002596,1,3
junk,0.002596,1,4
nervousness,0.002596,1,3
binary,0.002596,1,3
uk,0.002596,1,3
cite,0.002596,1,3
whether,0.002574,6,318
type,0.002564,3,187
foot,0.002534,4,235
outside,0.002534,4,201
number,0.002534,4,220
chase,0.002507,2,63
die,0.002484,3,223
label,0.002478,2,84
laboratory,0.002442,1,4
stuckness,0.002442,1,11
introvert,0.002442,1,6
jr,0.002442,1,4
preconception,0.002442,1,5
jay,0.002442,1,7
shout,0.002442,1,4
perfectly,0.002371,2,62
show,0.002359,6,553
must,0.002335,3,157
comment,0.002335,3,195
story,0.002331,7,1019
formerly,0.002323,1,5
unruffled,0.002323,1,5
boil,0.002323,1,7
quote-unquote,0.002323,1,6
shove,0.002323,1,6
propel,0.002323,1,10
nobel,0.002323,1,6
hypothesis,0.002323,1,6
preconceive,0.002323,1,5
share,0.002287,5,469
translate,0.002278,4,263
badge,0.002226,1,7
correctly,0.002226,1,6
gardener,0.002226,1,7
hardness,0.002226,1,8
somebody,0.002150,3,354
encapsulate,0.002143,1,14
self-righteous,0.002143,1,7
dichotomy,0.002143,1,7
