word,tfidf_score,talk_frequency,global_frequency
continuity,0.036503,14,67
steady,0.025649,14,148
steadiness,0.024417,11,104
imagination,0.018449,9,95
riding,0.017220,7,48
imagery,0.016766,5,23
breathing,0.015469,37,1985
ride,0.013318,6,58
scooter,0.012961,3,15
belly,0.010914,11,260
push,0.010029,7,139
jerk,0.009966,2,3
length,0.009576,4,53
horse,0.009368,3,48
attend,0.009098,4,56
escaped,0.008641,2,7
corral,0.008641,2,6
momentum,0.007942,4,84
wing,0.007822,3,40
simplicity,0.007719,5,255
continuous,0.007593,3,53
collapsed,0.007571,2,11
slide,0.007484,3,60
absorbed,0.007473,4,112
image,0.007401,6,206
wheel,0.007380,3,62
listen,0.007164,5,172
massage,0.006909,3,70
pleasant,0.006656,6,350
connected,0.006546,7,296
massaging,0.006387,2,16
post,0.006113,2,17
lift,0.005990,2,24
accompanying,0.005874,2,25
gentle,0.005803,5,244
samadhi,0.005725,7,1513
ability,0.005589,5,227
solution,0.005381,2,29
friday,0.005381,2,28
subtleness,0.005137,2,33
pleasure,0.005110,5,693
hand,0.004995,8,466
rib,0.004990,2,36
counting,0.004990,2,141
someone's,0.004990,2,36
uncared,0.004983,1,2
unsteady,0.004983,1,2
interruption,0.004983,1,2
woo,0.004983,1,2
usefully,0.004983,1,2
u-turn,0.004983,1,2
found,0.004781,5,262
expansion,0.004725,2,41
wandering,0.004725,2,47
crunched,0.004595,1,3
frontal,0.004595,1,4
unattended,0.004595,1,3
harnessed,0.004595,1,3
wouldn't,0.004442,3,128
attention,0.004349,15,1243
zoom,0.004336,2,75
downwards,0.004320,1,4
out-breaths,0.004320,1,4
folded,0.004320,1,4
strain,0.004238,2,66
intimate,0.004238,2,53
they'll,0.004191,2,53
contact,0.004162,3,219
considerate,0.004107,1,5
in-breaths,0.004107,1,5
cycle,0.004100,2,72
stay,0.004062,7,595
let's,0.004029,5,389
chest,0.004000,3,143
loss,0.003971,2,123
piercing,0.003933,1,7
gliding,0.003933,1,7
adjusted,0.003933,1,6
hang,0.003930,2,60
contribute,0.003889,2,65
bird,0.003811,2,108
experimenting,0.003785,1,11
steadied,0.003785,1,8
staying,0.003701,3,190
kid,0.003700,2,97
oil,0.003658,1,8
satisfactory,0.003658,1,13
tense,0.003561,2,111
respected,0.003545,1,9
chat,0.003528,2,95
engaged,0.003528,2,105
gently,0.003486,5,393
recede,0.003444,1,12
flapping,0.003444,1,12
college,0.003444,1,15
arc,0.003444,1,29
curve,0.003444,1,11
kick,0.003353,1,12
breakout,0.003353,1,20
lose,0.003339,2,114
degree,0.003328,3,226
torso,0.003310,2,109
keeping,0.003281,2,89
high,0.003281,2,110
placed,0.003270,1,14
