word,tfidf_score,talk_frequency,global_frequency
spaciousness,0.046048,31,215
peripheral,0.019958,8,40
space,0.018730,35,715
samadhi,0.012512,18,1520
expansive,0.011026,6,69
outdoors,0.010881,4,28
spatial,0.008837,3,17
steady,0.008599,6,168
awareness,0.008308,21,1290
bean,0.008249,2,4
focus,0.007835,14,608
breathe,0.007789,29,2506
pyramid,0.007613,2,11
landmark,0.007613,2,6
room,0.007493,12,439
aware,0.007492,14,634
edge,0.007460,6,176
claustrophobic,0.007162,2,8
zero,0.006959,3,28
zoom,0.006880,4,82
distance,0.006808,4,62
central,0.006737,4,79
ceiling,0.006527,2,9
journey,0.006407,4,124
preoccupation,0.005884,5,215
inward,0.005854,3,45
profound,0.005577,5,216
steadiness,0.005513,3,105
settle,0.005429,20,1526
stare,0.005315,2,15
roam,0.005315,2,34
bag,0.005199,2,25
tomorrow,0.005010,6,191
atmosphere,0.004805,2,24
limit,0.004744,4,187
limitation,0.004720,2,48
spacious,0.004581,3,110
crowd,0.004563,2,31
fast,0.004497,3,97
ripple,0.004490,2,32
shape,0.004416,3,81
subtleness,0.004290,2,33
fixate,0.004290,2,46
contribute,0.004152,3,105
self-orientation,0.004124,1,2
limitlessness,0.004124,1,2
wave,0.004082,3,162
weather,0.004004,2,56
accord,0.004004,2,38
stillness,0.003948,3,181
wander,0.003883,3,138
attend,0.003821,3,132
remake,0.003807,1,3
state-specific,0.003807,1,3
maha,0.003807,1,3
wall,0.003718,2,60
wide,0.003715,4,262
openness,0.003700,3,140
quiet,0.003690,7,636
lake,0.003593,2,132
almost,0.003591,9,566
one-pointed,0.003581,1,4
hilltop,0.003581,1,4
m-e-t-t-a,0.003581,1,4
beyond,0.003530,3,187
self-referencing,0.003406,1,5
calculation,0.003406,1,6
smallness,0.003406,1,6
imagination,0.003404,2,96
anywhere,0.003300,2,65
companionship,0.003263,1,8
upwards,0.003263,1,6
breathtaking,0.003263,1,6
mutually,0.003263,1,6
throw,0.003203,2,98
exist,0.003176,3,166
excessive,0.003143,1,8
password,0.003143,1,9
mountain,0.003142,2,135
imc,0.003129,3,176
high,0.003083,3,245
youtube,0.003054,2,82
pebble,0.003038,1,10
vista,0.003038,1,9
toss,0.003038,1,11
eye,0.003036,9,647
capacity,0.002984,4,405
suspend,0.002946,1,10
latch,0.002946,1,11
eyesight,0.002946,1,9
specialize,0.002946,1,12
se,0.002863,1,12
incorporate,0.002863,1,11
state,0.002862,6,850
imagine,0.002818,6,469
insubstantial,0.002788,1,26
breakout,0.002788,1,20
degree,0.002727,3,235
adapt,0.002720,1,14
terrain,0.002720,1,16
similarly,0.002599,1,14
meantime,0.002599,1,16
concern,0.002595,3,281
spend,0.002589,4,301
open,0.002578,15,1244
angle,0.002545,1,15
calendar,0.002545,1,21
noise,0.002495,1,25
evocative,0.002495,1,17
lucky,0.002495,1,22
enough,0.002469,9,764
size,0.002447,1,21
infinite,0.002447,1,28
foundation,0.002428,2,165
continuously,0.002402,1,26
per,0.002402,1,21
laser,0.002402,1,24
phase,0.002320,1,29
top,0.002265,2,180
appreciate,0.002257,5,591
reasonable,0.002245,1,29
beginner,0.002245,1,41
community,0.002214,2,358
occasion,0.002210,1,28
develop,0.002207,3,367
primary,0.002181,2,166
meditators,0.002177,1,28
hill,0.002177,1,36
arise,0.002168,7,1081
rather,0.002168,5,550
instruction,0.002149,2,216
orientation,0.002149,2,226
surround,0.002145,1,35
integral,0.002145,1,31
operate,0.002133,2,257
context,0.002117,2,194
