word,tfidf_score,talk_frequency,global_frequency
count,0.027831,12,310
pm,0.026542,4,4
inhalation,0.022270,5,16
hindrance,0.019853,9,197
daily,0.018351,11,153
zoom,0.017306,7,79
foreground,0.015040,4,26
exhalation,0.012913,3,16
frequently,0.012681,4,36
samadhi,0.012665,13,1514
pacific,0.012517,3,11
independently,0.011717,2,3
lethargy,0.011717,2,3
in-breath,0.010230,4,79
doubt,0.010135,5,164
sleep,0.010000,4,69
fragment,0.009081,3,40
password,0.008908,2,9
tech,0.008908,2,15
ponder,0.008609,2,14
drift,0.008468,3,50
check,0.008145,5,165
support,0.007882,17,928
out-breath,0.007762,3,65
pause,0.007754,4,197
background,0.007687,4,112
release,0.007555,6,296
cushion,0.007491,4,115
calendar,0.007199,2,21
strategy,0.006669,2,31
self-coaching,0.006636,1,1
lateness,0.006636,1,1
friday,0.006340,2,29
preoccupy,0.005972,3,119
restlessness,0.005881,2,75
throughout,0.005867,3,93
resume,0.005858,1,2
glitch,0.005858,1,3
alteration,0.005858,1,2
guidance,0.005721,2,40
gil,0.005701,8,411
independent,0.005645,2,49
roll,0.005645,2,40
drowsy,0.005404,1,3
responsiveness,0.005404,1,3
softly,0.005299,2,45
silence,0.005086,3,195
preoccupation,0.005086,3,205
out-breaths,0.005081,1,4
mindfulness,0.005028,9,952
breathe,0.004998,13,2454
sati,0.004945,2,92
conquer,0.004831,1,9
ally,0.004831,1,7
maintain,0.004736,2,81
cultivate,0.004715,4,448
silent,0.004638,2,111
awareness,0.004630,8,1247
liz,0.004627,1,7
powell,0.004627,1,6
20-minute,0.004627,1,6
compassionately,0.004627,1,10
homepage,0.004627,1,7
mention,0.004626,3,157
slight,0.004591,2,62
afternoon,0.004500,2,67
lack,0.004455,2,91
collectedness,0.004454,1,8
thanissaro,0.004454,1,39
gender,0.004454,1,7
imc,0.004418,3,173
week,0.004370,11,710
remain,0.004246,2,86
technology,0.004172,1,14
coach,0.004054,1,16
alongside,0.004054,1,13
occupy,0.004054,1,10
compassion,0.004014,4,675
chronic,0.003947,1,13
alignment,0.003947,1,31
discover,0.003862,3,294
notice,0.003856,8,1190
impact,0.003810,2,127
extra,0.003778,2,179
soft,0.003722,3,246
keep,0.003718,10,806
periphery,0.003677,1,16
tension,0.003618,4,604
multiple,0.003600,1,24
mentally,0.003600,1,18
request,0.003459,1,26
arise,0.003457,8,1066
explore,0.003336,2,195
extremely,0.003335,1,23
ideal,0.003335,1,25
pursue,0.003335,1,41
peacefulness,0.003277,1,22
asleep,0.003170,1,32
knot,0.003170,1,43
alertness,0.003120,1,25
click,0.003120,1,43
exhaust,0.003120,1,29
attack,0.003120,1,35
bhikkhu,0.003073,1,66
distract,0.003037,2,155
volunteer,0.003027,1,57
opportunity,0.003014,2,170
attention,0.003012,9,1261
gradually,0.002983,1,42
overcome,0.002983,1,58
patient,0.002983,1,116
strengthen,0.002900,1,35
inclination,0.002861,1,49
work,0.002831,9,1346
fresh,0.002823,1,40
length,0.002823,1,53
inward,0.002786,1,44
settle,0.002781,7,1501
morning,0.002760,4,390
spend,0.002755,3,292
wow,0.002752,2,210
experiment,0.002750,1,49
catch,0.002734,3,427
discourse,0.002682,1,89
course,0.002647,5,672
development,0.002618,1,57
greet,0.002618,1,70
sensation,0.002607,4,867
ability,0.002594,2,232
briefly,0.002587,1,52
whenever,0.002558,1,43
beautiful,0.002556,3,541
write,0.002537,2,238
remember,0.002536,3,388
settledness,0.002500,1,75
you'll,0.002500,2,216
translate,0.002481,2,243
exercise,0.002445,1,60
entire,0.002393,1,65
closely,0.002368,1,53
direction,0.002340,2,241
day,0.002340,9,989
leaf,0.002319,1,63
cycle,0.002296,1,77
relaxation,0.002296,1,62
area,0.002289,2,264
cultivation,0.002273,1,108
wholeness,0.002250,1,147
resist,0.002250,1,92
task,0.002250,1,72
tie,0.002250,1,73
fall,0.002191,2,279
youtube,0.002185,1,78
translation,0.002164,1,105
shape,0.002143,1,76
introduce,0.002123,1,75
spaciousness,0.002103,1,214
naturally,0.002083,1,83
agitation,0.002083,1,106
guide,0.002080,8,876
push,0.002067,2,317
habit,0.002064,1,114
meditate,0.002037,3,497
session,0.002027,1,92
strength,0.002027,1,98
stay,0.002022,4,814
early,0.002022,2,287
steady,0.002009,1,168
it'll,0.002009,1,99
helpful,0.002007,2,562
reason,0.001992,2,270
phenomenon,0.001991,1,104
continue,0.001939,3,417
attune,0.001939,1,116
anyone,0.001939,1,116
quietly,0.001922,1,94
step,0.001920,2,394
pass,0.001905,1,145
important,0.001901,5,806
suggest,0.001889,1,87
offer,0.001873,4,668
night,0.001841,1,173
invitation,0.001826,1,132
encourage,0.001810,1,120
simplicity,0.001810,1,257
respond,0.001810,1,154
