word,tfidf_score,talk_frequency,global_frequency
greet,0.029080,11,71
immeasurables,0.027380,5,8
count,0.021152,9,311
brahmaviharas,0.020593,5,29
samadhi,0.015999,16,1520
immeasurable,0.014700,3,11
appreciation,0.014657,8,209
goodwill,0.013750,10,527
inhalation,0.013562,3,16
background,0.013474,7,115
exhalation,0.013111,3,16
throughout,0.009624,5,100
friend,0.009530,11,564
equanimity,0.009342,6,460
invitation,0.009311,5,133
radiate,0.009217,4,117
compassion,0.009193,9,697
kindness,0.008623,9,557
drift,0.008529,3,51
softly,0.008119,3,45
out-breath,0.007841,3,66
foreground,0.007646,2,26
stillness,0.007572,4,181
dissatisfaction,0.007479,2,19
dear,0.007423,3,127
mentally,0.007323,2,18
entire,0.007195,3,68
wellings,0.006715,1,1
numerical,0.006715,1,1
tumultuous,0.006715,1,1
appreciative,0.006171,2,83
resume,0.005933,1,2
pause,0.005923,3,198
strengthen,0.005916,2,35
gradually,0.005916,2,44
send,0.005823,3,123
stability,0.005541,3,171
several,0.005478,2,53
stimulation,0.005152,1,4
pave,0.005152,1,7
daily,0.005118,3,154
in-breath,0.005112,2,81
friendliness,0.005112,2,178
support,0.005044,11,974
balance,0.005001,3,233
sati,0.004948,2,105
zoom,0.004948,2,82
2of5,0.004900,1,10
ally,0.004900,1,7
concentration,0.004850,3,232
maintain,0.004796,2,82
liz,0.004695,1,7
powell,0.004695,1,6
disentangle,0.004695,1,15
thanissaro,0.004521,1,39
password,0.004521,1,9
hindrance,0.004477,2,198
minute,0.004427,5,359
extend,0.004393,2,77
ponder,0.004370,1,14
elevate,0.004370,1,9
perplex,0.004370,1,8
collectedness,0.004370,1,9
everyone,0.004281,6,465
boundless,0.004237,1,16
intention,0.004215,3,269
whichever,0.004011,1,12
awareness,0.003984,7,1290
fill,0.003841,3,239
spontaneously,0.003823,1,22
tightness,0.003755,2,117
join,0.003724,2,113
conducive,0.003662,1,21
exception,0.003662,1,15
divine,0.003662,1,25
calendar,0.003662,1,21
content,0.003635,2,172
joy,0.003593,4,932
method,0.003589,1,20
encompass,0.003589,1,19
fortune,0.003589,1,32
substitute,0.003589,1,20
phrase,0.003549,2,184
apply,0.003521,2,166
sutta,0.003493,2,324
difficulty,0.003493,2,219
breathe,0.003477,9,2506
beautiful,0.003415,4,564
gift,0.003412,2,147
deliberately,0.003395,1,42
silently,0.003395,1,26
tough,0.003395,1,28
stand,0.003382,3,296
pursue,0.003337,1,42
wholesomeness,0.003337,1,31
nowhere,0.003337,1,28
etc,0.003230,1,32
arrive,0.003209,2,158
freedom,0.003149,4,667
bhikkhu,0.003132,1,66
arise,0.003118,7,1081
yesterday,0.003091,2,166
integral,0.003086,1,31
continuity,0.003086,1,68
subtleness,0.003086,1,33
simply,0.003043,3,312
formal,0.003041,1,36
harm,0.003023,2,466
technique,0.002999,1,48
consciously,0.002999,1,32
regularly,0.002999,1,33
inclination,0.002918,1,49
notice,0.002911,6,1221
stress,0.002872,2,303
addition,0.002843,1,35
experiment,0.002807,1,49
outwards,0.002807,1,50
expansion,0.002807,1,43
capable,0.002807,1,40
mindfulness,0.002773,5,1000
independent,0.002739,1,53
commit,0.002739,1,59
physically,0.002675,1,48
tiny,0.002675,1,51
discourse,0.002675,1,93
sensation,0.002639,4,887
return,0.002580,3,282
discover,0.002560,2,313
calm,0.002506,3,820
settledness,0.002501,1,77
dedicate,0.002474,1,56
fade,0.002474,1,65
message,0.002448,1,68
healthy,0.002437,2,298
already,0.002419,2,261
grow,0.002380,3,511
abide,0.002374,1,155
treat,0.002374,1,66
prefer,0.002374,1,60
silent,0.002350,1,112
leaf,0.002327,1,65
may,0.002284,14,2232
cultivation,0.002282,1,110
afternoon,0.002282,1,68
listen,0.002223,2,397
consider,0.002208,2,288
note,0.002197,1,108
translation,0.002156,1,108
contraction,0.002137,1,91
develop,0.002116,2,367
introduce,0.002099,1,81
repeat,0.002099,1,81
acknowledge,0.002099,1,99
day,0.002095,8,1015
gil,0.002091,3,442
naturally,0.002080,1,87
unpleasant,0.002062,1,233
goodness,0.002014,2,481
trouble,0.002008,1,93
helpful,0.002000,2,579
chat,0.001991,1,107
stable,0.001991,1,109
metta,0.001958,1,456
settle,0.001952,5,1526
quietly,0.001941,1,96
mostly,0.001925,1,103
read,0.001916,2,430
hang,0.001909,1,103
rise,0.001817,1,134
help,0.001810,5,874
type,0.001803,1,187
encourage,0.001803,1,124
today,0.001796,6,852
supportive,0.001788,1,133
cannot,0.001774,1,130
reference,0.001760,1,158
relax,0.001713,4,1265
preoccupation,0.001693,1,215
silence,0.001693,1,205
attention,0.001690,5,1283
quality,0.001683,2,627
week,0.001662,4,726
show,0.001658,2,553
work,0.001612,5,1379
piece,0.001592,1,223
