word,tfidf_score,talk_frequency,global_frequency
titan,0.079865,90,93
king,0.049322,105,489
conflict,0.045256,109,318
sakka,0.038081,48,58
god,0.034359,93,190
patience,0.033664,82,329
view,0.020592,117,652
belief,0.018457,69,280
win,0.013421,27,80
clark,0.011686,31,281
fool,0.011668,18,32
diana,0.011632,34,333
angry,0.011263,36,176
battle,0.011114,18,38
debate,0.010868,18,41
vepacitti,0.009807,9,9
applaud,0.009807,9,9
punishment,0.008658,9,10
escalate,0.008658,9,10
dispute,0.008482,12,25
threaten,0.008222,12,27
correct,0.008072,15,40
questioner,0.007473,18,228
dig,0.007409,12,28
uncomfortable,0.007195,24,195
discomfort,0.007185,21,127
disembody,0.006838,9,14
sambara,0.006538,6,6
stinginess,0.006361,9,21
opinion,0.006300,15,115
jealousy,0.005834,9,36
panel,0.005772,6,7
fight,0.005772,15,103
everybody,0.005753,21,196
comment,0.005707,21,190
magic,0.005320,9,27
quarrel,0.005007,6,21
resignation,0.005007,6,9
check,0.004815,18,165
cling,0.004787,27,535
verse,0.004612,9,78
silent,0.004570,12,111
weren't,0.004570,12,77
aisle,0.004559,6,15
numb,0.004559,6,15
flash,0.004559,6,15
wrong,0.004544,24,321
equanimity,0.004489,18,459
heavenly,0.004388,6,18
anger,0.004387,18,350
violence,0.004346,9,62
ask,0.004315,36,667
cosmology,0.004241,6,23
doctrine,0.004111,6,18
buddha,0.004085,60,1777
unfold,0.004044,15,168
mindful,0.004037,18,257
sprinkle,0.003994,6,18
paraphrase,0.003994,6,17
question,0.003955,33,835
helpful,0.003954,24,562
hold,0.003890,63,1003
argument,0.003889,6,18
okay,0.003836,48,1128
cure,0.003793,6,22
blame,0.003780,9,106
contemporary,0.003705,6,27
somebody,0.003655,15,343
high,0.003628,15,238
non-reactivity,0.003623,6,20
disconnect,0.003614,9,86
freedom,0.003553,27,600
adopt,0.003547,6,21
curiosity,0.003500,9,99
tightly,0.003475,6,29
insist,0.003475,6,28
hell,0.003475,6,59
instead,0.003408,24,440
course,0.003390,39,672
team,0.003345,6,70
implicit,0.003285,6,29
demonic,0.003269,3,3
embroil,0.003269,3,3
undergird,0.003269,3,3
drastic,0.003269,3,3
irrationally,0.003269,3,3
stubbornness,0.003269,3,3
nike,0.003269,3,3
purgatory,0.003269,3,3
paintbrush,0.003269,3,3
screwdriver,0.003269,3,3
talmud,0.003269,3,3
reagan,0.003269,3,3
gorbachev,0.003269,3,3
dn,0.003269,3,3
sn,0.003269,3,3
conflict-free,0.003269,3,3
act,0.003124,15,316
enemy,0.003124,6,53
sick,0.003124,6,35
grind,0.003111,12,162
story,0.003110,27,988
society,0.003051,9,132
dismiss,0.003027,6,38
suttas,0.003023,9,171
otherwise,0.002996,9,95
game,0.002982,6,48
patient,0.002939,6,116
wild,0.002897,6,47
perpetually,0.002886,3,4
dogmatism,0.002886,3,4
fundamentalism,0.002886,3,4
thoughtfulness,0.002886,3,4
archaeological,0.002886,3,4
brew,0.002886,3,4
wit,0.002886,3,4
impervious,0.002886,3,4
slogan,0.002886,3,4
mitchell,0.002886,3,5
moderator,0.002886,3,5
dynamic,0.002818,6,46
wait,0.002672,12,214
asura,0.002662,3,9
unexamined,0.002662,3,7
assemble,0.002662,3,5
vent,0.002662,3,5
bull,0.002662,3,9
culminate,0.002662,3,5
de-escalate,0.002662,3,5
clap,0.002662,3,6
grit,0.002662,3,5
unskillfully,0.002662,3,10
alien,0.002662,3,6
persevere,0.002662,3,5
tao,0.002662,3,12
te,0.002662,3,7
ching,0.002662,3,7
burden,0.002643,6,46
foot,0.002613,12,229
chase,0.002580,6,62
impulse,0.002580,6,65
steadiness,0.002580,6,104
enlightenment,0.002580,6,67
recognition,0.002546,9,213
opposite,0.002546,9,117
side,0.002537,12,275
obvious,0.002526,9,145
evoke,0.002520,6,68
demon,0.002503,3,33
desirous,0.002503,3,6
intellect,0.002503,3,7
yay,0.002503,3,8
rag,0.002503,3,6
composure,0.002503,3,11
road,0.002491,6,115
person,0.002488,33,1064
lead,0.002472,15,527
calm,0.002461,18,801
interact,0.002436,6,55
unless,0.002436,6,54
portray,0.002380,3,9
idiosyncratic,0.002380,3,8
clunky,0.002380,3,8
restrain,0.002380,3,7
advertise,0.002380,3,8
spaciously,0.002380,3,8
work,0.002376,46,1346
tradition,0.002374,12,330
isn't,0.002296,15,392
recognize,0.002285,21,653
flee,0.002279,3,14
lash,0.002279,3,9
resistant,0.002279,3,10
source,0.002279,9,340
gain,0.002262,6,103
meet,0.002244,18,600
base,0.002227,9,212
respect,0.002227,9,221
perspective,0.002209,7,191
salzberg,0.002194,3,10
punish,0.002194,3,11
mask,0.002194,3,9
bury,0.002194,3,9
versus,0.002173,6,87
special,0.002152,6,82
sharon,0.002120,3,14
consist,0.002120,3,10
suppress,0.002120,3,15
stephen,0.002120,3,56
wish,0.002102,21,577
realm,0.002092,6,185
afraid,0.002092,6,103
peace,0.002090,18,632
fix,0.002065,9,275
interestingly,0.002055,3,11
disagreement,0.002055,3,12
hence,0.002055,3,11
teeth,0.002055,3,16
nope,0.002055,3,14
passivity,0.002055,3,15
hero,0.002055,3,14
wow,0.002034,9,210
inherit,0.001997,3,12
uncomfortableness,0.001997,3,18
dialogue,0.001997,3,18
culture,0.001997,6,135
stay,0.001992,24,814
steady,0.001979,6,168
answer,0.001945,9,245
speak,0.001934,12,422
elder,0.001897,3,18
senior,0.001897,3,17
guess,0.001893,6,117
impact,0.001877,6,127
quickly,0.001877,6,91
underestimate,0.001852,3,17
tempt,0.001852,3,15
bar,0.001852,3,22
awaken,0.001834,9,413
rarely,0.001811,3,17
compose,0.001811,3,37
yell,0.001811,3,18
literature,0.001773,3,25
observation,0.001773,3,18
giant,0.001773,3,26
paramis,0.001773,3,22
realize,0.001756,12,402
buddhist,0.001756,18,815
subtle,0.001755,9,372
wonder,0.001754,6,139
sutta,0.001754,6,308
hear,0.001741,18,844
examine,0.001738,3,28
preserve,0.001738,3,22
inquiry,0.001738,3,26
paint,0.001738,3,27
equal,0.001738,3,24
emphasis,0.001726,6,114
complete,0.001726,6,126
aren't,0.001726,6,129
difficulty,0.001726,6,212
openness,0.001711,6,138
impossible,0.001704,3,25
straightforward,0.001704,3,22
path,0.001691,12,796
right,0.001674,63,2070
dead,0.001673,3,28
daily,0.001644,6,153
wise,0.001643,9,432
hey,0.001643,3,29
name,0.001631,9,302
teach,0.001629,30,1396
protest,0.001614,3,30
calmness,0.001614,3,39
must,0.001592,6,154
quote,0.001580,6,150
chance,0.001580,6,150
big,0.001579,15,645
thus,0.001562,3,34
despair,0.001562,3,52
nourishment,0.001562,3,42
else,0.001540,15,545
intelligence,0.001537,3,114
attack,0.001537,3,35
necessarily,0.001531,6,144
apparently,0.001514,3,39
fault,0.001514,3,43
spin,0.001514,3,41
sake,0.001514,3,46
trace,0.001491,3,38
argue,0.001491,3,32
encouragement,0.001491,3,39
run,0.001485,6,152
often,0.001484,27,1064
grip,0.001470,3,50
weird,0.001470,3,41
criticize,0.001470,3,36
great,0.001460,21,911
shut,0.001449,3,39
determine,0.001449,3,33
reply,0.001449,3,47
nobody,0.001429,3,57
rule,0.001429,3,57
kindness,0.001419,9,538
assumption,0.001409,3,48
resentment,0.001409,3,42
tool,0.001409,3,64
nature,0.001408,9,395
share,0.001398,9,458
critical,0.001390,3,38
hit,0.001390,3,67
exact,0.001390,3,38
inner,0.001377,9,456
uplift,0.001372,3,84
yet,0.001366,6,237
philosophy,0.001355,3,49
physically,0.001355,3,44
eightfold,0.001355,3,83
religious,0.001355,3,71
term,0.001346,6,262
example,0.001337,9,367
spiritual,0.001336,6,557
discourse,0.001321,3,89
statement,0.001321,3,57
hostility,0.001305,3,70
harmful,0.001305,3,74
possible,0.001295,12,510
learn,0.001291,18,759
another,0.001291,18,747
kill,0.001290,3,121
strive,0.001290,3,89
wall,0.001290,3,60
liberate,0.001290,3,57
play,0.001278,6,271
knowledge,0.001275,3,110
none,0.001275,3,49
fantastic,0.001260,3,53
stop,0.001259,9,457
specifically,0.001246,3,53
friendship,0.001246,3,126
truth,0.001241,6,487
tire,0.001232,3,82
absence,0.001232,3,96
investigate,0.001218,3,102
upset,0.001218,3,51
absolutely,0.001205,3,64
understand,0.001196,21,1194
certainly,0.001196,6,204
tend,0.001196,6,225
monastic,0.001192,3,107
thousand,0.001192,3,68
easeful,0.001192,3,68
psychological,0.001179,3,70
final,0.001179,3,66
principle,0.001179,3,122
maintain,0.001167,3,81
grow,0.001166,9,485
differently,0.001154,3,54
constant,0.001154,3,70
completely,0.001153,6,248
bite,0.001149,39,1484
underneath,0.001143,3,86
support,0.001142,15,928
actually,0.001140,21,1070
idea,0.001136,27,1586
oppose,0.001131,3,78
beneficial,0.001131,3,92
engage,0.001120,6,319
distraction,0.001120,3,69
stand,0.001111,6,273
sure,0.001111,6,252
country,0.001108,3,94
ago,0.001103,6,265
well,0.001102,27,1325
fun,0.001087,3,103
version,0.001087,3,96
necessary,0.001076,3,67
curious,0.001076,3,93
ignore,0.001076,3,72
nothing,0.001070,9,464
tonight,0.001066,3,103
spacious,0.001066,3,109
current,0.001066,3,116
definitely,0.001066,3,77
describe,0.001064,6,273
