word,tfidf_score,talk_frequency,global_frequency
miracle,0.020618,20,58
kevatta,0.020441,10,10
remainder,0.020372,13,16
brahma,0.019929,20,77
consciousness,0.016674,22,139
signless,0.016353,8,8
overcome,0.014767,16,58
nalanda,0.014309,7,7
rapture,0.013938,12,32
element,0.012937,20,183
cease,0.012936,15,53
rejoice,0.012880,10,31
suffuse,0.012776,11,31
asavas,0.012639,7,8
monk,0.012590,20,213
debt,0.011957,9,16
heaven,0.011544,11,110
conceptualize,0.011420,8,16
leigh,0.010996,8,57
all-illuminating,0.010221,5,5
glad,0.010132,10,36
drench,0.009996,6,9
sutta,0.009498,18,324
slave,0.009402,6,11
guard,0.009292,8,42
duality,0.009028,5,7
devas,0.009016,7,43
limitless,0.008330,5,7
precept,0.007721,8,97
ill,0.007554,12,142
crow,0.007451,5,16
steep,0.007314,6,20
imperturbability,0.007222,4,5
bright,0.007214,9,68
intoxicant,0.007138,5,15
remorse,0.006872,5,12
charm,0.006664,4,6
sens,0.006651,10,146
saturate,0.006540,6,27
water,0.006456,18,493
torpor,0.006095,5,26
concept,0.006088,12,259
sensual,0.005999,8,108
sloth,0.005945,5,29
temporarily,0.005807,5,18
mindful,0.005716,14,273
skeptical,0.005710,4,10
sharp,0.005561,5,23
restlessness,0.005460,6,75
sir,0.005450,5,36
cessation,0.005450,5,46
supernormal,0.005417,3,4
tathagata,0.005417,3,4
creator,0.005417,3,4
sharpen,0.005417,3,4
bahiya,0.005417,3,4
suttas,0.005036,8,172
secondary,0.005007,4,13
input,0.005007,4,17
seclude,0.004998,3,5
perilous,0.004998,3,15
soap,0.004998,3,7
wieldy,0.004998,3,5
asava,0.004998,3,6
air,0.004904,9,170
thus,0.004902,5,34
desert,0.004756,4,18
hindrance,0.004745,7,198
earth,0.004697,8,235
participant,0.004646,4,39
venerable,0.004544,4,41
gradual,0.004487,5,62
material,0.004369,5,52
bear,0.004361,10,235
prison,0.004360,4,62
sensory,0.004360,4,33
sanna,0.004283,3,12
instruction,0.004261,9,214
divide,0.004257,5,58
brasington,0.004123,3,31
pavarika,0.004088,2,2
unbeliever,0.004088,2,2
gandharan,0.004088,2,2
manika,0.004088,2,2
flake,0.004088,2,2
land-finding,0.004088,2,2
discourse,0.004055,5,93
seclusion,0.003986,3,14
malleable,0.003986,3,11
cosmology,0.003986,3,23
dhamma,0.003922,4,129
lake,0.003917,5,132
happiness,0.003886,15,860
fire,0.003881,6,144
lord,0.003864,3,12
doubt,0.003777,6,164
laypeople,0.003755,3,24
buddha,0.003721,30,1874
reject,0.003692,4,44
