word,tfidf_score,talk_frequency,global_frequency
spaciousness,0.039243,14,220
plenty,0.019720,5,36
two-year-old,0.018000,2,2
precede,0.015112,3,20
crowd,0.013076,3,32
cultivation,0.012385,4,110
inhalation,0.012156,2,16
samadhi,0.012082,9,1556
exhalation,0.011755,2,16
contrast,0.011115,3,44
constrict,0.011085,2,14
vague,0.010799,2,13
development,0.010734,3,58
tighten,0.010497,3,63
guarantee,0.010075,2,19
count,0.009469,3,312
room,0.009423,8,461
developmentally,0.009000,1,1
vie,0.009000,1,1
pain,0.008563,6,518
equanimity,0.008462,4,461
mind-body,0.007959,1,2
wellbeing,0.007959,1,4
persistent,0.007959,1,2
stillness,0.007673,3,182
throughout,0.007612,3,112
busy,0.007552,3,102
hurry,0.007410,2,82
tantrum,0.007350,1,3
all-encompassing,0.007350,1,4
ample,0.007350,1,3
eagle,0.007350,1,5
bye,0.007350,1,4
space,0.007052,7,755
rationally,0.006918,1,4
partner,0.006848,2,72
release,0.006812,4,320
receive,0.006674,4,378
show,0.006588,6,572
zoom,0.006502,2,91
final,0.006375,2,72
liz,0.006310,1,7
powell,0.006310,1,6
developmental,0.006310,1,12
homepage,0.006310,1,7
readiness,0.006078,1,11
password,0.006078,1,9
silent,0.006077,2,120
schedule,0.005878,1,9
expectation,0.005755,2,113
result,0.005755,2,104
recommendation,0.005701,1,9
alongside,0.005543,1,13
introduce,0.005511,2,86
pay,0.005435,3,235
sangha,0.005285,2,239
subtly,0.005269,1,12
chronic,0.005269,1,15
vast,0.005242,2,128
pause,0.005242,2,201
background,0.005075,2,124
dissatisfaction,0.005037,1,19
p,0.005037,1,17
rational,0.004837,1,22
calendar,0.004746,1,23
enter,0.004613,3,384
ruminate,0.004579,1,25
phase,0.004502,1,29
deliberately,0.004502,1,43
daily,0.004487,2,172
acquire,0.004429,1,35
friday,0.004359,1,29
emotionally,0.004359,1,29
check,0.004356,2,174
jhanas,0.004292,1,58
nourishment,0.004292,1,44
support,0.004235,7,1043
automatic,0.004167,1,43
pretty,0.004082,2,183
breathe,0.004060,8,2612
discovery,0.004051,1,58
respect,0.003996,2,241
ready,0.003967,2,187
you've,0.003946,3,365
yet,0.003725,2,248
state,0.003660,4,872
strive,0.003619,1,89
softly,0.003619,1,53
relatively,0.003619,1,44
steadiness,0.003499,1,111
greet,0.003461,1,75
expansive,0.003461,1,73
beautiful,0.003460,3,592
attain,0.003388,1,71
build,0.003360,2,247
collect,0.003352,1,74
discover,0.003337,2,325
upset,0.003318,1,54
receptive,0.003318,1,83
thousand,0.003318,1,69
fly,0.003318,1,68
calm,0.003294,3,853
sati,0.003284,1,113
notice,0.003253,5,1251
meditative,0.003251,1,77
entire,0.003251,1,68
delightful,0.003187,1,64
cultivate,0.003182,2,471
cycle,0.003126,1,79
active,0.003126,1,67
journey,0.003126,1,124
freedom,0.003089,3,691
brain,0.003067,1,112
arise,0.003053,5,1093
relaxation,0.003039,1,70
empty,0.003010,1,98
fun,0.002929,1,109
resistance,0.002903,1,126
spacious,0.002878,1,114
remain,0.002852,1,91
health,0.002852,1,104
contraction,0.002852,1,93
everyone,0.002850,3,480
acknowledge,0.002827,1,100
difficult,0.002816,2,339
cause,0.002797,2,416
explain,0.002755,1,97
flow,0.002740,2,578
contract,0.002732,1,107
tense,0.002709,1,132
shouldn't,0.002709,1,100
safety,0.002709,1,120
suffer,0.002695,4,1751
possible,0.002684,3,542
settle,0.002643,5,1552
key,0.002642,1,103
attention,0.002614,6,1400
they've,0.002579,1,105
expect,0.002537,1,105
perspective,0.002517,1,202
day,0.002504,7,1063
extra,0.002497,1,191
effect,0.002439,1,171
example,0.002422,2,395
invitation,0.002420,1,141
haven't,0.002365,1,105
simplicity,0.002365,1,268
supportive,0.002347,1,140
plan,0.002347,1,164
stop,0.002339,2,480
recognition,0.002294,1,222
worry,0.002260,1,158
everybody,0.002260,1,205
appear,0.002243,1,138
finally,0.002243,1,156
return,0.002243,2,299
condition,0.002227,2,702
ease,0.002212,2,587
child,0.002210,1,216
explore,0.002194,1,205
comment,0.002178,1,200
gently,0.002165,2,426
arrive,0.002162,1,161
around,0.002124,8,1211
stick,0.002100,1,196
opportunity,0.002041,1,180
quiet,0.002030,2,648
imc,0.002012,1,179
may,0.001994,9,2295
context,0.001984,1,209
enjoy,0.001970,1,198
stress,0.001915,1,312
force,0.001889,1,222
physical,0.001889,1,219
clarity,0.001875,1,261
allow,0.001865,6,1581
link,0.001864,4,565
anything,0.001844,4,883
couple,0.001837,1,181
suppose,0.001824,1,193
pleasant,0.001824,1,354
sensation,0.001762,2,907
foot,0.001750,1,252
continue,0.001749,2,439
another,0.001748,3,796
ability,0.001738,1,246
level,0.001726,1,291
else,0.001656,2,579
clear,0.001630,2,594
middle,0.001591,1,250
mental,0.001591,1,368
hear,0.001579,2,937
normal,0.001548,1,193
area,0.001527,1,281
bring,0.001507,4,1269
natural,0.001507,1,354
awareness,0.001492,2,1389
aspect,0.001476,1,283
mindfulness,0.001467,2,1055
forward,0.001457,1,238
energy,0.001447,1,448
usually,0.001389,1,260
matter,0.001380,1,303
happen,0.001363,8,2196
though,0.001342,1,257
lead,0.001333,1,549
helpful,0.001324,1,597
light,0.001297,1,502
read,0.001280,1,444
clearly,0.001280,1,423
step,0.001219,1,467
minute,0.001211,1,365
offer,0.001210,2,742
joy,0.001203,1,946
today,0.001189,3,882
instead,0.001178,1,478
everything,0.001155,2,957
week,0.001144,2,744
quality,0.001137,1,647
experience,0.001134,7,3247
involve,0.001129,1,448
focus,0.001067,1,624
movement,0.001052,1,475
still,0.001047,2,827
guide,0.001045,3,955
bite,0.001027,4,1589
aware,0.001015,1,671
help,0.000994,2,899
soften,0.000993,1,572
hand,0.000993,1,511
body,0.000989,7,3405
keep,0.000984,2,854
interest,0.000971,1,547
peace,0.000936,1,664
morning,0.000922,1,426
gil,0.000908,1,468
within,0.000908,1,561
actually,0.000902,2,1129
mind,0.000891,18,4777
introduction,0.000888,1,295
someone,0.000868,1,675
touch,0.000848,1,513
find,0.000847,6,1762
wish,0.000841,1,604
dharmette,0.000815,1,343
look,0.000810,3,1512
