word,tfidf_score,talk_frequency,global_frequency
steadiness,0.051395,17,104
steady,0.022458,9,148
eggs,0.022375,4,12
appreciation,0.021207,10,203
appreciating,0.018192,8,128
steadily,0.017653,3,8
immeasurable,0.016781,3,11
samadhi,0.015511,12,1300
interlinked,0.015379,2,2
counting,0.013591,4,141
realizations,0.013573,2,3
bliss,0.013402,4,61
realization,0.011777,3,34
nurtures,0.011768,2,5
enjoying,0.009070,3,51
noticing,0.008931,6,329
warmth,0.007869,4,155
detract,0.007689,1,1
connotes,0.007689,1,1
roller,0.007689,1,1
coaster,0.007689,1,1
reliability,0.007689,1,1
superpower,0.007689,1,1
thrash,0.007689,1,1
peck,0.007689,1,1
supporting,0.007559,3,88
pushing,0.007557,4,139
concentration,0.007497,4,222
cultivate,0.007263,4,201
aside,0.007207,3,109
throughout,0.006946,3,90
radiating,0.006796,2,51
blissful,0.006787,1,2
mightily,0.006787,1,3
hen,0.006787,1,2
hatch,0.006787,1,3
background,0.006702,3,110
fighting,0.006701,2,56
stillness,0.006528,3,178
enjoy,0.006308,3,113
enhance,0.006259,1,3
counterintuitive,0.006259,1,3
hardened,0.006259,1,4
unsettling,0.006259,1,3
upheaval,0.006259,1,3
result,0.005975,2,58
happiness,0.005966,6,805
zoom,0.005906,2,75
brahma-viharas,0.005884,1,5
glowing,0.005884,1,5
untroubled,0.005884,1,5
skiing,0.005884,1,4
pointers,0.005884,1,4
settledness,0.005772,2,75
harm,0.005714,3,324
excerpt,0.005594,1,6
reinforces,0.005594,1,6
already,0.005527,4,255
liz,0.005356,1,7
powell,0.005356,1,6
wholehearted,0.005356,1,6
grim,0.005356,1,7
struggled,0.005356,1,10
20-minute,0.005356,1,6
afternoon,0.005244,2,65
enable,0.005156,1,8
collectedness,0.005156,1,8
inhalation,0.005156,1,16
guarantee,0.005156,1,9
healed,0.005156,1,8
password,0.005156,1,9
worked,0.005039,2,81
exhalation,0.004982,1,16
obligation,0.004982,1,8
whispering,0.004982,1,10
sport,0.004982,1,9
tense,0.004896,2,110
presence,0.004888,3,207
you'd,0.004850,2,77
leap,0.004828,1,12
busyness,0.004828,1,11
equally,0.004828,1,13
hour,0.004804,2,114
sangha,0.004760,2,206
serves,0.004691,1,11
courses,0.004691,1,12
method,0.004691,1,12
steadying,0.004691,1,12
partners,0.004691,1,15
increased,0.004691,1,14
showing,0.004673,2,95
shows,0.004673,2,123
freedom,0.004602,5,596
arises,0.004591,4,349
safety,0.004589,2,116
grow,0.004567,3,226
mornings,0.004567,1,12
periods,0.004567,1,12
watched,0.004567,1,13
swim,0.004567,1,18
calm,0.004557,4,588
breathing,0.004555,8,1983
leads,0.004508,2,165
appreciate,0.004495,5,409
keeping,0.004468,2,89
based,0.004390,2,136
foreground,0.004349,1,26
unhappiness,0.004349,1,21
periphery,0.004253,1,16
dissatisfaction,0.004253,1,19
nurturing,0.004253,1,16
click,0.004253,1,28
treating,0.004163,1,19
strengthen,0.004163,1,15
colleagues,0.004163,1,18
tough,0.004163,1,23
calendar,0.004163,1,20
sutta,0.004135,2,307
ultimately,0.004079,1,21
peripheral,0.004079,1,40
buddhas,0.004079,1,20
shy,0.004000,1,20
encouraging,0.004000,1,19
opportunity,0.004000,2,127
develops,0.003926,1,21
intimately,0.003926,1,19
sink,0.003926,1,23
heal,0.003926,1,33
excitement,0.003789,1,33
extent,0.003789,1,21
pleasantness,0.003789,1,42
struggle,0.003789,1,26
skills,0.003789,1,34
allowing,0.003769,4,465
took,0.003749,2,151
skill,0.003725,1,33
arisen,0.003664,1,33
outer,0.003664,1,38
turn,0.003654,3,274
including,0.003632,2,134
unhelpful,0.003607,1,48
collected,0.003551,1,32
urge,0.003551,1,39
sources,0.003551,1,46
worried,0.003498,1,29
nourish,0.003498,1,33
consciously,0.003498,1,29
sweetness,0.003447,1,89
gradually,0.003447,1,42
radiate,0.003447,1,37
direction,0.003439,2,186
develop,0.003439,2,191
highlight,0.003398,1,38
today's,0.003398,1,30
seen,0.003392,3,294
oneself,0.003386,2,175
distraction,0.003350,1,41
fell,0.003350,1,33
suffering,0.003332,5,1420
goodwill,0.003309,2,427
remain,0.003305,1,35
leaning,0.003305,1,45
arise,0.003267,3,350
quiet,0.003267,3,436
relatively,0.003261,1,37
