word,tfidf_score,talk_frequency,global_frequency
victoria,0.055302,16,17
thurman,0.019580,5,5
howard,0.017282,5,6
melody,0.015664,4,4
audience,0.014252,8,137
sibling,0.013128,5,13
complaining,0.012996,6,25
complain,0.012685,5,13
cary,0.011748,3,3
chattering,0.010369,3,4
patience,0.010289,7,329
truthfulness,0.010148,4,20
generosity,0.009720,9,206
folk,0.009102,8,123
single,0.008982,7,84
luther,0.008546,3,9
integrate,0.008481,4,20
rage,0.008481,4,23
reminder,0.007888,5,52
daily,0.007886,8,152
angela,0.007832,2,2
transcendental,0.007832,2,2
accustom,0.007832,2,2
martin,0.007611,3,12
internally,0.007465,4,41
bucket,0.007377,3,23
verse,0.007347,4,78
spark,0.007167,3,12
eve,0.006913,2,4
reciting,0.006913,2,3
sparked,0.006913,2,3
discipline,0.006645,3,17
community,0.006473,7,352
remind,0.006471,4,45
remember,0.006287,11,306
critic,0.006232,3,52
spending,0.006086,4,53
spite,0.005993,2,5
devoid,0.005993,2,7
peace,0.005966,14,619
pause,0.005950,5,168
loud,0.005946,4,54
retreat,0.005709,9,386
imagination,0.005687,4,95
question,0.005585,13,825
irrelevant,0.005251,2,8
chanting,0.005074,2,12
king,0.005049,3,478
remain,0.005049,3,35
chapter,0.004778,2,31
honest,0.004511,3,65
cushion,0.004395,4,115
externally,0.004332,2,22
thousand,0.004312,3,67
standing,0.004284,4,112
remembering,0.004266,3,65
christian,0.004155,2,33
beneficial,0.004089,3,91
restless,0.004074,2,28
painful,0.004006,3,98
sila,0.003999,2,42
legit,0.003916,1,1
bounced,0.003916,1,1
lecturing,0.003916,1,1
unreality,0.003916,1,1
malignant,0.003916,1,1
catapult,0.003916,1,1
out-of-hand,0.003916,1,1
incapacity,0.003916,1,1
news-lite,0.003916,1,1
people-pleaser,0.003916,1,1
birthday's,0.003916,1,1
florida,0.003916,1,1
jury's,0.003916,1,1
egotism,0.003916,1,1
overhead,0.003916,1,1
harm,0.003880,4,338
creative,0.003859,2,37
overwhelmed,0.003859,2,25
frustration,0.003794,2,35
despair,0.003794,2,46
spirit,0.003776,3,104
truth,0.003679,5,487
meet,0.003640,6,336
merit,0.003617,2,46
worry,0.003570,3,107
formal,0.003563,2,35
dhammapada,0.003563,2,41
worried,0.003563,2,29
build,0.003538,3,89
helpful,0.003533,6,561
hi,0.003461,2,36
lunar,0.003456,1,2
boston,0.003456,1,2
preferencing,0.003456,1,2
wishful,0.003456,1,2
pinpoint,0.003456,1,2
unstructured,0.003456,1,2
disharmony,0.003456,1,2
wallet,0.003456,1,2
y'all,0.003456,1,3
cheerfully,0.003456,1,3
hurricane,0.003456,1,2
prompted,0.003456,1,2
contrasted,0.003456,1,2
wisdom,0.003404,6,536
value,0.003396,4,183
month,0.003383,3,109
notice,0.003360,9,736
hundred,0.003321,2,37
virtue,0.003278,2,106
chair,0.003268,3,102
option,0.003236,2,46
definition,0.003236,2,49
celebrated,0.003187,1,3
pad,0.003187,1,3
mystic,0.003187,1,3
grad,0.003187,1,3
rapidly,0.003187,1,3
supportive,0.003133,3,129
friend,0.003109,6,524
harder,0.003079,2,56
repeat,0.003079,2,46
upset,0.003043,2,46
oh,0.003041,10,1322
