word,tfidf_score,talk_frequency,global_frequency
brightening,0.050522,18,19
brilliance,0.036488,13,14
purification,0.035178,20,38
brightness,0.031362,22,63
luminescence,0.015900,5,5
splendor,0.014034,5,7
dullness,0.013221,7,23
creativity,0.012312,7,22
hiding,0.011333,6,19
kiss,0.011227,4,5
definition,0.011085,8,43
brightened,0.009734,4,7
rosemary,0.009567,6,48
yeah,0.009223,17,767
sword,0.008861,4,14
midwinter,0.008420,3,4
conceal,0.008420,3,4
hug,0.008241,4,12
wahtola,0.008118,5,39
trommer,0.008118,5,43
matters,0.007985,6,54
light,0.007501,15,402
diana,0.006954,7,338
visuddhimagga,0.006940,3,11
moon,0.006617,4,27
excellence,0.006397,3,11
notice,0.006367,21,731
impure,0.006360,2,2
visuddhi,0.006360,2,2
splendorizing,0.006360,2,2
alcoholic,0.006360,2,2
clouds,0.006267,4,37
irritated,0.005966,4,36
wow,0.005884,9,210
oh,0.005872,24,1324
contracting,0.005666,3,19
lineages,0.005614,2,3
disease,0.005526,3,17
managed,0.005526,3,16
clark,0.005477,5,285
poem,0.005400,6,341
roles,0.005277,3,20
dictionary,0.005177,2,4
obscured,0.005177,2,7
shadows,0.005177,2,5
illumination,0.005177,2,6
oppressive,0.004867,2,5
intellect,0.004867,2,7
path,0.004847,20,958
veil,0.004430,2,8
aliveness,0.004382,4,84
vitality,0.004340,3,43
flowers,0.004340,3,43
rain,0.004157,3,62
clearly,0.004115,9,386
noticed,0.004102,5,123
awakening,0.004074,6,305
purified,0.003994,2,12
impatient,0.003994,2,16
spreading,0.003993,3,59
freely,0.003941,3,55
passage,0.003880,2,22
book,0.003815,5,208
written,0.003796,3,54
darkness,0.003778,2,14
sharp,0.003778,2,18
hadn,0.003751,3,49
dark,0.003751,3,52
guess,0.003729,4,107
identifying,0.003684,2,19
shining,0.003684,2,22
purity,0.003598,2,24
poet,0.003541,3,82
fires,0.003518,2,25
month,0.003464,3,69
capacity,0.003429,6,316
view,0.003429,6,402
start,0.003378,18,870
plants,0.003374,2,26
seed,0.003374,2,25
measure,0.003355,3,65
list,0.003336,4,163
told,0.003336,4,137
implies,0.003309,2,23
inquiry,0.003309,2,27
agitated,0.003253,3,84
shine,0.003247,2,40
difficulties,0.003220,3,139
dead,0.003189,2,29
specifically,0.003188,3,68
falling,0.003188,3,73
thrust,0.003180,1,1
batted,0.003180,1,1
purports,0.003180,1,1
