word,tfidf_score,talk_frequency,global_frequency
organizing,0.028817,36,60
pieces,0.018782,27,87
organized,0.018039,27,71
lake,0.015829,24,118
samadhi,0.013687,51,1428
organize,0.012704,15,32
scattering,0.012682,9,10
kitchen,0.011799,15,54
participating,0.011060,15,51
settled,0.010389,39,416
centrifugal,0.009579,6,6
scattered,0.009022,9,27
gathering,0.009015,21,185
blocks,0.008322,9,28
brain,0.008249,15,94
activated,0.008234,12,70
pong,0.007797,6,8
propelled,0.007797,6,8
prioritization,0.007330,6,10
ping,0.006968,6,12
bowl,0.006961,9,48
parts,0.006738,21,211
weight,0.006719,15,148
puzzle,0.006673,6,51
pot,0.006673,6,14
oriented,0.006599,12,88
together,0.006226,84,1022
tense,0.006099,12,110
participate,0.006093,9,59
settling,0.006014,27,507
energized,0.005844,6,17
limit,0.005649,9,63
preoccupied,0.005615,12,123
fit,0.005518,9,59
settle,0.005297,30,505
pull,0.005239,12,131
instructions,0.005151,12,150
activities,0.005151,12,132
monastery,0.005053,9,103
lifting,0.004983,6,23
ball,0.004983,6,30
agitated,0.004899,9,84
blood,0.004890,6,30
tabletop,0.004789,3,3
pans,0.004789,3,3
artifice,0.004789,3,3
personal,0.004488,12,171
concerns,0.004249,9,104
tailor,0.004227,3,4
inclusivity,0.004227,3,5
lego,0.004227,3,4
spins,0.004227,3,4
zeroed,0.004227,3,4
cooperating,0.004227,3,4
reorganizing,0.004227,3,4
grounded,0.004174,9,116
counting,0.004117,6,143
unification,0.004031,9,143
series,0.004026,15,255
relaxing,0.003937,15,364
count,0.003907,6,154
positioned,0.003898,3,6
expense,0.003898,3,7
pots,0.003898,3,5
emotional,0.003765,12,228
head,0.003736,12,220
bottom,0.003722,6,46
kindly,0.003722,6,54
work,0.003715,33,850
disparate,0.003665,3,6
directionality,0.003665,3,6
orbit,0.003665,3,13
spill,0.003665,3,6
ingredients,0.003665,3,7
dirty,0.003665,3,6
waves,0.003636,6,94
settles,0.003595,6,65
working,0.003546,12,287
imagination,0.003516,6,89
entryway,0.003484,3,7
removes,0.003484,3,7
