word,tfidf_score,talk_frequency,global_frequency
equanimity,0.027264,43,459
courage,0.012517,10,89
brahmaviharas,0.011924,7,29
farmer,0.011056,7,41
horse,0.010810,7,48
lapse,0.010683,5,9
journey,0.008746,9,120
grandparent,0.008547,4,10
apprehension,0.008376,3,3
vindictiveness,0.008376,3,3
yep,0.006634,4,21
unhappiness,0.006318,4,21
toward,0.006106,7,152
son,0.005920,5,83
brahmavihara,0.005835,3,14
stretch,0.005695,5,56
giddiness,0.005584,2,2
diaper,0.005584,2,2
rash,0.005584,2,2
tizzy,0.005584,2,2
obscurity,0.005584,2,2
pettiness,0.005584,2,2
joy,0.005542,15,924
dance,0.005323,4,44
rejoice,0.005260,3,31
dear,0.005182,5,125
taste,0.005091,6,148
resilience,0.004975,3,15
lawfulness,0.004929,2,3
appropriate,0.004764,7,168
benefactor,0.004738,3,38
compassion,0.004723,11,634
envy,0.004633,3,42
recover,0.004545,2,4
impede,0.004545,2,4
mudita,0.004444,3,82
disperse,0.004273,2,7
fine,0.004116,6,150
villager,0.004062,2,13
depend,0.003951,5,109
neutral,0.003929,3,52
fight,0.003928,4,103
connection,0.003841,7,207
potential,0.003808,4,81
grief,0.003770,4,132
gradually,0.003755,3,42
apathy,0.003744,2,17
sentient,0.003744,2,12
non-suffering,0.003744,2,14
zone,0.003650,3,37
reactivity,0.003624,4,146
farm,0.003618,2,10
ensure,0.003618,2,9
near,0.003556,4,111
fame,0.003507,2,17
uplift,0.003505,3,84
she'd,0.003407,2,18
heart,0.003301,31,1635
fear,0.003260,8,497
metta,0.003245,4,445
purification,0.003234,2,33
control,0.003220,5,264
enjoyment,0.003159,2,16
cruelty,0.003159,2,19
express,0.003054,4,144
response,0.003028,4,194
board,0.003023,2,24
enable,0.003023,2,18
loss,0.002946,3,123
bless,0.002946,3,119
phrase,0.002929,4,182
fortunate,0.002905,2,27
worldly,0.002905,2,38
outcome,0.002905,2,36
gain,0.002885,3,103
turn,0.002872,13,671
happiness,0.002867,8,811
joyful,0.002851,2,29
team,0.002851,2,70
instinct,0.002851,2,35
action,0.002848,5,318
unfortunate,0.002800,2,27
lack,0.002799,3,91
paradoxically,0.002792,1,1
lively,0.002792,1,1
undeniably,0.002792,1,1
bounteous,0.002792,1,1
riotous,0.002792,1,1
profusion,0.002792,1,1
replenish,0.002792,1,1
savage,0.002792,1,1
