word,tfidf_score,talk_frequency,global_frequency
ann,0.057458,7,7
buck,0.036255,5,7
dead,0.024848,6,29
disfigure,0.016417,2,2
stoplight,0.014502,2,3
draft,0.013382,2,5
ash,0.012587,2,7
emperor,0.012587,2,5
intrinsically,0.011971,2,6
fierce,0.011971,2,6
month,0.011901,5,111
shinzen,0.011041,2,8
la,0.010672,2,13
restaurant,0.010672,2,9
ago,0.009819,7,268
exclude,0.009793,2,17
friend,0.009530,9,562
amidst,0.009126,2,18
brensilver,0.008851,3,90
matthew,0.008760,3,93
waste,0.008590,2,22
subplot,0.008208,1,1
dylan,0.008208,1,1
palisade,0.008208,1,1
decent,0.008208,1,1
snyder,0.008208,1,1
autocracy,0.008208,1,1
fluorescent,0.008208,1,1
confetti,0.008208,1,1
cumulatively,0.008208,1,1
rider,0.008208,1,1
casa,0.008208,1,1
teary,0.008208,1,1
restaurateur,0.008208,1,1
sou,0.008208,1,1
chef,0.008208,1,1
cal,0.008208,1,1
monica,0.008208,1,1
ceaselessly,0.008208,1,1
macular,0.008208,1,1
degeneration,0.008208,1,1
fearlessness,0.008208,1,1
fenton,0.008208,1,1
exorbitant,0.008208,1,1
deface,0.008208,1,1
self-engrossed,0.008208,1,1
honour,0.008208,1,1
favourite,0.008208,1,1
hallow,0.008208,1,1
celebrity,0.008208,1,1
amend,0.008208,1,1
pact,0.008208,1,1
view,0.007781,6,683
santa,0.007755,2,32
entangle,0.007637,2,37
taste,0.007523,3,149
free,0.007366,16,748
exclusion,0.007251,1,2
protagonist,0.007251,1,2
timothy,0.007251,1,2
psychedelic,0.007251,1,3
year-end,0.007251,1,2
de,0.007251,1,2
greedily,0.007251,1,2
appoint,0.007251,1,2
intact,0.007251,1,2
unintelligible,0.007251,1,3
howl,0.007251,1,2
rave,0.007251,1,2
strangle,0.007251,1,2
clank,0.006691,1,3
owner,0.006691,1,3
mama,0.006691,1,3
maxim,0.006691,1,3
hydrogen,0.006691,1,6
pedal,0.006691,1,14
memorial,0.006691,1,3
two-week,0.006691,1,4
gulp,0.006691,1,3
free-flowing,0.006691,1,3
vengeful,0.006691,1,3
none,0.006368,2,50
remember,0.006353,6,392
dark,0.006296,2,57
haunt,0.006294,1,6
pink,0.006294,1,5
registration,0.006294,1,4
orchestrate,0.006294,1,5
photo,0.006294,1,8
slave,0.006294,1,11
generous,0.006226,2,92
possessiveness,0.005985,1,7
film,0.005985,1,8
unshakable,0.005985,1,5
backyard,0.005985,1,5
gorgeous,0.005985,1,5
hillside,0.005985,1,9
andrew,0.005985,1,6
bless,0.005840,2,119
greed,0.005799,3,247
badge,0.005733,1,7
molecule,0.005733,1,8
bike,0.005733,1,20
barbara,0.005733,1,12
radiant,0.005733,1,6
responsive,0.005733,1,11
weep,0.005733,1,6
whirlpool,0.005521,1,10
incidental,0.005521,1,15
sip,0.005521,1,9
yogi,0.005521,1,10
stupid,0.005521,1,10
stickiness,0.005336,1,14
bicycle,0.005336,1,22
ensure,0.005336,1,9
owe,0.005336,1,10
cave,0.005336,1,16
house,0.005297,2,119
affective,0.005173,1,10
daylong,0.005173,1,12
till,0.005173,1,11
pose,0.005173,1,9
luck,0.005173,1,31
self,0.005041,4,1140
tragedy,0.005028,1,13
chapter,0.005028,1,31
outline,0.005028,1,10
pacific,0.005028,1,12
jam,0.005028,1,14
privilege,0.005028,1,11
early,0.005005,4,292
okay,0.004924,8,1161
impose,0.004896,1,13
safety,0.004885,2,118
dharma,0.004780,6,842
majesty,0.004776,1,18
private,0.004776,1,29
race,0.004776,1,16
damage,0.004776,1,15
would,0.004737,22,2002
bay,0.004666,1,16
remark,0.004666,1,14
disease,0.004666,1,19
knock,0.004563,1,21
leader,0.004563,1,62
ownership,0.004468,1,19
infuse,0.004468,1,21
resonance,0.004468,1,22
insist,0.004379,1,28
dress,0.004379,1,19
toe,0.004379,1,19
openness,0.004312,2,140
thin,0.004295,1,23
hospital,0.004295,1,44
moon,0.004295,1,27
flip,0.004295,1,23
grass,0.004295,1,42
heaven,0.004216,1,110
worthwhile,0.004216,1,20
delusion,0.004177,2,219
appearance,0.004141,1,49
oxygen,0.004141,1,36
precious,0.004141,1,25
maria,0.004071,1,75
young,0.004048,2,165
retreat,0.004032,3,401
essentially,0.004003,1,26
cup,0.004003,1,50
classically,0.004003,1,26
coffee,0.003939,1,39
thread,0.003939,1,53
discus,0.003939,1,28
arrive,0.003896,2,158
majjhima,0.003877,1,30
silly,0.003877,1,31
grieve,0.003877,1,47
resonate,0.003819,1,30
continuity,0.003819,1,67
overlook,0.003819,1,28
reflect,0.003808,2,199
pain,0.003781,3,514
suspect,0.003762,1,39
mirror,0.003762,1,37
accessible,0.003762,1,34
song,0.003708,1,49
afterwards,0.003708,1,29
cognitive,0.003656,1,53
saw,0.003613,2,191
spine,0.003557,1,47
burn,0.003557,1,57
wood,0.003557,1,53
phone,0.003510,1,62
hop,0.003510,1,37
tranquility,0.003465,1,65
cease,0.003465,1,53
access,0.003421,1,47
sorrow,0.003379,1,51
stretch,0.003338,1,58
fairly,0.003338,1,45
service,0.003338,1,79
couple,0.003309,2,175
emotional,0.003285,2,228
sort,0.003285,2,279
room,0.003271,3,435
impulse,0.003221,1,66
bright,0.003221,1,68
play,0.003191,2,275
forever,0.003184,1,68
tone,0.003113,1,101
strike,0.003079,1,57
else,0.003034,4,562
nikaya,0.002982,1,69
anywhere,0.002920,1,62
loss,0.002920,1,123
woman,0.002920,1,171
sky,0.002890,1,86
didn't,0.002883,3,516
rich,0.002861,1,67
carefully,0.002861,1,57
age,0.002861,1,78
parent,0.002805,1,80
track,0.002805,1,94
year,0.002789,4,830
sure,0.002785,2,256
mood,0.002778,1,92
resist,0.002778,1,93
mountain,0.002751,1,135
empty,0.002724,1,97
hate,0.002673,1,95
ignore,0.002673,1,75
cling,0.002650,2,559
home,0.002631,2,259
spirit,0.002624,1,107
spot,0.002624,1,116
afraid,0.002624,1,104
fire,0.002600,1,144
position,0.002576,1,86
confidence,0.002553,1,159
naturally,0.002530,1,87
affect,0.002530,1,101
belong,0.002508,1,105
meaningful,0.002508,1,93
surprise,0.002464,1,90
chat,0.002464,1,104
death,0.002443,1,167
fear,0.002414,2,506
folk,0.002401,1,124
poem,0.002380,1,404
earth,0.002360,1,235
quietly,0.002360,1,96
memory,0.002360,1,149
share,0.002345,2,462
pass,0.002321,1,149
suggest,0.002321,1,89
dharmette,0.002313,3,323
strain,0.002301,1,134
anymore,0.002301,1,99
since,0.002301,1,97
chair,0.002301,1,105
wind,0.002282,1,191
lovely,0.002245,1,119
rise,0.002209,1,134
everything,0.002197,4,902
remind,0.002191,1,112
ancient,0.002173,1,153
hear,0.002164,3,864
door,0.002156,1,154
die,0.002139,1,217
conversation,0.002139,1,185
awareness,0.002128,3,1263
separate,0.002122,1,144
plan,0.002105,1,163
silence,0.002088,1,201
gift,0.002072,1,147
personal,0.002056,1,163
rid,0.002040,1,176
somehow,0.001981,2,321
grind,0.001963,1,163
include,0.001937,2,397
i'd,0.001937,2,434
equanimity,0.001890,1,460
control,0.001875,1,279
run,0.001875,1,153
ordinary,0.001848,1,192
somebody,0.001848,1,352
practitioner,0.001820,1,201
ready,0.001820,1,182
image,0.001807,1,210
line,0.001793,1,222
book,0.001793,1,253
enjoy,0.001780,1,194
break,0.001780,1,195
amount,0.001741,1,172
presence,0.001729,1,216
morning,0.001726,2,399
clarity,0.001716,1,255
family,0.001716,1,266
yet,0.001703,1,240
force,0.001691,1,220
ever,0.001691,1,183
next,0.001680,3,621
upon,0.001643,1,204
past,0.001643,1,227
spiritual,0.001631,1,573
whatever,0.001627,7,1202
aversion,0.001607,1,484
watch,0.001584,1,250
behind,0.001562,1,193
receive,0.001528,1,368
love,0.001527,4,1743
especially,0.001485,1,203
water,0.001443,1,493
head,0.001433,1,270
area,0.001413,1,268
stand,0.001383,1,280
fully,0.001373,1,299
listen,0.001363,1,392
enter,0.001363,1,381
live,0.001351,3,1197
describe,0.001334,1,280
wasn't,0.001325,1,293
guide,0.001321,4,898
matter,0.001260,1,293
flow,0.001251,1,570
move,0.001220,2,640
lead,0.001216,1,540
speak,0.001181,1,438
sound,0.001164,1,490
assume,0.001164,1,239
spend,0.001148,1,297
tension,0.001123,1,608
catch,0.001115,1,440
person,0.001109,2,1105
minute,0.001090,1,353
always,0.001088,2,742
another,0.001077,2,767
lose,0.001075,1,423
probably,0.001067,1,351
quite,0.001056,2,701
path,0.001043,1,849
many,0.001033,4,1092
week,0.001003,2,717
look,0.000999,4,1467
freedom,0.000968,1,638
aware,0.000954,1,622
breathe,0.000941,2,2491
still,0.000941,2,804
towards,0.000932,1,494
link,0.000911,2,522
ask,0.000890,1,679
question,0.000883,1,845
whole,0.000871,2,1151
gil,0.000863,1,437
often,0.000831,2,1090
imagine,0.000829,1,466
create,0.000816,1,538
continue,0.000803,1,423
together,0.000802,2,1029
big,0.000777,1,662
seem,0.000771,1,500
simple,0.000771,1,721
happy,0.000744,2,873
life,0.000719,8,2821
place,0.000710,3,1599
rest,0.000697,1,558
almost,0.000697,1,563
last,0.000679,1,533
posture,0.000673,1,608
want,0.000656,7,3042
use,0.000642,2,1198
certain,0.000638,1,631
eye,0.000599,1,635
experience,0.000580,4,3121
offer,0.000565,1,696
support,0.000560,1,960
