word,tfidf_score,talk_frequency,global_frequency
arc,0.057503,17,30
envelop,0.032356,7,10
goodwill,0.023365,20,504
hologram,0.020674,5,12
metta,0.018243,11,453
friendliness,0.017399,8,177
receive,0.016893,16,368
ding,0.013867,3,9
tune,0.013618,8,125
nikki,0.013198,4,54
wrong,0.012508,13,333
beloved,0.011441,3,10
fun,0.011293,6,104
seed,0.010191,5,90
soak,0.010148,3,17
peter,0.010018,2,7
statement,0.009005,4,60
movie,0.008738,3,30
gratitude,0.008327,4,99
bless,0.008069,4,119
radio,0.006947,2,19
past,0.006808,6,227
invite,0.006567,6,319
perspective,0.006467,4,195
dear,0.006312,3,126
plant,0.006052,3,95
string,0.005934,2,24
future,0.005927,5,217
land,0.005726,4,166
reflux,0.005671,1,1
mind-twister,0.005671,1,1
earache,0.005671,1,1
spaghetti,0.005671,1,1
facetime,0.005671,1,1
nicholas,0.005671,1,1
three-person,0.005671,1,1
lakshmi,0.005671,1,1
top-heavy,0.005671,1,1
vicki,0.005671,1,1
audrey,0.005671,1,1
rolfing,0.005671,1,1
curious,0.005593,3,94
round,0.005531,2,34
scan,0.005531,2,36
deserve,0.005357,2,33
challenge,0.005317,5,307
sake,0.005198,2,47
chat,0.005107,3,104
foresee,0.005009,1,2
future-oriented,0.005009,1,2
acid,0.005009,1,2
improv,0.005009,1,5
trepidation,0.005009,1,3
mima,0.005009,1,2
ubiquitous,0.005009,1,2
warp,0.005009,1,3
like-minded,0.005009,1,2
bruce,0.005009,1,2
leg,0.004810,3,107
invitation,0.004691,3,133
effortful,0.004622,1,3
adulthood,0.004622,1,3
improvisation,0.004622,1,3
claire,0.004622,1,4
vocation,0.004622,1,3
amy,0.004622,1,10
hype,0.004622,1,3
appreciation,0.004615,3,209
nourish,0.004615,3,127
soothe,0.004612,2,53
relax,0.004420,12,1245
watch,0.004378,4,250
self,0.004353,5,1140
young,0.004195,3,165
infinitely,0.004135,1,5
friendly,0.004119,2,122
focus,0.004044,6,607
arrive,0.004037,3,158
reflection,0.003976,3,214
station,0.003961,1,16
ankle,0.003961,1,6
drown,0.003961,1,9
xyz,0.003961,1,7
productive,0.003961,1,7
age,0.003953,2,78
draw,0.003876,2,95
hour,0.003858,3,193
earn,0.003814,1,9
version,0.003764,2,97
bell,0.003764,2,110
sweet,0.003729,2,96
tonight,0.003659,2,105
frequency,0.003574,1,16
comprehend,0.003574,1,13
imbue,0.003574,1,12
unlike,0.003574,1,9
attach,0.003560,2,120
yet,0.003530,3,240
diana,0.003528,2,353
moment,0.003513,30,1854
dial,0.003473,1,12
smile,0.003434,2,150
everywhere,0.003404,2,99
shallow,0.003383,1,23
breakout,0.003383,1,20
impatience,0.003383,1,70
writer,0.003383,1,22
paraphrase,0.003383,1,19
play,0.003307,3,275
mirghafori,0.003300,1,17
subtly,0.003300,1,12
right,0.003222,24,2158
cushion,0.003206,2,116
childhood,0.003152,1,19
headache,0.003152,1,15
echo,0.003152,1,18
