word,tfidf_score,talk_frequency,global_frequency
deer,0.080221,58,135
banyan,0.073768,35,39
herd,0.044865,29,47
king,0.042079,41,489
stockade,0.028655,12,12
mudita,0.025336,20,82
kill,0.020655,22,121
tale,0.020261,15,30
shoot,0.017560,13,37
jataka,0.016597,12,141
leigh,0.016011,10,57
brasington,0.016011,10,31
leader,0.015849,12,62
anukampa,0.014568,10,23
sun,0.014430,15,66
court,0.013924,9,23
enemy,0.013882,12,49
karuna,0.013508,10,33
hunt,0.013307,8,23
vegetarian,0.011940,5,5
panic,0.010538,5,6
famine,0.010423,6,11
brahmaviharas,0.010198,7,29
duty,0.009753,8,36
rejoice,0.008997,6,31
animal,0.008778,11,118
aesop,0.008431,4,5
near,0.008362,11,111
crop,0.007775,4,7
creature,0.007757,6,21
arrow,0.007493,7,131
four-footed,0.007164,3,3
fable,0.006949,4,13
pregnant,0.006949,4,14
farmer,0.006754,5,41
ray,0.006654,4,11
shine,0.006518,6,61
trample,0.006323,3,11
member,0.006321,8,170
metta,0.006244,9,445
town,0.006076,6,56
unconditional,0.005998,4,13
grape,0.005831,3,14
freak,0.005831,3,5
curry,0.005831,3,6
crack,0.005827,4,13
won't,0.005729,10,134
upekkha,0.005673,4,17
draw,0.005642,7,95
bird,0.005586,7,111
win,0.005514,5,79
compassion,0.005508,15,634
astonish,0.005482,3,10
leap,0.005403,4,22
sour,0.005211,3,11
indeed,0.005172,4,19
die,0.005094,8,202
terror,0.004990,3,10
flee,0.004990,3,14
dawn,0.004969,4,29
platform,0.004803,3,9
tigress,0.004776,2,2
rafe,0.004776,2,2
beater,0.004776,2,2
horseback,0.004776,2,2
courtier,0.004776,2,2
dispatch,0.004776,2,2
cairn,0.004776,2,2
plaque,0.004776,2,2
even-mindedness,0.004776,2,2
over-exuberant,0.004776,2,2
expressly,0.004776,2,2
ace,0.004776,2,2
across,0.004610,7,148
bowl,0.004552,4,53
canon,0.004552,4,53
fish,0.004498,3,15
appreciative,0.004480,4,81
forest,0.004383,5,107
gratitude,0.004383,5,98
suspect,0.004345,4,39
alleviate,0.004255,3,23
kingdom,0.004255,3,29
wood,0.004221,4,51
antler,0.004215,2,3
nightmare,0.004215,2,3
brightly,0.004215,2,4
joy,0.004108,13,924
sympathetic,0.004052,3,24
admit,0.004052,3,18
overly,0.004052,3,19
you'll,0.004008,9,216
sadness,0.003997,4,59
attachment,0.003918,6,217
anyhow,0.003887,2,4
bush,0.003887,2,4
beast,0.003887,2,10
circular,0.003887,2,4
indian,0.003879,3,24
ego,0.003848,4,81
fair,0.003801,4,44
fortune,0.003800,3,32
equanimity,0.003796,7,459
fill,0.003698,8,222
suttas,0.003662,5,171
injure,0.003657,3,24
harvest,0.003655,2,5
townspeople,0.003655,2,5
terribly,0.003655,2,6
translate,0.003616,8,237
they'd,0.003592,3,26
print,0.003474,2,8
magnificent,0.003474,2,7
physician,0.003474,2,13
lesson,0.003360,3,50
serve,0.003359,4,109
messenger,0.003327,2,10
net,0.003327,2,12
grade,0.003327,2,8
brahmavihara,0.003327,2,14
beg,0.003327,2,8
game,0.003259,3,48
wild,0.003166,3,47
fit,0.003130,4,83
probably,0.003112,10,339
drive,0.003106,6,190
martin,0.003094,2,13
minister,0.003094,2,25
barely,0.003094,2,9
mount,0.003094,2,15
field,0.003083,6,247
situation,0.003004,7,315
palace,0.002999,2,28
chicken,0.002999,2,12
pali,0.002923,6,216
far,0.002916,8,349
wait,0.002901,6,214
love,0.002882,26,1723
eat,0.002876,4,130
harm,0.002819,5,418
ride,0.002817,3,66
stand,0.002810,7,273
folk,0.002775,4,123
mahayana,0.002766,2,18
gate,0.002702,2,33
cruelty,0.002702,2,19
shin,0.002702,2,23
excite,0.002689,3,59
upset,0.002659,3,51
high,0.002649,5,237
envy,0.002642,2,42
someone,0.002634,11,577
giant,0.002586,2,26
multiple,0.002586,2,24
paramis,0.002586,2,22
air,0.002547,4,168
collection,0.002534,2,52
he'd,0.002534,2,23
stone,0.002534,2,25
commentary,0.002519,3,86
hat,0.002485,2,21
string,0.002485,2,24
cat,0.002485,2,37
throw,0.002443,3,96
brother,0.002438,2,36
super,0.002438,2,20
team,0.002438,2,70
hungry,0.002395,2,51
co-opted,0.002388,1,1
prowess,0.002388,1,1
dale,0.002388,1,1
genteel,0.002388,1,1
reluctantly,0.002388,1,1
lethality,0.002388,1,1
unstring,0.002388,1,1
supper,0.002388,1,1
wean,0.002388,1,1
plight,0.002388,1,1
prerogative,0.002388,1,1
dungeon,0.002388,1,1
nah,0.002388,1,1
magnificence,0.002388,1,1
flabbergast,0.002388,1,1
four-legged,0.002388,1,1
pheasant,0.002388,1,1
transpire,0.002388,1,1
decree,0.002388,1,1
proclamation,0.002388,1,1
philos,0.002388,1,1
brotherly,0.002388,1,1
sub-commentaries,0.002388,1,1
seven-minute,0.002388,1,1
over-exuberance,0.002388,1,1
jivaka,0.002388,1,1
squawk,0.002388,1,1
populace,0.002388,1,1
vegetarianism,0.002388,1,1
reptile,0.002388,1,1
amphibian,0.002388,1,1
particularly,0.002371,3,86
land,0.002366,4,166
correct,0.002353,2,40
kid,0.002303,3,101
protection,0.002276,2,33
men,0.002206,2,61
huge,0.002197,3,99
fee,0.002173,2,38
somebody,0.002152,4,341
previous,0.002141,2,36
advice,0.002141,2,36
teacher,0.002129,7,532
suffer,0.002117,11,1574
cultivate,0.002114,5,447
shop,0.002110,2,46
sacrifice,0.002110,2,49
tear,0.002110,2,36
generate,0.002110,2,38
greece,0.002108,1,3
sheer,0.002108,1,2
horn,0.002108,1,6
dismount,0.002108,1,4
eros,0.002108,1,2
agape,0.002108,1,4
furthermore,0.002108,1,2
prohibition,0.002108,1,2
vividly,0.002108,1,2
stoplight,0.002108,1,3
nobody,0.002081,2,57
meal,0.002081,2,41
rule,0.002081,2,57
cross,0.002081,2,105
hit,0.002025,2,67
save,0.002025,2,81
cease,0.001999,2,53
story,0.001996,8,987
fairly,0.001948,2,44
fox,0.001944,1,4
adulthood,0.001944,1,3
scare,0.001944,1,3
grumble,0.001944,1,3
finely,0.001944,1,3
slam,0.001944,1,3
straw,0.001944,1,4
fawn,0.001944,1,3
criminal,0.001944,1,3
spear,0.001944,1,10
tasty,0.001944,1,4
erect,0.001944,1,3
garbage,0.001944,1,3
rile,0.001944,1,3
parse,0.001944,1,3
riff,0.001944,1,3
continent,0.001944,1,4
didn't,0.001939,7,505
bow,0.001924,2,51
burden,0.001924,2,46
neighbor,0.001856,2,57
bright,0.001856,2,68
agree,0.001834,2,54
collect,0.001834,2,69
bound,0.001827,1,5
transaction,0.001827,1,6
pity,0.001827,1,4
self-interest,0.001827,1,5
empathetic,0.001827,1,4
evenness,0.001827,1,4
insect,0.001827,1,4
everyone,0.001804,7,442
question,0.001804,7,835
lead,0.001796,5,526
build,0.001795,4,233
rush,0.001793,2,58
everybody,0.001789,3,196
buddha,0.001786,12,1769
show,0.001783,6,524
awaken,0.001781,4,412
finally,0.001774,3,148
war,0.001773,2,74
mistake,0.001753,2,59
money,0.001753,2,75
soldier,0.001737,1,12
brave,0.001737,1,6
visuddhimagga,0.001737,1,6
prof,0.001737,1,5
sri,0.001737,1,13
lanka,0.001737,1,9
backyard,0.001737,1,5
devadatta,0.001737,1,13
presumably,0.001737,1,5
11th,0.001737,1,5
squirrel,0.001737,1,11
entire,0.001715,2,65
totally,0.001715,2,92
school,0.001715,2,95
grow,0.001702,6,481
leave,0.001690,7,466
hear,0.001685,8,841
great,0.001672,11,904
arrive,0.001665,3,158
list,0.001665,3,269
complaint,0.001663,1,7
functional,0.001663,1,10
lottery,0.001663,1,6
acquaintance,0.001663,1,6
co-worker,0.001663,1,7
man,0.001612,2,137
interpret,0.001612,2,79
upside,0.001601,1,8
hesitant,0.001601,1,7
tremble,0.001601,1,9
desperation,0.001601,1,7
agreement,0.001601,1,8
romantic,0.001601,1,7
ticket,0.001601,1,9
apathy,0.001601,1,17
frequent,0.001601,1,7
definitely,0.001565,2,76
tonight,0.001550,2,103
smoothly,0.001547,1,10
donate,0.001547,1,9
police,0.001547,1,8
presume,0.001547,1,8
result,0.001535,2,98
house,0.001535,2,118
hopefully,0.001520,2,80
attach,0.001506,2,108
difficult,0.001502,4,323
proud,0.001499,1,10
greek,0.001499,1,50
tragedy,0.001499,1,12
yes,0.001469,4,380
monk,0.001465,2,212
whichever,0.001457,1,11
illustrate,0.001457,1,16
involvement,0.001457,1,13
royal,0.001457,1,17
illuminate,0.001457,1,11
trouble,0.001451,2,86
would,0.001444,22,1943
you've,0.001426,4,345
death,0.001425,2,163
majesty,0.001418,1,16
prominent,0.001418,1,17
parami,0.001418,1,28
loving-kindness,0.001400,2,182
