word,tfidf_score,talk_frequency,global_frequency
continuous,0.033676,14,53
slide,0.023813,11,81
continuity,0.022295,9,67
scooter,0.020421,5,15
current,0.017335,10,117
ride,0.016521,8,75
continuously,0.016411,6,26
count,0.012989,7,311
surf,0.012396,4,15
wave,0.012346,8,162
present-moment,0.012108,4,24
carry,0.010957,10,203
unification,0.009668,5,99
preoccupation,0.009551,7,206
inclusivity,0.009412,2,5
breeze,0.009297,3,26
windshield,0.008684,2,5
actor,0.007441,2,8
awareness,0.007330,16,1263
relax,0.007293,21,1244
brain,0.007276,4,110
samadhi,0.007135,9,1516
present,0.006940,29,1235
rid,0.006611,5,176
force,0.006574,6,220
river,0.006563,4,349
stay,0.006475,16,821
gentle,0.006293,6,267
rain,0.006195,3,84
sport,0.005921,2,20
inclusive,0.005798,2,24
kick,0.005682,2,19
device,0.005682,2,23
fast-moving,0.005328,1,1
distractible,0.005328,1,1
interfere,0.004881,2,44
flow,0.004860,6,570
muscle,0.004751,3,109
oomph,0.004706,1,2
calmly,0.004615,2,63
enjoyable,0.004615,2,38
enjoy,0.004614,4,194
length,0.004554,2,53
feed,0.004495,2,49
prelude,0.004342,1,4
alert,0.004130,2,50
activity,0.004109,5,448
naturalist,0.004084,1,6
ability,0.004076,4,240
settle,0.004028,13,1516
collect,0.003994,2,72
receptive,0.003951,2,81
breathe,0.003941,13,2491
direct,0.003904,4,272
musical,0.003884,1,5
apology,0.003884,1,6
in-breaths,0.003884,1,5
20th,0.003884,1,5
attention,0.003790,14,1271
delightful,0.003787,2,62
forcefully,0.003721,1,6
monitor,0.003721,1,6
canoe,0.003721,1,13
ski,0.003721,1,8
compromise,0.003721,1,9
momentum,0.003711,2,87
engage,0.003634,4,323
operate,0.003619,3,257
eddy,0.003582,1,22
bird,0.003533,2,113
natural,0.003506,4,343
casual,0.003463,1,11
comfortably,0.003463,1,9
duration,0.003463,1,8
wasn't,0.003456,4,292
involve,0.003426,5,418
car,0.003341,2,137
comfort,0.003311,2,114
system,0.003287,3,299
dial,0.003262,1,12
forceful,0.003262,1,10
phenomenon,0.003195,2,105
pleasant,0.003193,3,351
exclude,0.003177,1,17
override,0.003177,1,20
hijack,0.003177,1,17
aversion,0.003124,3,484
torso,0.003113,2,118
raft,0.003099,1,40
subconscious,0.003099,1,13
scatter,0.003099,1,41
comfortable,0.003079,3,214
craft,0.003027,1,13
lessen,0.003027,1,14
delight,0.002992,3,297
wander,0.002959,2,137
catch,0.002907,4,435
disappointment,0.002899,1,20
lucky,0.002899,1,21
encourage,0.002887,2,122
pleasure,0.002886,3,717
commonly,0.002841,1,18
board,0.002841,1,25
attentional,0.002841,1,47
multiple,0.002841,1,25
wet,0.002841,1,30
slowly,0.002817,2,108
intentionality,0.002735,1,30
super,0.002735,1,20
creature,0.002687,1,26
fully,0.002687,3,297
spread,0.002665,2,238
fall,0.002648,3,284
emotionally,0.002641,1,27
rumination,0.002641,1,46
philosophical,0.002597,1,38
landscape,0.002597,1,26
capacity,0.002555,3,402
experiential,0.002515,1,28
swim,0.002477,1,40
rightness,0.002477,1,32
peaceful,0.002468,4,410
spin,0.002441,1,43
recede,0.002441,1,31
simply,0.002413,3,309
encouragement,0.002405,1,40
brightness,0.002372,1,63
without,0.002365,11,976
move,0.002362,6,640
variety,0.002339,1,34
faculty,0.002308,1,74
everyday,0.002308,1,39
intention,0.002307,2,260
hop,0.002277,1,37
purpose,0.002257,2,278
expansion,0.002248,1,41
gather,0.002224,2,330
commit,0.002219,1,57
screen,0.002219,1,62
hurry,0.002192,1,81
support,0.002189,6,955
stretch,0.002165,1,58
switch,0.002165,1,45
commitment,0.002165,1,59
character,0.002139,1,51
slow,0.002128,2,164
park,0.002089,1,54
degree,0.002083,2,230
normally,0.002065,1,47
main,0.002065,1,59
bottom,0.002065,1,54
moment,0.002046,19,1854
in-breath,0.002042,1,80
regard,0.002042,1,77
partner,0.002042,1,62
association,0.002019,1,62
relevant,0.002019,1,52
allow,0.002009,11,1528
whole,0.001985,7,1149
calm,0.001981,3,810
ease,0.001981,3,551
window,0.001975,1,72
search,0.001975,1,70
available,0.001966,2,222
analogy,0.001954,1,59
fly,0.001954,1,66
nice,0.001928,4,556
maintain,0.001913,1,81
street,0.001913,1,91
anywhere,0.001894,1,62
certainly,0.001883,2,211
apart,0.001874,1,76
active,0.001874,1,64
aware,0.001851,3,622
unify,0.001837,1,93
inspiration,0.001801,1,126
event,0.001784,1,83
posture,0.001739,4,608
extend,0.001733,1,77
relief,0.001733,1,105
deep,0.001722,9,1699
single,0.001717,1,87
fast,0.001717,1,96
definitely,0.001717,1,79
monday,0.001717,1,69
shape,0.001701,1,79
push,0.001679,2,318
pull,0.001679,2,326
partly,0.001671,1,86
topic,0.001667,2,264
contract,0.001641,1,98
represent,0.001626,1,103
role,0.001612,1,122
contribute,0.001612,1,102
art,0.001598,1,144
desire,0.001597,2,743
goodness,0.001597,2,479
key,0.001584,1,96
preoccupy,0.001584,1,121
safety,0.001584,1,118
open,0.001577,8,1216
fear,0.001574,2,503
body,0.001560,18,3278
may,0.001551,12,2204
together,0.001548,6,1029
background,0.001543,1,113
mostly,0.001530,1,100
extra,0.001517,1,181
assume,0.001507,2,239
weight,0.001504,1,152
strain,0.001492,1,134
generally,0.001492,1,100
spend,0.001486,2,297
wind,0.001480,1,191
live,0.001467,5,1172
rise,0.001443,1,133
joy,0.001422,2,929
room,0.001422,2,434
uncomfortable,0.001420,1,207
emphasis,0.001409,1,115
supportive,0.001409,1,133
complete,0.001409,1,128
tree,0.001409,1,202
lose,0.001401,2,421
door,0.001397,1,154
tight,0.001397,1,138
small,0.001391,2,392
orient,0.001375,1,199
obvious,0.001364,1,150
avoid,0.001364,1,172
almost,0.001363,3,562
begin,0.001346,8,1433
expression,0.001343,1,128
daily,0.001343,1,154
others,0.001338,5,1076
short,0.001333,1,133
full,0.001330,2,338
unfold,0.001322,1,170
concentration,0.001302,1,227
inside,0.001301,2,439
belief,0.001292,1,286
gently,0.001291,2,406
somehow,0.001291,2,318
top,0.001282,1,180
food,0.001282,1,197
point,0.001272,6,1143
piece,0.001262,1,222
i'd,0.001262,2,433
long,0.001238,7,942
place,0.001233,8,1591
distract,0.001225,1,156
occur,0.001225,1,142
source,0.001225,1,353
quiet,0.001206,2,633
book,0.001171,1,252
image,0.001171,1,210
bring,0.001166,5,1196
record,0.001154,1,119
ground,0.001154,1,221
morning,0.001125,2,397
presence,0.001120,1,216
shoulder,0.001080,1,211
value,0.001072,1,226
alive,0.001056,1,205
number,0.001056,1,218
quite,0.001031,3,698
release,0.001026,1,296
appreciate,0.001022,2,588
behind,0.001019,1,191
idea,0.001015,5,1634
big,0.001013,2,659
soft,0.001012,1,246
least,0.001004,1,205
rather,0.000997,2,540
concern,0.000983,1,278
situation,0.000955,1,322
belly,0.000948,1,266
subtle,0.000948,1,377
cultivate,0.000948,1,462
normal,0.000935,1,183
direction,0.000915,1,252
either,0.000908,1,229
ago,0.000908,1,268
whatever,0.000908,6,1201
face,0.000902,1,251
able,0.000901,2,622
stand,0.000896,1,280
well-being,0.000864,1,572
home,0.000858,1,257
bad,0.000858,1,456
guide,0.000848,4,898
certain,0.000832,2,630
useful,0.000816,1,281
relate,0.000810,1,331
safe,0.000809,2,427
far,0.000804,1,361
hope,0.000793,1,259
fronsdal,0.000787,1,287
work,0.000765,3,1356
read,0.000759,1,427
tension,0.000732,1,606
example,0.000727,1,377
everything,0.000716,2,900
