word,tfidf_score,talk_frequency,global_frequency
evidence,0.048991,21,49
symptom,0.038722,16,52
sign,0.023692,14,80
samadhi,0.019085,28,1514
subtle,0.016613,20,372
nimitta,0.013927,3,3
shift,0.013310,22,461
whisperer,0.012296,3,4
sensitive,0.012109,8,87
preoccupy,0.009749,7,119
align,0.009539,6,83
trail,0.009332,4,26
costa,0.009285,2,2
rica,0.009285,2,2
york,0.009034,3,12
skilled,0.008599,4,32
rightness,0.008599,4,32
attune,0.008138,6,116
beauty,0.007928,6,166
bird,0.007716,5,112
pleasure,0.007586,9,697
self-talk,0.007561,2,5
light,0.006716,10,462
broad,0.006551,5,118
calm,0.006408,11,801
color,0.006086,3,62
teenager,0.006023,2,14
absorb,0.005830,4,130
intimacy,0.005629,3,44
goodness,0.005575,8,474
pleasant,0.005484,6,351
forest,0.005077,3,108
metropolitan,0.004642,1,1
n-i-m-i-t-t-a,0.004642,1,1
healthfulness,0.004642,1,1
whole-minded,0.004642,1,1
modestly,0.004642,1,1
spot,0.004414,3,116
aware,0.004383,8,590
range,0.004333,3,93
subtleness,0.004235,2,33
art,0.004216,3,139
enjoyable,0.004174,2,35
strong,0.004172,7,439
settle,0.004169,15,1501
rhythm,0.004105,3,110
teen,0.004099,1,2
congratulate,0.004099,1,2
cavern,0.004099,1,3
pounce,0.004099,1,2
familiar,0.004090,4,178
gather,0.003880,4,319
effect,0.003832,3,162
cheerleader,0.003781,1,3
translucent,0.003781,1,3
waterfall,0.003781,1,5
whole-body,0.003781,1,3
expansive,0.003753,2,63
quiet,0.003689,7,622
encounter,0.003676,3,112
difficult,0.003641,5,325
relax,0.003628,12,1230
not-so-subtle,0.003555,1,4
breathe,0.003497,13,2454
attentive,0.003459,2,50
posture,0.003456,9,594
intimate,0.003385,2,57
butterfly,0.003380,1,8
regularity,0.003380,1,5
desperate,0.003380,1,5
wholehearted,0.003237,1,6
jerk,0.003237,1,7
respectfully,0.003237,1,10
jungle,0.003116,1,15
pump,0.003116,1,14
pulse,0.003116,1,9
condemn,0.003116,1,7
listen,0.003088,4,385
influence,0.003027,2,86
ground,0.003022,3,218
cascade,0.003011,1,11
duration,0.003011,1,8
sum,0.002919,1,11
fond,0.002919,1,9
push,0.002892,4,317
disappear,0.002888,2,125
meditate,0.002850,6,497
accustom,0.002836,1,12
rare,0.002836,1,13
deepen,0.002836,2,88
contribute,0.002836,2,99
gently,0.002825,5,398
wide,0.002824,3,254
trouble,0.002786,2,91
argument,0.002762,1,18
muscle,0.002761,2,108
onward,0.002631,1,56
entertain,0.002631,1,17
container,0.002631,1,18
new,0.002614,5,550
soft,0.002604,3,246
generally,0.002598,2,99
concern,0.002585,3,269
soften,0.002573,5,544
periphery,0.002572,1,16
horse,0.002572,1,48
catch,0.002550,4,427
satisfy,0.002533,2,136
simplicity,0.002533,2,257
sunlight,0.002518,1,19
begin,0.002517,17,1414
normal,0.002474,3,179
edge,0.002471,2,173
local,0.002468,1,24
replace,0.002468,1,20
familiarity,0.002468,1,19
pick,0.002450,2,119
glow,0.002420,1,29
radiance,0.002420,1,23
bother,0.002420,1,31
associate,0.002402,3,234
path,0.002402,4,796
lunch,0.002375,1,36
total,0.002375,1,28
hum,0.002375,1,27
vibration,0.002333,1,26
calmness,0.002293,1,39
receptivity,0.002293,1,24
onward-leading,0.002293,1,55
enter,0.002283,3,375
focus,0.002226,4,597
discus,0.002218,1,28
poor,0.002183,1,34
tingle,0.002183,1,30
overlook,0.002183,1,27
context,0.002125,2,177
flow,0.002121,3,564
trace,0.002118,1,38
shine,0.002118,1,61
encouragement,0.002118,1,39
song,0.002087,1,49
oneself,0.002030,2,177
assume,0.002015,3,230
music,0.001975,1,62
cry,0.001949,1,55
screen,0.001949,1,59
white,0.001949,1,59
nurture,0.001949,1,41
support,0.001946,6,928
absorption,0.001924,1,45
intense,0.001924,1,47
dramatic,0.001900,1,45
example,0.001899,3,367
intentionally,0.001854,1,40
course,0.001852,5,672
upright,0.001832,1,63
environment,0.001769,1,55
miss,0.001769,1,63
search,0.001769,1,66
rush,0.001749,1,58
conclusion,0.001692,1,53
unification,0.001692,1,95
jump,0.001674,1,60
positive,0.001674,1,72
already,0.001674,2,256
grow,0.001656,3,485
negative,0.001639,1,73
delightful,0.001639,1,62
lens,0.001623,1,70
finish,0.001623,1,64
radiate,0.001623,1,109
narrow,0.001623,1,83
momentum,0.001623,1,85
space,0.001593,3,704
body,0.001579,21,3238
almost,0.001577,4,558
wholeness,0.001574,1,147
draw,0.001574,1,95
animal,0.001558,1,118
except,0.001558,1,71
somewhat,0.001543,1,68
describe,0.001511,2,273
result,0.001499,1,98
immediately,0.001485,1,76
spaciousness,0.001471,1,214
pattern,0.001458,1,130
though,0.001446,2,233
contract,0.001444,1,96
within,0.001437,3,524
represent,0.001431,1,99
session,0.001418,1,92
imagine,0.001414,3,456
tendency,0.001405,1,105
vast,0.001405,1,117
attention,0.001405,6,1261
lead,0.001404,2,527
connect,0.001391,3,658
concentrate,0.001368,1,118
sensation,0.001368,3,867
seem,0.001357,3,478
quietly,0.001344,1,94
impact,0.001333,1,127
wave,0.001333,1,162
suggest,0.001321,1,87
strain,0.001321,1,131
read,0.001314,2,421
refer,0.001288,1,104
accept,0.001288,1,136
spend,0.001285,2,292
nice,0.001279,3,546
front,0.001277,1,114
wander,0.001277,1,137
guide,0.001273,7,876
encourage,0.001267,1,120
embody,0.001267,1,143
ancient,0.001267,1,141
start,0.001264,9,1491
generosity,0.001246,1,256
individual,0.001246,1,105
care,0.001242,5,1588
slowly,0.001225,1,107
complete,0.001225,1,126
difficulty,0.001225,1,212
awareness,0.001215,3,1247
quite,0.001209,4,686
obvious,0.001196,1,145
beautiful,0.001192,2,541
preoccupation,0.001186,1,205
great,0.001185,4,911
beyond,0.001167,1,185
spread,0.001158,1,235
land,0.001158,1,166
inside,0.001139,2,429
sometimes,0.001118,14,1848
study,0.001113,1,175
movement,0.001113,2,450
allow,0.001108,7,1508
peaceful,0.001096,2,402
didn't,0.001087,2,507
occur,0.001087,1,137
idea,0.001075,6,1586
distract,0.001062,1,155
particular,0.001062,2,433
however,0.001054,1,152
general,0.001054,1,168
respect,0.001054,1,221
ordinary,0.001054,1,188
become,0.001052,14,1735
approach,0.001046,1,275
possibility,0.001046,1,162
eye,0.001041,3,617
wonderful,0.001021,2,485
interest,0.001021,2,504
language,0.001015,1,165
break,0.001015,1,188
notice,0.001012,3,1190
change,0.001002,3,1414
bear,0.001000,1,231
enjoy,0.000992,1,194
presence,0.000985,1,213
goodwill,0.000977,1,496
physical,0.000970,1,208
state,0.000966,2,818
expand,0.000963,1,183
attitude,0.000963,1,290
ever,0.000956,1,180
pay,0.000956,1,215
leave,0.000935,2,469
learn,0.000916,3,759
appreciate,0.000912,2,568
ability,0.000907,1,232
watch,0.000907,1,243
continue,0.000904,2,417
choose,0.000901,1,246
comfortable,0.000894,1,211
invite,0.000887,1,316
you'll,0.000874,1,216
healthy,0.000874,1,267
buddha,0.000870,3,1777
deep,0.000857,5,1651
