word,tfidf_score,talk_frequency,global_frequency
pleasure,0.041898,52,719
gladness,0.022629,10,48
stroke,0.016052,6,19
samadhi,0.015279,23,1519
beingness,0.015083,5,11
external,0.014662,9,73
cat,0.013577,6,41
refuge,0.011056,7,171
medicine,0.010811,6,84
inspiration,0.010624,7,126
stimulate,0.009974,4,21
tranquility,0.009467,5,65
fundraise,0.008481,3,15
breeze,0.007829,3,26
light,0.007801,12,468
pentad,0.007312,2,6
purr,0.007312,2,4
joy,0.007150,12,931
inspire,0.006975,8,240
delight,0.006729,8,297
glad,0.006673,3,36
harmony,0.006657,4,121
check,0.006585,6,167
onward-leading,0.006562,3,56
length,0.005755,3,53
save,0.005755,3,81
nerve,0.005495,2,15
birth,0.005471,3,59
smile,0.005433,4,150
rain,0.005219,3,84
touch,0.005015,12,497
wellspring,0.004987,2,22
sensual,0.004887,3,110
breathe,0.004885,19,2491
pet,0.004694,2,25
awareness,0.004650,12,1263
happiness,0.004561,8,860
path,0.004561,8,849
fantasy,0.004553,3,89
hair,0.004526,2,29
embodiment,0.004526,2,27
meditate,0.004496,10,514
sens,0.004382,3,146
well-being,0.004344,6,574
absorb,0.004223,3,131
tenderness,0.004112,2,57
meaningful,0.004111,3,93
correlation,0.003962,1,2
alternative,0.003902,3,119
oneself,0.003862,4,190
wholeheartedness,0.003656,1,3
slide,0.003647,2,81
gaze,0.003591,3,156
outside,0.003590,4,199
development,0.003520,2,58
sensation,0.003511,8,884
dharma,0.003483,8,842
harmful,0.003440,2,83
envious,0.003439,1,8
intuit,0.003439,1,4
ail,0.003439,1,5
tasty,0.003439,1,5
delightfully,0.003439,1,4
connoisseur,0.003439,1,4
goodness,0.003370,5,479
surface,0.003318,3,164
jealous,0.003270,1,7
24th,0.003270,1,8
child,0.003267,3,213
imagination,0.003258,2,96
forest,0.003224,2,123
plant,0.003191,2,95
swell,0.003133,1,7
international,0.003133,1,9
faith,0.003065,2,183
significant,0.003035,2,73
morph,0.003017,1,12
stimulus,0.003017,1,29
fund,0.003017,1,8
mindfulness,0.002995,8,990
form,0.002941,6,450
wholeness,0.002921,2,155
ground,0.002918,3,221
wonderful,0.002896,6,504
home,0.002875,4,259
reverse,0.002827,1,9
baggage,0.002827,1,16
sum,0.002827,1,11
vary,0.002827,1,11
goodwill,0.002772,3,504
newspaper,0.002747,1,16
involvement,0.002747,1,13
belong,0.002741,2,105
represent,0.002741,2,103
unpleasant,0.002741,2,233
maturity,0.002675,1,14
grain,0.002675,1,13
safety,0.002669,2,118
gentle,0.002654,3,267
play,0.002616,3,275
profoundly,0.002610,1,13
alignment,0.002610,1,32
expert,0.002610,1,15
banner,0.002610,1,16
enjoyment,0.002549,1,16
expect,0.002536,2,102
depend,0.002536,2,111
unethical,0.002493,1,25
cheek,0.002493,1,22
agency,0.002493,1,18
inner,0.002490,4,485
across,0.002453,2,152
world,0.002445,30,2405
disagree,0.002441,1,18
application,0.002441,1,18
wilderness,0.002441,1,31
content,0.002433,2,171
warm,0.002414,2,122
mudita,0.002393,1,82
critic,0.002393,1,52
judgment,0.002356,2,179
organization,0.002347,1,23
small,0.002332,4,393
connect,0.002266,5,666
planet,0.002263,1,25
diffuse,0.002263,1,32
harmonious,0.002263,1,23
dish,0.002263,1,26
spread,0.002247,2,238
ease,0.002230,4,551
pleasantness,0.002224,1,42
total,0.002224,1,30
calmness,0.002224,1,39
condition,0.002197,4,691
landscape,0.002187,1,26
anything,0.002165,9,831
