word,tfidf_score,talk_frequency,global_frequency
mara,0.052826,11,169
mirage,0.037757,4,4
congestion,0.037757,4,4
host,0.035511,7,30
evaporate,0.024658,4,13
sucitto,0.022104,4,20
self,0.021704,15,1148
whirlpool,0.019125,3,10
compulsivity,0.019125,3,9
regenerative,0.018879,2,2
hyperarousal,0.018879,2,2
cool,0.015501,5,109
nibbana,0.015219,3,42
melodrama,0.014512,2,5
forget,0.013972,5,97
ajahn,0.013920,4,108
self-model,0.013810,2,15
glorify,0.013235,2,8
submit,0.012750,2,9
burn,0.012094,3,59
fire,0.011966,4,147
ego,0.011658,3,81
possess,0.011052,2,15
matthew,0.010029,3,97
aliveness,0.009651,3,92
reward,0.009605,2,23
capture,0.009605,2,24
cramp,0.009439,1,1
gridlocked,0.009439,1,1
hyper-intensities,0.009439,1,1
unfixed,0.009439,1,1
inversely,0.009439,1,1
innovative,0.009439,1,1
crystallize,0.009439,1,1
catnip,0.009439,1,1
subtraction,0.009439,1,1
non-territoriality,0.009439,1,1
self-system,0.009439,1,1
darfur,0.009439,1,1
alive,0.009305,5,214
nourishment,0.009003,2,44
dhamma,0.008869,2,131
ignorance,0.008869,2,47
gridlock,0.008348,1,2
chastity,0.008348,1,2
neuro-phenomenological,0.008348,1,2
numbness,0.008348,1,2
amoeba,0.008348,1,3
accoutrement,0.008348,1,2
heat,0.008166,2,44
layer,0.007963,2,62
centerpiece,0.007709,1,3
ambivalence,0.007709,1,3
organism,0.007709,1,5
unknowing,0.007709,1,3
exploit,0.007709,1,4
quo,0.007709,1,3
occlude,0.007709,1,3
dispassion,0.007709,1,5
absurd,0.007709,1,4
curation,0.007709,1,5
re-arises,0.007709,1,3
lapse,0.007256,1,9
groundlessness,0.007256,1,4
ruthlessness,0.007256,1,4
bully,0.007256,1,4
sakkaya-ditthi,0.007256,1,4
claustrophobia,0.007256,1,6
mother,0.007032,2,97
am-ness,0.006905,1,7
inwards,0.006905,1,7
mercy,0.006905,1,6
visuddhimagga,0.006905,1,6
hologram,0.006905,1,12
austerity,0.006618,1,10
confession,0.006618,1,9
metzinger,0.006618,1,6
obey,0.006618,1,8
respectfully,0.006618,1,10
endlessly,0.006618,1,6
envision,0.006618,1,7
image,0.006376,3,211
startle,0.006375,1,7
relinquishment,0.006375,1,16
biology,0.006375,1,14
density,0.006375,1,10
site,0.006375,1,13
radical,0.006315,2,93
notion,0.006257,2,103
presume,0.006165,1,8
native,0.006165,1,8
lord,0.005979,1,12
thomas,0.005979,1,9
evolutionary,0.005979,1,16
allude,0.005979,1,10
project,0.005880,2,106
correlate,0.005813,1,11
sort,0.005739,3,289
belong,0.005731,2,108
vastness,0.005663,1,20
endless,0.005663,1,15
gaza,0.005663,1,13
sticky,0.005526,1,14
dense,0.005526,1,22
self-view,0.005526,1,15
folk,0.005498,2,127
vast,0.005498,2,128
so-called,0.005400,1,13
trick,0.005400,1,15
creation,0.005400,1,17
freedom,0.005399,5,691
tolerate,0.005283,1,16
attainment,0.005283,1,20
arrange,0.005283,1,15
dissolution,0.005283,1,29
lay,0.005239,2,146
devotion,0.005175,1,37
evolution,0.005175,1,18
genuine,0.005175,1,16
biological,0.005073,1,37
rational,0.005073,1,22
symptom,0.004978,1,52
stance,0.004978,1,21
plan,0.004923,2,164
pour,0.004888,1,27
pick,0.004813,2,129
million,0.004802,1,22
worthwhile,0.004722,1,23
impression,0.004722,1,24
philosopher,0.004645,1,37
child,0.004637,2,216
quote,0.004569,2,156
status,0.004502,1,38
essentially,0.004502,1,28
selfish,0.004502,1,31
profound,0.004438,2,225
samsara,0.004370,1,42
silly,0.004370,1,33
cling,0.004341,3,643
gesture,0.004308,1,44
bind,0.004249,1,41
suffer,0.004240,6,1751
courage,0.004192,1,91
okay,0.004167,6,1205
karma,0.004136,1,75
fail,0.004136,1,50
innocent,0.004136,1,45
sacrifice,0.004083,1,53
critical,0.004083,1,38
save,0.004083,1,81
provide,0.004017,2,220
characterize,0.003981,1,40
tranquility,0.003981,1,66
primarily,0.003981,1,40
trust,0.003934,2,294
dwell,0.003933,1,45
deny,0.003840,1,46
system,0.003774,2,317
spiritual,0.003748,2,603
refresh,0.003711,1,58
enlightenment,0.003630,1,74
inspire,0.003621,2,260
involve,0.003554,3,448
liberate,0.003553,1,72
path,0.003479,3,1006
money,0.003410,1,79
brensilver,0.003376,1,96
ear,0.003376,1,77
curiosity,0.003376,1,105
carefully,0.003310,1,58
anywhere,0.003310,1,67
psychological,0.003279,1,78
description,0.003279,1,71
anyway,0.003217,1,72
space,0.003170,3,755
empty,0.003157,1,98
rich,0.003129,1,76
tonight,0.003100,1,105
consideration,0.003072,1,69
note,0.003045,1,113
spirit,0.003045,1,108
fully,0.003035,2,323
energy,0.003035,2,448
sens,0.003018,1,153
result,0.003018,1,104
youtube,0.003018,1,88
contraction,0.002992,1,93
goal,0.002965,1,135
spaciousness,0.002940,1,220
monk,0.002915,1,219
stage,0.002915,1,135
phenomenon,0.002865,1,107
contract,0.002865,1,107
safety,0.002841,1,120
lead,0.002797,2,549
chat,0.002771,1,112
view,0.002759,2,761
fear,0.002759,2,539
poem,0.002726,1,411
alternative,0.002726,1,128
protect,0.002726,1,113
light,0.002721,2,502
anyone,0.002704,1,125
nature,0.002684,2,413
hang,0.002640,1,108
metaphor,0.002619,1,155
crave,0.002619,1,285
speak,0.002576,2,509
dharmette,0.002565,3,343
remind,0.002519,1,117
phrase,0.002519,1,185
reference,0.002481,1,161
individual,0.002481,1,114
openness,0.002481,1,143
hatred,0.002443,1,214
care,0.002364,5,1725
opposite,0.002353,1,134
belief,0.002251,1,294
put,0.002240,4,849
grind,0.002219,1,172
chance,0.002219,1,164
movement,0.002207,2,475
reflect,0.002203,1,206
stick,0.002203,1,196
towards,0.002144,2,518
hour,0.002141,1,202
include,0.002129,2,477
imc,0.002110,1,179
saw,0.002066,1,198
practitioner,0.002066,1,211
drive,0.002037,1,203
question,0.002022,2,888
familiar,0.002009,1,191
figure,0.002009,1,228
yet,0.001953,1,248
ever,0.001953,1,190
add,0.001940,1,300
term,0.001926,1,273
nothing,0.001920,2,514
emotional,0.001900,1,232
leave,0.001891,2,511
week,0.001799,3,744
write,0.001798,1,251
behind,0.001786,1,202
least,0.001762,1,214
truth,0.001762,1,536
tend,0.001738,1,240
moment,0.001727,9,1919
direct,0.001726,1,281
subtle,0.001703,1,384
middle,0.001668,1,250
translate,0.001668,1,279
tradition,0.001657,1,356
face,0.001624,1,256
rest,0.001617,2,573
exactly,0.001591,1,245
fall,0.001570,1,292
listen,0.001528,1,480
bad,0.001507,1,467
well-being,0.001497,1,593
fact,0.001487,1,255
early,0.001477,1,297
link,0.001466,3,565
guide,0.001461,4,955
anything,0.001450,3,883
useful,0.001447,1,293
flow,0.001437,1,578
believe,0.001418,1,355
helpful,0.001389,1,597
wisdom,0.001379,1,556
minute,0.001270,1,365
stop,0.001227,1,480
life,0.001216,12,3018
everything,0.001211,2,957
learn,0.001211,2,831
teacher,0.001176,1,581
condition,0.001168,1,702
show,0.001152,1,572
somehow,0.001143,1,340
particular,0.001049,1,474
form,0.001041,1,472
heart,0.001022,3,1755
interest,0.001019,1,547
ask,0.001019,1,723
story,0.000996,1,1137
whole,0.000967,2,1332
state,0.000960,1,872
often,0.000946,2,1135
appreciate,0.000917,1,602
create,0.000910,1,566
together,0.000883,2,1094
wish,0.000882,1,604
seem,0.000875,1,526
rather,0.000848,1,578
hear,0.000828,1,937
almost,0.000808,1,580
year,0.000795,1,868
awareness,0.000782,1,1389
turn,0.000776,1,703
different,0.000768,4,1997
course,0.000750,1,733
without,0.000740,2,1027
certain,0.000732,1,649
move,0.000713,1,671
sense,0.000710,7,3086
idea,0.000701,2,1693
safe,0.000701,1,451
open,0.000672,2,1295
eye,0.000670,1,665
always,0.000646,1,759
offer,0.000635,1,742
support,0.000635,1,1043
next,0.000605,1,668
mean,0.000604,2,1547
become,0.000575,4,1881
still,0.000549,1,827
hold,0.000532,1,1072
help,0.000521,1,899
important,0.000521,1,881
would,0.000520,2,2056
keep,0.000516,1,854
experience,0.000510,3,3247
word,0.000501,2,1481
attention,0.000457,1,1400
today,0.000416,1,882
close,0.000416,1,706
want,0.000405,4,3191
day,0.000375,1,1063
use,0.000375,1,1237
point,0.000360,1,1189
good,0.000339,4,2632
well,0.000336,1,1406
welcome,0.000312,1,751
sometimes,0.000305,2,1977
long,0.000302,1,987
look,0.000283,1,1512
information,0.000279,1,441
around,0.000279,1,1211
place,0.000265,1,1656
sit,0.000262,2,1592
may,0.000232,1,2295
make,0.000217,3,2532
right,0.000210,1,2321
much,0.000194,2,1749
lot,0.000192,1,1640
thank,0.000192,1,1259
u,0.000190,6,3581
happen,0.000179,1,2196
practice,0.000168,3,3987
take,0.000168,3,2368
mind,0.000156,3,4777
find,0.000148,1,1762
body,0.000148,1,3405
little,0.000135,1,2467
let,0.000128,2,2887
think,0.000059,3,6192
thing,0.000052,1,5117
even,0.000048,1,1972
feel,0.000039,5,6492
time,0.000024,1,3091
ai-generated,0.000000,1,403
transcript,0.000000,1,406
auto-generated,0.000000,1,403
subtitle,0.000000,1,404
video,0.000000,2,426
meditation,0.000000,5,3673
likely,0.000000,1,498
contain,0.000000,1,437
inaccuracy,0.000000,1,403
follow,0.000000,1,759
talk,0.000000,4,2572
give,0.000000,2,2086
insight,0.000000,1,1714
center,0.000000,1,1193
redwood,0.000000,1,453
city,0.000000,1,512
california,0.000000,1,468
please,0.000000,2,604
visit,0.000000,3,495
website,0.000000,1,471
www,0.000000,1,418
audiodharma,0.000000,1,418
org,0.000000,1,434
