word,tfidf_score,talk_frequency,global_frequency
pleasure,0.041011,44,693
calming,0.022679,12,123
pervasive,0.021400,9,35
absorbing,0.019700,5,9
glow,0.017086,6,24
attuned,0.013376,7,65
samadhi,0.012680,17,1513
flighty,0.010297,2,2
appreciates,0.009088,2,3
gentle,0.008467,8,244
harmony,0.008002,4,111
wide-angle,0.007880,2,5
hedonistic,0.007880,2,5
absorb,0.007491,2,7
widely,0.007173,2,7
agitated,0.007022,4,84
breathing,0.006863,18,1985
calm,0.006763,9,594
kinship,0.006466,2,12
fundraising,0.006466,2,15
spreading,0.006464,3,59
pleasant,0.006070,6,350
receives,0.005964,2,19
spread,0.005632,4,174
system,0.005455,5,288
edge,0.005446,4,173
breathlessly,0.005149,1,1
cooperation,0.005149,1,1
unjudged,0.005149,1,1
localized,0.005149,1,1
width,0.005149,1,1
samadhi-type,0.005149,1,1
two-thirds,0.005149,1,1
surpass,0.005149,1,1
pleasantness,0.005073,2,42
provides,0.005012,3,75
goal,0.004964,3,125
friday,0.004907,2,28
searching,0.004756,2,34
save,0.004684,2,69
wave,0.004651,3,148
throughout,0.004651,3,90
ease,0.004625,7,509
raised,0.004616,2,36
stable,0.004568,3,105
directs,0.004544,1,2
sensuous,0.004544,1,2
quirkiness,0.004544,1,2
preparatory,0.004544,1,2
settling,0.004310,6,507
relaxing,0.004232,5,364
partner,0.004200,2,52
hyped,0.004191,1,3
unforceful,0.004191,1,3
undemanding,0.004191,1,4
overactive,0.004191,1,3
pump,0.004191,1,8
body,0.003984,47,3168
fifth,0.003954,2,47
warmth,0.003952,3,155
relaxedly,0.003940,1,5
glowing,0.003940,1,5
selective,0.003940,1,5
interested,0.003888,3,118
calmer,0.003822,2,59
kindness,0.003786,5,530
subtle,0.003756,4,350
vice,0.003745,1,5
versa,0.003745,1,5
registering,0.003745,1,5
indulge,0.003745,1,5
lens,0.003621,2,69
aware,0.003612,6,589
tensing,0.003586,1,9
bore,0.003586,1,7
puzzle,0.003586,1,66
nonprofit,0.003586,1,9
leading,0.003511,2,105
sensing,0.003480,3,324
wonderfully,0.003452,1,7
savor,0.003452,1,11
concentrated,0.003407,2,85
joy,0.003406,5,923
support,0.003382,8,720
supporting,0.003374,2,88
drive,0.003342,2,85
engine,0.003336,1,8
complain,0.003336,1,13
groove,0.003336,1,11
becoming,0.003311,4,298
health,0.003278,2,96
emphasize,0.003247,2,78
bracing,0.003233,1,11
light,0.003191,4,411
soft,0.003175,3,214
yes,0.003167,4,380
devoted,0.003141,1,13
steadying,0.003141,1,12
intelligent,0.003141,1,24
influenced,0.003141,1,13
muscle,0.003073,2,104
nicer,0.003058,1,14
embodied,0.003045,2,119
quietly,0.002992,2,92
healthy,0.002990,3,256
reveals,0.002982,1,17
overlook,0.002982,1,14
tighten,0.002982,1,14
psychophysical,0.002982,1,13
thoroughly,0.002982,1,12
banner,0.002982,1,16
present,0.002943,12,1154
hum,0.002912,1,21
overly,0.002912,1,19
dipping,0.002912,1,14
softening,0.002902,3,223
benefit,0.002902,3,227
supported,0.002864,2,105
conducive,0.002848,1,20
traveling,0.002848,1,19
dip,0.002848,1,15
raise,0.002848,1,16
imc's,0.002848,1,15
stability,0.002840,2,164
donation,0.002788,1,20
begin,0.002734,8,835
stabilizing,0.002731,1,28
noise,0.002731,1,25
register,0.002731,1,24
stance,0.002731,1,20
preparation,0.002731,1,29
great,0.002701,6,666
meant,0.002700,2,127
shy,0.002678,1,20
drinking,0.002678,1,24
radiance,0.002678,1,23
ambition,0.002629,1,32
vibration,0.002629,1,25
atmosphere,0.002629,1,24
diffuse,0.002629,1,30
phenomenally,0.002629,1,19
section,0.002629,1,25
discover,0.002613,2,190
match,0.002581,1,35
child,0.002571,2,200
calmness,0.002537,1,39
relative,0.002494,1,27
separation,0.002494,1,39
meeting,0.002490,2,191
concentration,0.002490,2,223
meditate,0.002465,3,261
committed,0.002454,1,30
imagined,0.002454,1,30
softer,0.002454,1,27
peaceful,0.002446,4,397
hoping,0.002415,1,28
clothes,0.002378,1,36
grown,0.002378,1,29
evoke,0.002378,1,36
who've,0.002378,1,32
useful,0.002375,3,273
subtleness,0.002342,1,33
that'll,0.002342,1,32
free,0.002319,7,626
nervous,0.002308,1,53
radiate,0.002308,1,37
tea,0.002308,1,51
become,0.002297,10,820
abiding,0.002275,1,56
outward,0.002275,1,36
chasing,0.002275,1,45
red,0.002275,1,46
riding,0.002243,1,48
inclination,0.002243,1,44
satisfaction,0.002243,1,36
