word,tfidf_score,talk_frequency,global_frequency
identity,0.047422,46,122
brahmin,0.036353,19,32
personhood,0.032960,12,12
identities,0.022839,14,28
brahmins,0.012456,7,16
children,0.010907,12,97
mara,0.010002,7,140
tiring,0.009115,6,25
hallelujah,0.008240,3,3
designation,0.008240,3,3
parents,0.007943,7,45
ethics,0.007843,7,138
ethical,0.007723,9,192
harm,0.007484,11,324
whyte,0.007273,3,4
self,0.006911,16,1111
mechanic,0.006707,3,5
selfing,0.006343,5,100
sees,0.006329,6,54
corner,0.006077,4,22
am-ness,0.005994,3,7
activity,0.005937,11,308
superior,0.005740,3,9
functional,0.005740,3,10
whoever,0.005609,4,25
david,0.005525,3,14
freeway,0.005525,3,11
blackbird,0.005493,2,2
craftsperson,0.005493,2,2
prodigies,0.005493,2,2
personality,0.005322,4,41
action,0.005303,7,173
causing,0.005155,5,73
person,0.005086,26,998
save,0.004998,4,69
locus,0.004894,3,27
class,0.004881,5,96
reverberating,0.004849,2,3
shopper,0.004849,2,3
persona,0.004849,2,3
healthy,0.004785,9,256
debate,0.004773,3,32
creates,0.004705,6,106
biological,0.004661,3,33
topic,0.004652,10,229
issue,0.004636,5,71
society,0.004500,5,118
claiming,0.004471,2,5
categorical,0.004471,2,5
verses,0.004461,3,33
role,0.004291,5,100
administration,0.004204,2,9
identifies,0.004204,2,5
mythology,0.004204,2,11
wholesome,0.004201,7,349
addressed,0.004132,3,22
wholesomeness,0.004132,3,29
unhealthy,0.004060,3,30
applied,0.003927,3,37
caused,0.003865,3,28
hierarchy,0.003827,2,8
verbal,0.003749,3,39
choosing,0.003749,3,31
emergency,0.003683,2,14
waits,0.003683,2,12
sum,0.003683,2,9
wake,0.003636,4,74
car,0.003636,4,122
attached,0.003600,4,100
coach,0.003559,2,13
kinder,0.003559,2,13
wants,0.003546,6,216
buddhists,0.003541,3,69
participate,0.003494,3,59
harms,0.003449,2,14
clinging,0.003379,7,428
liberation,0.003369,4,113
birth,0.003361,3,58
retreat,0.003354,7,316
cars,0.003351,2,12
hostility,0.003320,3,68
harmful,0.003279,3,74
simpler,0.003240,3,68
home,0.003232,7,245
live,0.003223,12,640
high,0.003220,4,109
identifying,0.003182,2,19
poem,0.003164,4,329
identify,0.003128,3,72
influence,0.003128,3,57
unethical,0.003107,2,22
creation,0.003107,2,16
friends,0.003095,5,214
retreats,0.003093,3,70
imc's,0.003038,2,15
driver,0.003038,2,21
rejection,0.003038,2,16
tracking,0.002974,2,29
accompanied,0.002974,2,18
approach,0.002954,4,179
especially,0.002918,6,202
crying,0.002914,2,29
vibration,0.002914,2,22
radiance,0.002858,2,23
ruminating,0.002858,2,23
born,0.002858,4,182
total,0.002805,2,28
kinds,0.002798,8,344
ethically,0.002754,2,26
long-time,0.002747,1,1
best-rated,0.002747,1,1
charities,0.002747,1,1
defunded,0.002747,1,1
co-teacher,0.002747,1,1
abel,0.002747,1,1
alleviating,0.002747,1,1
not-so-kind,0.002747,1,1
hereditary,0.002747,1,1
brahmin-hood,0.002747,1,1
fray,0.002747,1,1
canonized,0.002747,1,1
endures,0.002747,1,1
forbearance,0.002747,1,1
shying,0.002747,1,1
farms,0.002747,1,1
oppresses,0.002747,1,1
complicatedly,0.002747,1,1
volleyball,0.002747,1,1
atta-bhava,0.002747,1,1
clinger,0.002747,1,1
demigod,0.002747,1,1
demi-satan,0.002747,1,1
personing,0.002747,1,1
driveway,0.002747,1,1
deaf,0.002747,1,1
