word,tfidf_score,talk_frequency,global_frequency
sustaining,0.043031,21,85
kneading,0.035927,14,30
roam,0.023096,9,19
connecting,0.022990,17,155
bread,0.019927,7,17
roaming,0.014234,5,10
folding,0.013306,4,7
approaching,0.012641,7,59
soar,0.012260,3,3
eyes,0.012049,32,497
relaxed,0.011926,16,268
staring,0.011387,4,9
rhythm,0.011075,9,106
flap,0.010960,4,13
soft,0.010922,13,214
breathing,0.010895,36,1983
exercise,0.010002,6,49
loop,0.009584,5,32
cloth,0.009468,4,41
spot,0.009283,7,111
symptoms,0.009247,4,38
feedback,0.009160,5,41
samadhi,0.008881,15,1513
massage,0.008551,5,67
reapplying,0.008174,2,2
fixating,0.007943,3,12
pleasure,0.007852,10,617
wings,0.007791,4,37
gazing,0.007791,4,33
roams,0.007214,2,3
flour,0.007214,2,3
stage,0.006967,5,99
attention,0.006925,33,1243
access,0.006841,4,43
object,0.006547,7,205
sustain,0.006504,3,27
placing,0.006259,3,32
petting,0.006255,2,6
relaxedly,0.006255,2,5
dough,0.006255,2,6
absorbing,0.006255,2,9
rubbing,0.005946,2,6
fold,0.005946,2,6
smooth,0.005751,3,30
focused,0.005733,5,134
akin,0.005694,2,8
fixing,0.005662,3,32
counting,0.005418,3,141
comfortably,0.005295,2,9
moisture,0.005132,2,16
wandering,0.005131,3,47
gently,0.005046,10,393
touching,0.005013,4,85
floating,0.004939,3,50
float,0.004879,3,47
stare,0.004734,2,14
in-breath,0.004708,3,79
begins,0.004634,7,280
strain,0.004602,3,66
steps,0.004500,3,72
smile,0.004500,3,99
short,0.004470,4,114
fixed,0.004404,3,90
approach,0.004395,4,179
closely,0.004357,3,53
works,0.004297,5,155
fly,0.004098,2,26
flying,0.004098,2,26
builds,0.004098,2,23
kitchen,0.004098,2,53
predispose,0.004087,1,1
reaction-response,0.004087,1,1
reapplication,0.004087,1,1
outlines,0.004087,1,1
reapply,0.004087,1,1
predominates,0.004087,1,1
gophers,0.004087,1,1
upacara,0.004087,1,1
cara,0.004087,1,1
envelops,0.004087,1,1
particles,0.004087,1,1
unwavering,0.004087,1,1
bowl,0.004027,2,46
concentration,0.003985,4,222
awareness,0.003965,11,1240
follow,0.003830,4,128
door,0.003760,3,105
stays,0.003718,2,35
movements,0.003692,3,92
brass,0.003607,1,2
tracing,0.003607,1,2
polishing,0.003607,1,3
mixing,0.003607,1,2
masseuse,0.003607,1,2
explores,0.003607,1,2
cheerleaders,0.003607,1,2
flowing,0.003531,3,144
small,0.003499,6,341
stressful,0.003466,2,49
maintain,0.003421,2,51
uncomfortable,0.003381,3,194
gentle,0.003361,4,244
wander,0.003334,2,50
funnel,0.003326,1,4
unrecognized,0.003326,1,3
glide,0.003326,1,3
rudimentary,0.003326,1,3
massages,0.003326,1,3
lighting,0.003326,1,3
slowly,0.003242,3,106
elements,0.003176,2,120
centering,0.003176,2,62
out-breath,0.003176,2,65
clicks,0.003127,1,4
moist,0.003127,1,4
actors,0.003127,1,4
influence,0.003103,2,57
easeful,0.003034,2,63
subconsciously,0.002973,1,5
spark,0.002973,1,5
slips,0.002973,1,5
rub,0.002973,1,7
squirrels,0.002973,1,7
transmit,0.002973,1,6
effort,0.002872,3,294
sunny,0.002847,1,6
groove,0.002847,1,7
gliding,0.002847,1,7
step-by-step,0.002847,1,9
almost,0.002808,8,551
connect,0.002763,3,181
muscles,0.002759,2,80
surfing,0.002740,1,10
vicara,0.002740,1,15
chatting,0.002740,1,7
returning,0.002705,2,60
seat,0.002705,2,101
judgments,0.002705,2,83
absorbed,0.002705,2,112
nice,0.002704,7,526
sensations,0.002690,6,712
relaxing,0.002688,4,364
staying,0.002679,3,190
shoulders,0.002679,3,171
river,0.002678,2,330
unhappy,0.002648,1,9
vitakka,0.002648,1,19
reconnecting,0.002648,1,9
bench,0.002648,1,15
scenario,0.002648,1,9
idle,0.002648,1,14
pressing,0.002648,1,10
stay,0.002626,6,560
reconnect,0.002566,1,10
moves,0.002530,2,74
yes,0.002514,4,378
nothing's,0.002493,1,10
upon,0.002483,3,196
application,0.002427,1,14
continually,0.002427,1,17
stiller,0.002427,1,14
movement,0.002422,4,356
activity,0.002409,3,308
involves,0.002375,2,98
keeping,0.002375,2,89
grounded,0.002375,2,115
strengthening,0.002367,1,13
subconscious,0.002367,1,13
angry,0.002354,2,174
scope,0.002312,1,17
vehicle,0.002312,1,17
sliding,0.002312,1,19
weight,0.002293,2,148
instructions,0.002274,2,143
sockets,0.002260,1,16
directing,0.002260,1,23
equivalent,0.002260,1,19
trace,0.002260,1,20
commonly,0.002260,1,16
periphery,0.002260,1,16
texture,0.002260,1,14
beginning,0.002242,5,456
becomes,0.002240,6,475
enjoy,0.002235,2,113
sustained,0.002213,1,26
trail,0.002213,1,20
conclusions,0.002213,1,18
handle,0.002213,1,22
moving,0.002171,3,217
register,0.002168,1,21
unconscious,0.002168,1,45
travel,0.002168,1,19
closing,0.002161,2,95
birds,0.002126,1,32
looking,0.002118,5,491
cleaning,0.002086,1,23
laser,0.002086,1,24
responsibilities,0.002086,1,23
momentary,0.002049,1,25
drink,0.002049,1,28
review,0.002049,1,30
speed,0.002049,1,23
natural,0.002046,3,318
seconds,0.002014,1,24
strangers,0.002014,1,22
keeps,0.001992,2,136
focus,0.001986,3,342
finished,0.001980,1,24
wanders,0.001980,1,26
around,0.001977,16,1116
applied,0.001948,1,37
softer,0.001948,1,27
applying,0.001917,1,35
transition,0.001887,1,34
slide,0.001887,1,56
encouragement,0.001887,1,38
finish,0.001887,1,36
towards,0.001881,4,469
particular,0.001866,4,429
there'll,0.001859,1,30
consciously,0.001859,1,29
sensing,0.001842,2,324
observing,0.001806,1,54
kindness,0.001803,3,530
area,0.001786,2,170
far,0.001786,2,220
pieces,0.001781,1,87
goodwill,0.001759,2,427
guidance,0.001756,1,40
global,0.001756,1,71
wave,0.001756,1,54
hold,0.001750,4,469
relatively,0.001733,1,37
reactions,0.001733,1,47
settling,0.001711,3,507
hurry,0.001710,1,52
window,0.001710,1,58
strongly,0.001688,1,41
remind,0.001688,1,45
park,0.001688,1,43
room,0.001672,3,388
pali,0.001668,2,216
number,0.001668,2,199
shift,0.001668,2,217
medicine,0.001667,1,82
count,0.001667,1,154
higher,0.001646,1,92
fair,0.001646,1,43
benefits,0.001626,1,49
edge,0.001626,1,62
associate,0.001626,1,44
texts,0.001607,1,66
upset,0.001588,1,46
oh,0.001587,5,1322
ease,0.001573,3,509
write,0.001569,1,52
normally,0.001569,1,47
received,0.001569,1,54
relevant,0.001551,1,51
chances,0.001551,1,62
gravity,0.001551,1,50
rather,0.001545,4,505
softening,0.001536,2,223
bird,0.001534,1,76
attentive,0.001534,1,49
imagination,0.001517,1,88
they'll,0.001517,1,53
appears,0.001517,1,49
analogy,0.001517,1,56
paying,0.001517,1,64
face,0.001513,2,209
remembering,0.001484,1,65
sky,0.001484,1,79
trees,0.001484,1,84
factors,0.001484,1,90
belly,0.001480,2,254
normal,0.001469,2,176
attitudes,0.001468,1,77
modern,0.001468,1,75
fast,0.001468,1,62
understand,0.001467,4,567
dependent,0.001452,1,84
anywhere,0.001437,1,62
classic,0.001437,1,62
delightful,0.001437,1,62
water,0.001436,2,462
carefully,0.001422,1,56
gather,0.001408,1,76
apply,0.001408,1,70
fully,0.001405,2,284
return,0.001405,2,178
agitated,0.001393,1,84
nothing,0.001389,3,452
opening,0.001384,2,279
order,0.001384,2,230
occur,0.001379,1,56
build,0.001379,1,66
we'll,0.001379,4,557
thought,0.001370,5,850
called,0.001367,4,540
anyway,0.001366,1,71
grounding,0.001366,1,96
settled,0.001364,2,413
well-being,0.001364,2,536
connected,0.001354,2,296
run,0.001352,1,79
clean,0.001352,1,101
single,0.001339,1,84
supporting,0.001339,1,88
necessary,0.001339,1,67
practiced,0.001326,1,77
receiving,0.001314,1,152
eye,0.001314,1,112
work,0.001306,4,822
using,0.001305,2,270
discomfort,0.001301,1,124
hopefully,0.001301,1,80
helping,0.001289,1,80
sat,0.001289,1,70
emphasize,0.001289,1,78
reflections,0.001277,1,94
quieter,0.001277,1,95
warm,0.001265,1,90
situations,0.001265,1,85
art,0.001265,1,128
though,0.001257,2,233
goes,0.001250,3,460
enough,0.001246,5,728
goodness,0.001238,2,466
word,0.001233,5,819
avoid,0.001231,1,122
throughout,0.001231,1,90
entering,0.001231,1,123
letting,0.001222,4,758
spread,0.001220,1,128
calm,0.001211,2,588
day,0.001206,5,756
night,0.001198,1,153
