word,tfidf_score,talk_frequency,global_frequency
joy,0.020332,36,925
pleasure,0.013847,18,697
samadhi,0.013686,22,1514
sustain,0.013374,8,141
gather,0.012394,14,319
beginner,0.012345,6,38
donation,0.009194,4,20
smile,0.009060,7,144
immerse,0.008672,4,45
approach,0.008594,9,275
delight,0.008039,10,291
conveyor,0.007481,2,3
belt,0.007481,2,3
organize,0.007481,5,153
immersion,0.007202,3,25
appreciation,0.006936,6,207
absorb,0.006652,5,130
awareness,0.006651,18,1247
excitement,0.006277,3,33
massage,0.006245,4,98
airport,0.006170,2,13
click,0.005977,3,43
sidewalk,0.005909,2,20
sparkle,0.005688,2,13
enthusiasm,0.005688,2,12
feedback,0.005633,3,42
connect,0.005500,13,658
strong,0.005439,10,439
save,0.005407,3,81
plane,0.005328,2,18
calm,0.005317,10,801
tendency,0.005130,4,105
stay,0.004518,14,814
blind,0.004504,2,25
thrill,0.004336,2,27
choicelessness,0.004237,1,1
p-i-t-i,0.004237,1,1
gentle,0.004233,5,257
breathe,0.004173,17,2454
influence,0.004144,3,86
play,0.004140,5,271
meditators,0.004048,2,26
contentment,0.004028,3,284
dip,0.003985,2,33
game,0.003865,2,48
page,0.003865,2,31
goodness,0.003816,6,474
abate,0.003741,1,2
non-doing,0.003741,1,5
meter,0.003741,1,3
quietly,0.003681,3,94
react,0.003618,3,100
present,0.003523,18,1195
loop,0.003512,2,42
blow,0.003512,2,58
not-doing,0.003450,1,3
choiceless,0.003450,1,4
self-respect,0.003450,1,4
capacity,0.003447,5,384
reactive,0.003425,2,62
develop,0.003347,5,354
chase,0.003343,2,62
pleasant,0.003337,4,351
partner,0.003266,2,60
nothing,0.003236,7,464
flow,0.003227,5,564
simple,0.003193,8,704
receptive,0.003123,2,81
child,0.003096,3,210
novice,0.003085,1,5
avail,0.003085,1,7
settle,0.003044,12,1501
impressive,0.002954,1,9
selectivity,0.002954,1,10
relief,0.002873,2,95
significant,0.002873,2,70
sweet,0.002817,2,91
spacious,0.002763,2,109
involve,0.002740,5,408
happiness,0.002699,5,830
spot,0.002686,2,116
fundraise,0.002664,1,15
sum,0.002664,1,11
fire,0.002661,2,144
yet,0.002656,3,237
yes,0.002639,4,380
carry,0.002636,3,199
effectively,0.002589,1,11
piti,0.002589,1,21
attention,0.002564,12,1261
preoccupy,0.002542,2,119
underwater,0.002520,1,12
arbitrary,0.002520,1,13
terrain,0.002520,1,14
random,0.002520,1,12
coexist,0.002520,1,15
oddly,0.002520,1,14
onto,0.002498,2,95
mindfulness,0.002497,7,952
ability,0.002484,3,232
craft,0.002458,1,12
raw,0.002458,1,14
quiet,0.002405,5,622
spontaneously,0.002401,1,22
anymore,0.002351,2,99
sport,0.002348,1,20
indirectly,0.002348,1,15
cheek,0.002348,1,22
middle,0.002325,3,212
simplicity,0.002312,2,257
saturate,0.002298,1,26
lucky,0.002298,1,21
energize,0.002298,1,25
gaze,0.002274,2,152
mental,0.002258,3,344
peripheral,0.002252,1,40
completely,0.002241,3,248
difficulty,0.002236,2,212
symptom,0.002209,1,52
priority,0.002209,1,23
emotionally,0.002209,1,23
fully,0.002177,3,288
pool,0.002168,1,41
total,0.002168,1,28
joyful,0.002168,1,29
sublime,0.002168,1,26
gladness,0.002129,1,48
momentary,0.002129,1,25
quality,0.002127,4,620
recognize,0.002115,5,653
consider,0.002114,3,273
well-being,0.002114,3,545
anything,0.002065,9,812
landscape,0.002058,1,26
engineer,0.002058,1,32
begin,0.002027,15,1414
pull,0.002023,3,320
community,0.002000,2,355
tingle,0.001992,1,30
yesterday,0.001985,2,158
rightness,0.001962,1,32
francisco,0.001962,1,43
control,0.001954,2,267
fragment,0.001933,1,40
encouragement,0.001933,1,39
standard,0.001933,1,30
surround,0.001933,1,35
subtleness,0.001933,1,33
obviously,0.001905,1,32
imc,0.001881,2,173
allow,0.001878,13,1508
sweetness,0.001878,1,90
drive,0.001838,2,192
guidance,0.001826,1,40
phenomenal,0.001826,1,46
contrast,0.001826,1,39
san,0.001826,1,50
enough,0.001814,7,733
music,0.001802,1,62
town,0.001802,1,56
global,0.001802,1,74
length,0.001802,1,53
corner,0.001779,1,41
physical,0.001771,2,208
absorption,0.001756,1,45
sadness,0.001756,1,60
system,0.001744,2,295
meditate,0.001734,4,497
lightness,0.001734,1,74
mouth,0.001734,1,51
hurry,0.001734,1,81
deny,0.001734,1,44
force,0.001731,2,219
wide,0.001719,2,254
fairly,0.001713,1,45
intimacy,0.001713,1,44
statement,0.001713,1,57
walk,0.001707,3,537
upon,0.001693,2,200
emotional,0.001693,2,225
reminder,0.001692,1,54
slow,0.001681,2,162
inspire,0.001681,2,232
refresh,0.001672,1,54
alert,0.001672,1,48
lake,0.001672,1,127
appreciate,0.001665,4,568
sink,0.001652,1,54
normally,0.001633,1,47
collect,0.001633,1,69
whose,0.001633,1,43
least,0.001608,2,202
bite,0.001603,14,1484
intentional,0.001596,1,54
welfare,0.001596,1,99
suddenly,0.001596,1,51
distance,0.001579,1,59
raise,0.001561,1,58
sign,0.001545,1,80
gratitude,0.001545,1,99
engagement,0.001545,1,53
tradition,0.001539,2,330
modern,0.001528,1,75
invaluable,0.001528,1,68
difference,0.001527,2,226
focus,0.001523,3,597
loud,0.001512,1,61
grow,0.001512,3,485
aware,0.001500,3,590
active,0.001496,1,63
delightful,0.001496,1,62
head,0.001483,2,267
unify,0.001481,1,90
beneficial,0.001466,1,92
associate,0.001462,2,234
meet,0.001454,3,600
engage,0.001451,2,319
stand,0.001441,2,273
almost,0.001440,4,558
inspiration,0.001437,1,125
awake,0.001422,1,78
grief,0.001422,1,133
natural,0.001409,2,335
hindrance,0.001408,1,197
