word,tfidf_score,talk_frequency,global_frequency
sarva,0.031245,9,9
knowledge,0.021582,16,102
president's,0.020830,6,6
borrowed,0.013887,4,4
he's,0.011568,14,305
reasoning,0.010102,4,9
exploration,0.008717,6,49
trips,0.008478,3,5
illumination,0.008478,3,6
analytical,0.008478,3,5
gotama,0.007970,3,8
follower,0.007970,3,11
vision,0.007908,6,172
explore,0.007886,7,101
direct,0.007703,10,199
priest,0.007577,3,28
degrees,0.007367,4,23
logic,0.007224,4,23
dhananjani,0.006943,2,2
satisfactory,0.006748,3,13
biography,0.006540,3,13
wisdom,0.006538,13,535
yeah,0.006515,11,767
somebody,0.006307,8,318
dominant,0.006186,3,19
tradition,0.006140,9,262
namo,0.006128,2,3
tassa,0.006128,2,3
cooler,0.006128,2,3
actualized,0.006128,2,3
niggling,0.006128,2,3
identifications,0.006128,2,3
experiences,0.006056,10,323
attained,0.005891,3,21
anatta,0.005891,3,38
insights,0.005801,5,124
impermanence,0.005801,5,144
teachings,0.005748,13,507
insulting,0.005652,2,4
podcast,0.005652,2,4
internalized,0.005652,2,4
buddha,0.005642,25,1594
higher,0.005594,4,92
lasting,0.005525,3,36
mine,0.005418,6,228
homage,0.005313,2,7
brahmanism,0.005313,2,5
teachers,0.005269,7,193
oh,0.005123,19,1322
temperature,0.005046,3,24
chair,0.004999,5,96
pattern,0.004885,3,49
dukkha,0.004880,6,401
dreaming,0.004837,2,10
master,0.004810,3,37
sources,0.004810,3,46
exploring,0.004783,4,78
inconstancy,0.004669,3,74
unsatisfactory,0.004655,2,31
knock,0.004655,2,11
doctrine,0.004498,2,12
fine,0.004300,5,148
centers,0.004236,2,14
text,0.004196,3,57
anicca,0.004196,3,58
tiny,0.004196,3,47
story,0.004054,8,624
teaching,0.004010,9,477
hear,0.003993,8,379
tie,0.003840,2,17
transformative,0.003840,2,17
dishes,0.003840,2,21
hiking,0.003840,2,23
okay,0.003782,15,1126
repeated,0.003759,2,17
sacred,0.003701,3,91
meditative,0.003701,3,76
yoga,0.003683,2,28
clark,0.003588,3,281
spiritual,0.003569,5,555
changing,0.003569,5,378
wood,0.003545,2,35
ago,0.003502,6,264
exactly,0.003476,6,230
9-to-5,0.003472,1,1
stumbles,0.003472,1,1
bald-pated,0.003472,1,1
bald,0.003472,1,1
shaveling,0.003472,1,1
traditionalist,0.003472,1,1
reasoners,0.003472,1,1
logicians,0.003472,1,1
experientialists,0.003472,1,1
colder,0.003472,1,1
yathabhutananadassana,0.003472,1,1
well-respected,0.003472,1,1
controllable,0.003472,1,1
fluctuations,0.003472,1,1
gradations,0.003472,1,1
