word,tfidf_score,talk_frequency,global_frequency
diffusive,0.020023,3,3
well-being,0.017320,16,572
content,0.016275,9,171
approach,0.013602,9,276
cat,0.013464,4,41
broad,0.013194,7,120
contentment,0.010464,5,294
comfort,0.010370,5,114
phase,0.010280,3,25
samadhi,0.009932,10,1516
airport,0.009732,2,13
surrender,0.009454,3,79
state,0.009015,13,834
nap,0.008174,2,15
attain,0.007505,3,70
apply,0.006947,4,166
diffuseness,0.006674,1,1
horizontally,0.006674,1,1
non-attainment,0.006674,1,1
map,0.006507,2,41
single,0.006454,3,87
pervade,0.006403,2,44
engineer,0.006303,2,35
rhythm,0.005901,3,111
effusive,0.005896,1,2
conveyor,0.005896,1,3
belt,0.005896,1,3
corridor,0.005896,1,4
bergen,0.005896,1,2
unselfconscious,0.005896,1,2
15-20,0.005896,1,2
effort,0.005696,4,333
capable,0.005561,2,40
access,0.005561,2,47
town,0.005491,2,61
norway,0.005440,1,3
purr,0.005440,1,4
nice,0.005435,9,556
satisfy,0.005425,3,141
warm,0.005381,3,122
comfortable,0.005143,4,214
almost,0.005121,9,562
halfway,0.005117,1,4
not-so-subtle,0.005117,1,4
hometown,0.005117,1,4
happiness,0.005075,6,860
spread,0.005008,3,238
delight,0.004997,4,297
calm,0.004963,6,810
replicate,0.004866,1,6
restart,0.004866,1,5
easygoing,0.004866,1,5
pleasure,0.004821,4,717
unify,0.004603,2,93
awareness,0.004592,8,1263
locate,0.004488,1,8
ecstasy,0.004488,1,7
familiar,0.004368,3,181
home,0.004299,4,257
amount,0.004241,3,172
spaciousness,0.004224,2,215
stage,0.004186,2,127
confidence,0.004148,2,159
carry,0.004118,3,203
matter,0.004089,4,293
homecoming,0.004087,1,13
wide,0.004029,3,258
art,0.004003,2,144
coexist,0.003980,1,15
alternative,0.003900,2,118
summer,0.003882,1,14
peak,0.003882,1,20
breathe,0.003798,10,2491
attainment,0.003792,1,19
lovingly,0.003709,1,21
sunlight,0.003632,1,19
inclusive,0.003632,1,24
enough,0.003607,9,749
familiarity,0.003559,1,19
animate,0.003559,1,19
bubble,0.003559,1,22
vibrate,0.003559,1,19
slowly,0.003530,2,108
pet,0.003491,1,25
apologize,0.003491,1,19
adjustment,0.003427,1,19
worthwhile,0.003427,1,20
glow,0.003427,1,30
diffuse,0.003366,1,32
beginner,0.003254,1,38
classically,0.003254,1,26
gently,0.003235,4,406
cozy,0.003201,1,35
develop,0.003156,3,364
rather,0.003122,5,540
rightness,0.003104,1,32
pervasive,0.003104,1,35
distract,0.003068,2,156
francisco,0.003058,1,44
spin,0.003058,1,43
relax,0.003045,7,1244
context,0.003045,2,181
tower,0.003014,1,44
continuous,0.003014,1,53
regularly,0.002971,1,33
inform,0.002971,1,36
prove,0.002971,1,43
enjoyable,0.002891,1,38
territory,0.002891,1,31
san,0.002853,1,51
responsible,0.002816,1,39
posture,0.002724,5,608
settle,0.002717,7,1516
dramatic,0.002712,1,46
sun,0.002712,1,66
diminish,0.002712,1,60
walk,0.002652,3,549
alive,0.002647,2,205
refresh,0.002617,1,56
remember,0.002594,3,390
whenever,0.002587,1,43
receive,0.002481,2,368
receptive,0.002475,1,81
middle,0.002445,2,214
focus,0.002390,3,606
subtle,0.002376,2,377
bed,0.002348,1,62
momentum,0.002325,1,87
peaceful,0.002319,3,410
begin,0.002319,11,1433
offer,0.002308,5,689
align,0.002302,1,83
radiate,0.002302,1,112
afternoon,0.002279,1,67
necessary,0.002213,1,67
oppose,0.002213,1,86
except,0.002192,1,74
relief,0.002172,1,105
spacious,0.002172,1,110
influence,0.002172,1,87
body,0.002171,20,3278
wonderful,0.002164,3,503
anything,0.002156,6,825
resistance,0.002151,1,123
monday,0.002151,1,69
shape,0.002132,1,79
disappear,0.002093,1,125
stay,0.002028,4,821
imagine,0.002015,3,466
simply,0.002015,2,309
far,0.002015,2,361
measure,0.002001,1,89
onto,0.001984,1,95
adjust,0.001967,1,96
concentrate,0.001967,1,122
torso,0.001950,1,118
easily,0.001901,1,100
wish,0.001858,3,583
front,0.001854,1,114
join,0.001838,1,113
attend,0.001823,1,131
across,0.001823,1,152
arm,0.001808,1,121
haven't,0.001765,1,100
small,0.001742,2,392
shift,0.001730,2,465
land,0.001683,1,166
personal,0.001683,1,161
check,0.001631,1,167
concentration,0.001631,1,227
inside,0.001630,2,439
somehow,0.001618,2,318
chest,0.001594,1,144
aware,0.001546,2,622
occur,0.001534,1,142
however,0.001534,1,152
control,0.001523,1,279
lie,0.001523,1,169
safe,0.001521,3,427
happy,0.001518,5,872
meet,0.001511,2,609
