word,tfidf_score,talk_frequency,global_frequency
harmony,0.062527,30,121
pedal,0.054944,12,14
bicycle,0.036516,10,22
samadhi,0.019967,24,1519
tour,0.018889,5,12
gather,0.017613,15,330
approach,0.015286,12,276
beauty,0.014413,9,167
wobbly,0.012920,3,6
overemphasize,0.011770,3,8
bike,0.011770,3,20
medicine,0.011283,5,84
underemphasizing,0.011234,2,2
onward-leading,0.010958,4,56
momentum,0.009790,5,87
ride,0.008715,4,75
grade,0.007847,2,8
aware,0.007832,12,622
resist,0.007603,4,93
groove,0.007303,2,11
friend,0.007246,10,562
terrain,0.006701,2,14
march,0.006701,2,20
imagination,0.006121,3,96
together,0.005762,21,1029
harmonious,0.005668,2,23
dish,0.005668,2,26
orderly,0.005617,1,1
over-prioritized,0.005617,1,1
unenthusiastically,0.005617,1,1
committedly,0.005617,1,1
transportation,0.005617,1,1
shaky,0.005617,1,1
relisten,0.005617,1,1
cozy,0.005391,2,35
whole,0.005362,18,1151
stage,0.005241,3,128
grand,0.005226,2,38
hill,0.005226,2,36
spin,0.005149,2,43
fragment,0.005075,2,41
slant,0.004962,1,2
exceed,0.004962,1,2
thermometer,0.004962,1,2
save,0.004805,2,81
field,0.004766,4,255
fall,0.004664,5,284
goodwill,0.004629,4,504
wash,0.004624,2,52
scrap,0.004579,1,3
pull,0.004437,5,326
evoke,0.004309,2,71
firmly,0.004307,1,4
evenness,0.004307,1,4
directionality,0.004307,1,6
10th,0.004307,1,5
gravity,0.004214,2,52
easygoing,0.004096,1,5
regularity,0.004096,1,5
slope,0.004096,1,15
child,0.004092,3,213
disconnect,0.004081,2,94
peace,0.004068,7,645
downhill,0.003778,1,9
messy,0.003652,1,9
spill,0.003652,1,11
emotion,0.003626,4,388
house,0.003625,2,119
single,0.003625,2,87
stop,0.003544,5,474
glide,0.003540,1,12
fundraise,0.003540,1,15
difficult,0.003524,4,329
amazingly,0.003441,1,10
guest,0.003441,1,13
mei,0.003441,1,56
elliott,0.003441,1,42
imagine,0.003405,6,466
contribute,0.003402,2,102
awareness,0.003397,7,1263
steep,0.003351,1,20
plus,0.003351,1,17
