word,tfidf_score,talk_frequency,global_frequency
law,0.055563,28,47
virtue,0.022222,15,106
ethic,0.021169,15,143
ethical,0.020007,19,205
sensitivity,0.018914,16,110
nonpartisan,0.017344,5,5
barren,0.015999,6,10
corporation,0.013875,4,4
kill,0.013057,10,149
harm,0.012815,17,500
beauty,0.012121,12,167
beat,0.011948,7,43
deaden,0.011713,5,12
unethical,0.011649,6,25
rule,0.011290,8,66
society,0.011111,11,146
evil,0.010241,6,54
nonviolent,0.009203,3,4
purify,0.008980,5,34
welfare,0.008952,7,106
king,0.008889,6,493
violate,0.008499,3,5
verse,0.008271,5,78
adhere,0.007999,3,6
nonviolence,0.007999,3,6
violence,0.007807,5,62
heighten,0.007766,4,22
wholesome,0.007381,10,435
community,0.007339,9,371
defeat,0.007295,3,14
conquer,0.007295,3,10
blood,0.007059,4,31
behavior,0.006962,6,85
hastily,0.006937,2,2
minister,0.006796,3,25
potluck,0.006409,3,23
money,0.006265,5,79
ancient,0.006237,7,166
forfeit,0.006135,2,3
sensibility,0.006092,3,18
purity,0.005953,3,22
politics,0.005824,3,19
buddhism,0.005770,11,578
civil,0.005666,2,5
demand,0.005580,4,46
beautiful,0.005335,12,592
monarch,0.005333,2,13
conceal,0.005333,2,7
bible,0.005075,2,9
luther,0.005075,2,9
gun,0.005075,2,10
specialty,0.005075,2,11
impressive,0.004864,2,9
intersection,0.004864,2,9
attack,0.004750,3,39
flaw,0.004685,2,12
meaningless,0.004685,2,8
respond,0.004593,5,164
ready,0.004587,6,187
donate,0.004531,2,9
president,0.004531,2,14
abuse,0.004531,2,11
martin,0.004531,2,13
tremble,0.004531,2,10
save,0.004501,3,81
sacrifice,0.004501,3,53
discover,0.004501,7,325
act,0.004471,7,369
oneself,0.004429,6,197
inside,0.004292,10,459
dharma,0.004281,13,870
speak,0.004259,9,509
india,0.004185,3,81
intent,0.004162,2,19
huge,0.004142,4,110
virtuous,0.003969,2,28
injustice,0.003969,2,18
statement,0.003959,3,71
buddhist,0.003956,13,892
precede,0.003883,2,20
harmful,0.003876,3,87
conflict,0.003836,3,324
indian,0.003728,2,25
passive,0.003592,2,21
unity,0.003592,2,54
hatred,0.003591,4,214
country,0.003481,3,100
political,0.003470,2,35
fury,0.003469,1,1
loophole,0.003469,1,1
hypocrite,0.003469,1,1
puritan,0.003469,1,1
four-line,0.003469,1,1
seatbelt,0.003469,1,1
cowardly,0.003469,1,1
rationale,0.003469,1,1
vicious,0.003469,1,1
slander,0.003469,1,1
tiananmen,0.003469,1,1
sift,0.003469,1,1
chaff,0.003469,1,1
frisbee,0.003469,1,1
alabama,0.003469,1,1
baton,0.003469,1,1
concussion,0.003469,1,1
congressman,0.003469,1,1
ku,0.003469,1,1
klux,0.003469,1,1
klan,0.003469,1,1
congress,0.003469,1,1
boycott,0.003469,1,1
rob,0.003414,2,37
whoever,0.003414,2,28
alone,0.003358,4,154
resistance,0.003357,3,126
house,0.003357,3,121
action,0.003304,5,430
fire,0.003298,3,147
weak,0.003259,2,37
cause,0.003234,6,416
dhammapada,0.003212,2,41
text,0.003186,3,135
fault,0.003167,2,51
shouldn't,0.003132,3,100
unite,0.003081,2,36
courage,0.003081,2,91
major,0.003081,2,36
popularly,0.003068,1,2
capitalism,0.003068,1,2
counterculture,0.003068,1,2
navigation,0.003068,1,2
negotiation,0.003068,1,2
nutshell,0.003068,1,3
never-departing,0.003068,1,2
non-hate,0.003068,1,2
opponent,0.003068,1,2
proponent,0.003068,1,2
insanity,0.003068,1,2
defile,0.003068,1,2
tank,0.003068,1,4
wickedness,0.003068,1,4
liar,0.003068,1,3
justly,0.003068,1,2
legally,0.003068,1,2
forty,0.003068,1,3
plurality,0.003068,1,3
translate,0.003066,5,279
decide,0.003055,3,129
plenty,0.003040,2,36
role,0.003006,3,145
importance,0.002963,2,36
emerge,0.002891,2,64
collectively,0.002833,1,3
protector,0.002833,1,3
four-letter,0.002833,1,4
hypocrisy,0.002833,1,3
pollyannaish,0.002833,1,8
wagon,0.002833,1,5
hoof,0.002833,1,3
mahatma,0.002833,1,3
non-violent,0.002833,1,3
impurity,0.002833,1,3
non-anger,0.002833,1,9
dice,0.002833,1,17
impartially,0.002833,1,3
guardian,0.002833,1,3
timid,0.002833,1,3
golf,0.002833,1,7
buddhistic,0.002833,1,4
effect,0.002820,3,171
step,0.002820,6,467
die,0.002735,3,224
emphasis,0.002714,3,120
buy,0.002697,2,72
affair,0.002666,1,4
unravel,0.002666,1,5
english-speaking,0.002666,1,4
jr,0.002666,1,4
humiliate,0.002666,1,5
gandhi,0.002666,1,4
muscular,0.002666,1,4
supposedly,0.002666,1,4
inspire,0.002662,4,260
others,0.002635,15,1138
lead,0.002569,5,549
thousand,0.002558,2,69
child,0.002556,3,216
officially,0.002537,1,7
champion,0.002537,1,5
assertiveness,0.002537,1,6
gray,0.002537,1,5
taboo,0.002537,1,6
empathize,0.002537,1,6
altruistic,0.002537,1,5
lewis,0.002537,1,8
february,0.002537,1,7
accountable,0.002537,1,10
classic,0.002506,2,62
food,0.002500,3,203
fight,0.002481,2,105
loss,0.002457,2,127
street,0.002457,2,94
count,0.002433,2,312
seek,0.002433,2,87
woman,0.002433,2,174
international,0.002432,1,9
etymology,0.002432,1,6
corrupt,0.002432,1,7
