word,tfidf_score,talk_frequency,global_frequency
palliative,0.117439,42,45
team,0.052313,28,70
patient,0.031188,19,116
chaplain,0.030410,14,131
emily,0.029211,8,8
specialist,0.025560,7,7
provider,0.022369,8,15
consult,0.018257,5,5
hospice,0.017847,8,24
interdisciplinary,0.017842,6,11
nurse,0.017377,8,23
worker,0.016071,7,17
specialty,0.015951,6,11
physician,0.015951,6,13
care,0.015047,77,1588
social,0.014425,12,117
healthcare,0.013981,5,15
improv,0.012895,4,5
son,0.012425,8,83
illness,0.012020,7,31
chaplaincy,0.011885,6,176
laugh,0.011421,6,42
linderman,0.010954,3,3
generalist,0.010954,3,3
spiritual,0.009699,13,557
cop,0.009671,3,4
health,0.009345,8,96
diagnosis,0.008924,4,13
dan,0.008389,3,6
assess,0.008276,4,16
connectedness,0.007976,3,7
symptom,0.007614,4,52
escape,0.007567,5,57
surgery,0.007353,3,9
curative,0.007303,2,2
bj,0.007303,2,2
oncology,0.007303,2,2
transplant,0.007303,2,2
vomit,0.007303,2,2
outpatient,0.007303,2,2
spirituality,0.007213,4,41
doctor,0.007093,4,45
goal,0.007075,6,125
family,0.006867,9,262
alongside,0.006693,3,13
serious,0.006566,4,34
intro,0.006516,3,23
transition,0.006473,4,38
certify,0.006448,2,3
stanford,0.006448,2,23
miller,0.006448,2,17
consultation,0.006448,2,3
nausea,0.006448,2,3
average,0.006448,2,3
cheerfully,0.006448,2,3
formulation,0.006448,2,3
overlap,0.006207,3,17
existential,0.006070,3,27
access,0.006053,4,47
religious,0.006053,4,71
speaker,0.005978,4,66
bio,0.005947,2,6
remembrance,0.005947,2,4
conversation,0.005830,6,177
die,0.005782,6,205
somebody,0.005716,7,343
request,0.005711,3,26
gap,0.005605,3,28
colleague,0.005320,3,31
perspective,0.005287,5,191
ministry,0.005092,2,40
bake,0.005092,2,7
merit,0.005072,3,46
refer,0.005065,5,104
dr,0.004902,2,8
caregiver,0.004902,2,12
sibling,0.004737,2,14
navigate,0.004599,3,51
pursuit,0.004592,2,17
mom,0.004592,2,15
facilitate,0.004462,2,17
rate,0.004462,2,15
project,0.004421,4,106
primary,0.004412,5,158
university,0.004344,2,16
alleviate,0.004344,2,23
therapy,0.004237,2,24
aspect,0.004220,7,269
presentation,0.004138,2,16
communication,0.004138,2,17
advance,0.004047,2,17
discipline,0.003962,2,19
domain,0.003962,2,34
sacred,0.003909,3,91
distress,0.003909,3,86
bless,0.003868,3,119
cultural,0.003737,2,31
communicate,0.003737,2,27
pursue,0.003670,2,41
bi-plus,0.003651,1,1
shamatha-vipassana,0.003651,1,1
muncie,0.003651,1,1
indiana,0.003651,1,1
michigan,0.003651,1,1
nine-month-long,0.003651,1,1
ucsf-sponsored,0.003651,1,1
practice-pc,0.003651,1,1
interprofessional,0.003651,1,1
full-catastrophe,0.003651,1,1
end-of-life,0.003651,1,1
superstar,0.003651,1,1
psychiatry,0.003651,1,1
dame,0.003651,1,1
cicely,0.003651,1,1
disease-modifying,0.003651,1,1
family-centered,0.003651,1,1
npr,0.003651,1,1
dyspnea,0.003651,1,1
bowel,0.003651,1,1
regimen,0.003651,1,1
truth-tellers,0.003651,1,1
tenant,0.003651,1,1
bernie,0.003651,1,1
glassman,0.003651,1,1
bipolar,0.003651,1,1
tremor,0.003651,1,1
elective,0.003651,1,1
neurosurgery,0.003651,1,1
lucidity,0.003651,1,1
non-palliative,0.003651,1,1
inpatient,0.003651,1,1
christina,0.003651,1,1
puchalski,0.003651,1,1
transcendence,0.003651,1,1
answer,0.003621,5,245
creative,0.003607,2,37
anxiety,0.003572,3,92
spirit,0.003504,3,105
aim,0.003489,2,37
work,0.003461,20,1346
sing,0.003434,2,38
board-certified,0.003224,1,2
authorize,0.003224,1,2
bachelor,0.003224,1,2
candidate,0.003224,1,2
clinician,0.003224,1,3
saunders,0.003224,1,2
restorative,0.003224,1,4
fashion,0.003224,1,2
optimize,0.003224,1,2
cardiology,0.003224,1,2
consensus,0.003224,1,2
bedside,0.003224,1,2
vigil,0.003224,1,2
psychiatrist,0.003224,1,2
fell,0.003191,2,33
dedication,0.003191,2,41
impact,0.003145,3,127
save,0.003106,2,81
father,0.003106,2,55
definition,0.003027,2,49
action,0.002984,4,320
queer,0.002974,1,4
facilitator,0.002974,1,4
divinity,0.002974,1,4
seattle,0.002974,1,3
theology,0.002974,1,5
resident,0.002974,1,3
collaborate,0.002974,1,3
rewrite,0.002974,1,3
prognosis,0.002974,1,4
psychiatric,0.002974,1,3
management,0.002974,1,3
absurd,0.002974,1,4
joyfully,0.002974,1,3
peacemaker,0.002974,1,4
recovery,0.002974,1,3
several,0.002952,2,53
service,0.002952,2,79
association,0.002815,2,60
question,0.002811,7,835
reverend,0.002796,1,23
vajrayana,0.002796,1,7
lofty,0.002796,1,5
synonymous,0.002796,1,4
autonomy,0.002796,1,7
legal,0.002796,1,4
disorder,0.002796,1,4
robust,0.002796,1,4
check-in,0.002796,1,4
intrinsic,0.002796,1,6
lead,0.002761,5,527
sleep,0.002751,2,69
quality,0.002749,6,620
mistake,0.002691,2,59
director,0.002659,1,9
via,0.002659,1,6
christ,0.002659,1,6
educator,0.002659,1,6
generously,0.002659,1,5
imminent,0.002659,1,5
intervention,0.002659,1,6
