word,tfidf_score,talk_frequency,global_frequency
mei,0.021094,10,56
collect,0.020414,16,74
elliott,0.018984,9,42
mist,0.016784,6,9
condition,0.015258,36,702
wet,0.014726,8,30
aha,0.013017,6,16
characteristic,0.012861,13,195
stabilize,0.012507,8,66
supportive,0.012505,14,140
facilitate,0.012329,6,18
vipassana,0.011853,8,88
impermanence,0.011673,10,145
pass,0.009580,10,155
progress,0.008777,6,45
provide,0.008746,12,220
fog,0.008678,4,13
strive,0.008264,6,89
dramatic,0.008264,6,48
foreground,0.007668,4,27
plant,0.007278,6,97
samadhi,0.007153,14,1556
function,0.007146,8,135
shower,0.007094,4,31
obvious,0.007092,8,152
amplifier,0.006850,2,2
mini-arc,0.006850,2,2
downpour,0.006850,2,2
core,0.006292,6,134
discuss,0.006253,4,35
stable,0.006135,6,111
rewind,0.006058,2,3
intensively,0.006058,2,3
aggravate,0.006058,2,5
temper,0.006058,2,3
length,0.005851,4,54
non-conceptual,0.005595,2,4
rose-colored,0.005595,2,4
drench,0.005595,2,9
predominantly,0.005266,2,5
efforting,0.005266,2,7
sunshine,0.005266,2,5
rain,0.005157,4,100
namely,0.005011,2,6
distinctive,0.005011,2,8
explore,0.005010,6,205
transform,0.005000,4,87
maintain,0.004949,4,82
okayness,0.004803,2,9
flash,0.004803,2,15
lightning,0.004803,2,7
flux,0.004803,2,11
instruction,0.004660,6,221
primary,0.004660,6,179
vi,0.004626,2,10
lastly,0.004626,2,10
unchanging,0.004626,2,13
germinate,0.004626,2,10
ahead,0.004626,4,78
embark,0.004474,2,9
walk,0.004452,10,579
arise,0.004416,19,1093
train,0.004404,6,352
special,0.004342,4,89
command,0.004339,2,10
stem,0.004339,2,14
project,0.004267,4,106
polish,0.004219,2,12
se,0.004219,2,12
aside,0.004194,4,116
soundscape,0.004110,2,18
boredom,0.004110,2,21
soak,0.004110,2,17
supply,0.004110,2,14
grow,0.004033,10,525
easily,0.003894,4,103
release,0.003889,6,320
forehead,0.003834,2,22
conditionality,0.003834,2,29
strain,0.003832,4,137
receive,0.003810,6,378
awaken,0.003784,6,447
victim,0.003755,2,24
clear,0.003723,12,594
stability,0.003713,4,176
subtle,0.003707,6,384
commonly,0.003682,2,18
suzuki,0.003682,2,27
nicely,0.003682,2,24
translate,0.003633,6,279
vantage,0.003612,2,23
likewise,0.003612,2,29
unsatisfactoriness,0.003547,2,36
discontent,0.003547,2,34
per,0.003547,2,21
disappoint,0.003547,2,25
prioritize,0.003547,2,33
judgment,0.003546,4,187
pop,0.003485,2,26
original,0.003427,2,52
roshi,0.003427,2,31
soil,0.003427,2,48
ana,0.003425,1,1
daily,0.003415,4,172
distinct,0.003371,2,25
quote,0.003316,4,156
appropriate,0.003292,4,179
frequently,0.003267,2,38
mark,0.003267,2,37
etc,0.003267,2,34
put,0.003251,16,849
i'd,0.003180,8,454
concentration,0.003174,4,247
nose,0.003127,2,33
fragment,0.003127,2,41
permanent,0.003127,2,41
control,0.003107,4,287
continuity,0.003042,2,71
