word,tfidf_score,talk_frequency,global_frequency
snow,0.063874,20,25
globe,0.036377,13,19
blizzard,0.031937,10,15
vitakka,0.027038,10,34
coasting,0.023779,7,10
contentment,0.023469,18,289
samadhi,0.022450,32,1428
vicāra,0.019587,7,29
concentrated,0.014755,11,89
contact,0.014708,14,214
mei,0.012731,5,57
snowflakes,0.012520,3,3
connecting,0.012429,9,156
flap,0.011193,4,13
movies,0.011193,4,12
misconceptions,0.010191,3,5
coast,0.010185,4,16
characteristics,0.010054,8,170
condition,0.010015,9,160
content,0.009786,8,140
relevance,0.009581,3,7
concentration,0.008852,18,437
okayness,0.008721,3,9
wings,0.007956,4,37
bird,0.007660,5,81
elliott,0.007638,3,43
snowstorm,0.007367,2,3
cultivating,0.007295,7,199
lost,0.007217,9,245
initial,0.007175,4,38
sukha,0.007082,3,45
base,0.006896,4,47
elliot,0.006794,2,9
discontentment,0.006794,2,5
stabilize,0.006779,3,24
sustain,0.006642,3,27
dramas,0.006387,2,7
sustaining,0.006278,3,87
focusing,0.006171,5,106
discontent,0.006169,3,34
beam,0.006072,2,6
gliding,0.005814,2,7
aiming,0.005814,2,9
responsive,0.005814,2,11
limited,0.005782,3,42
effort,0.005731,6,302
soothe,0.005596,2,17
shake,0.005596,2,9
shaking,0.005596,2,8
anchor,0.005381,3,49
naturally,0.005264,4,81
rid,0.005264,4,124
already,0.005250,7,255
samatha,0.005241,2,36
purified,0.005241,2,12
mention,0.005240,3,37
flapping,0.005092,2,12
clarify,0.005092,2,13
sage,0.004958,2,18
collect,0.004835,2,15
clearly,0.004801,8,386
instruction,0.004753,3,70
settles,0.004699,3,65
impermanence,0.004604,4,192
length,0.004546,3,72
jhana,0.004519,2,54
air,0.004414,4,170
revealed,0.004342,2,22
stability,0.004342,4,174
landscape,0.004261,2,23
application,0.004261,2,25
employing,0.004173,1,1
coasts,0.004173,1,1
aloft,0.004173,1,1
obedient,0.004173,1,1
liberates,0.004173,1,1
suspense,0.004173,1,1
thriller,0.004173,1,1
flurrying,0.004173,1,1
snowflake,0.004173,1,1
hushed,0.004173,1,1
blanketed,0.004173,1,1
globes,0.004173,1,1
quaint,0.004173,1,1
cheesy,0.004173,1,1
pinball,0.004173,1,1
settle,0.004154,9,505
laser,0.004113,2,28
successful,0.004113,2,31
goal,0.004063,3,115
steady,0.004024,3,152
factors,0.003986,3,123
frequently,0.003978,2,36
continuity,0.003915,2,66
receiving,0.003911,3,155
cultivate,0.003820,4,206
connect,0.003762,4,182
sensing,0.003762,4,325
conditions,0.003750,5,367
majjhima,0.003742,2,53
descriptors,0.003684,1,2
romance,0.003684,1,2
magnitude,0.003684,1,3
paw,0.003684,1,3
sages,0.003684,1,2
huff,0.003684,1,2
puff,0.003684,1,2
nikāya,0.003539,2,77
force,0.003483,3,118
exploration,0.003448,2,50
alright,0.003397,1,4
illuminated,0.003397,1,3
banana,0.003397,1,3
glide,0.003397,1,3
unblemished,0.003397,1,4
crystal,0.003397,1,3
film,0.003397,1,5
freshly,0.003397,1,4
spiraling,0.003397,1,3
begins,0.003380,5,280
supportive,0.003338,3,130
marks,0.003282,2,50
slight,0.003205,2,49
peel,0.003194,1,4
exert,0.003194,1,4
robust,0.003194,1,4
wieldy,0.003194,1,6
miraculous,0.003194,1,4
regretting,0.003194,1,5
guilt,0.003194,1,8
mood,0.003169,2,76
straining,0.003169,2,60
adding,0.003133,2,71
vision,0.003064,2,178
rub,0.003036,1,7
rubbing,0.003036,1,7
horizon,0.003036,1,5
elicit,0.003036,1,6
uprooting,0.003036,1,8
liquid,0.003036,1,5
visitor,0.003036,1,7
stepping,0.003031,2,78
making,0.002978,7,434
anicca,0.002966,2,113
jhanic,0.002907,1,11
phrased,0.002907,1,6
signifies,0.002907,1,7
purpose,0.002888,3,228
term,0.002848,4,258
emotion,0.002817,2,106
home,0.002806,4,246
catching,0.002798,1,9
articulate,0.002798,1,8
tempting,0.002798,1,9
falling,0.002789,2,73
function,0.002709,2,71
flight,0.002704,1,14
bearing,0.002704,1,10
object,0.002673,3,243
started,0.002664,4,283
provide,0.002657,2,85
commentarial,0.002621,1,11
collecting,0.002621,1,21
fortunately,0.002621,1,9
imperfection,0.002621,1,11
malleable,0.002621,1,12
reconnect,0.002621,1,10
christmas,0.002621,1,25
discourses,0.002608,2,95
achieved,0.002546,1,11
adventure,0.002546,1,11
fallen,0.002546,1,10
arrives,0.002546,1,12
common,0.002535,3,179
provides,0.002491,2,88
chase,0.002479,1,15
nuance,0.002479,1,13
soundscape,0.002479,1,18
hiding,0.002479,1,19
unable,0.002479,1,14
strive,0.002479,1,24
translated,0.002478,5,318
full,0.002418,4,270
besides,0.002417,1,15
narratives,0.002417,1,16
demand,0.002417,1,13
sliding,0.002361,1,19
frees,0.002361,1,31
stable,0.002342,2,113
wisdom,0.002329,4,575
justice,0.002308,1,19
majority,0.002308,1,15
translating,0.002308,1,17
enough,0.002291,9,728
beginning,0.002289,5,456
couldn,0.002263,2,104
maintaining,0.002260,1,19
dawn,0.002260,1,27
increases,0.002260,1,20
faster,0.002260,1,23
pitaka,0.002260,1,17
touch,0.002217,3,231
lungs,0.002214,1,25
compelling,0.002214,1,20
sensation,0.002207,2,160
aim,0.002171,1,24
reaching,0.002171,1,21
ruminating,0.002171,1,23
silence,0.002171,2,188
placing,0.002131,1,33
cultivates,0.002131,1,23
transform,0.002131,1,39
lasting,0.002131,1,38
hatred,0.002118,2,212
develops,0.002093,1,22
flying,0.002093,1,26
thread,0.002093,1,45
acknowledging,0.002056,1,23
sorts,0.002056,1,28
glad,0.002056,1,36
collections,0.002056,1,26
village,0.001989,1,42
flux,0.001989,1,26
asleep,0.001958,1,33
landing,0.001958,1,33
waking,0.001958,1,30
collectedness,0.001958,1,27
struggling,0.001927,1,26
slide,0.001927,1,56
thus,0.001927,1,39
fruit,0.001927,1,41
offering,0.001925,2,163
greed,0.001925,2,258
unsatisfactoriness,0.001910,2,160
sits,0.001899,1,33
stays,0.001899,1,35
worried,0.001899,1,29
sustained,0.001899,1,43
variety,0.001871,1,30
standard,0.001871,1,31
anxious,0.001871,1,37
liturgical,0.001871,1,29
powerful,0.001852,2,156
canon,0.001852,2,178
seeking,0.001844,1,43
supports,0.001838,2,171
addition,0.001818,1,32
unfolds,0.001818,1,32
continued,0.001818,1,36
satisfaction,0.001818,1,36
abiding,0.001818,1,57
associations,0.001794,1,42
stay,0.001788,4,561
narrow,0.001770,1,40
bear,0.001770,1,36
aryan,0.001770,1,34
moment,0.001755,15,1633
inner,0.001747,3,452
maintain,0.001747,1,51
indo,0.001747,1,36
works,0.001742,2,156
pali,0.001735,8,843
based,0.001729,2,201
benefit,0.001729,2,188
bright,0.001724,1,47
description,0.001724,1,50
nourishing,0.001724,1,47
striving,0.001724,1,66
planning,0.001724,1,51
shame,0.001724,1,47
starts,0.001716,2,188
lifetime,0.001702,1,50
mental,0.001682,3,425
sun,0.001681,1,66
phrases,0.001681,1,85
impermanent,0.001681,1,61
name,0.001678,2,217
future,0.001678,2,221
benefits,0.001661,1,49
upright,0.001641,1,63
steadiness,0.001641,1,104
associate,0.001641,1,46
track,0.001622,1,55
bottom,0.001622,1,46
noticing,0.001616,2,329
thought,0.001611,6,875
attending,0.001603,1,55
explain,0.001603,1,50
playing,0.001603,1,68
past,0.001592,2,234
arriving,0.001584,1,60
pleasant,0.001580,2,362
language,0.001568,2,248
flavor,0.001566,1,57
strain,0.001566,1,67
intentions,0.001549,1,73
permanent,0.001549,1,61
pleasures,0.001549,1,80
step,0.001545,2,263
allowing,0.001534,3,465
tomorrow,0.001534,2,179
analogy,0.001532,1,57
stopped,0.001532,1,59
begin,0.001525,4,555
relaxed,0.001522,2,268
breathing,0.001516,5,1992
subtle,0.001511,2,363
releasing,0.001499,1,78
engagement,0.001499,1,54
entire,0.001499,1,65
recently,0.001499,1,55
today,0.001489,8,819
fixed,0.001483,1,91
journey,0.001468,1,116
tree,0.001468,1,119
major,0.001468,1,57
arising,0.001467,2,292
tell,0.001467,2,270
wise,0.001467,2,397
retreat,0.001456,2,317
absorption,0.001456,2,195
development,0.001452,1,67
