word,tfidf_score,talk_frequency,global_frequency
impermanence,0.033677,21,144
inconstancy,0.032114,15,74
anicca,0.019270,10,58
mood,0.017640,11,92
predominant,0.015937,5,11
flex,0.014217,3,3
flux,0.013241,4,11
suzuki,0.013173,5,25
characteristic,0.012368,9,192
roshi,0.012171,5,29
blizzard,0.010901,3,15
pass,0.010718,8,149
crave,0.010369,8,277
tightly,0.010112,4,29
fix,0.009907,10,284
ticker,0.009478,2,2
unmoored,0.009478,2,2
change,0.009408,28,1441
coffee,0.009097,4,39
rope,0.008961,3,17
contentment,0.008925,6,294
sound,0.008739,13,490
mei,0.008709,3,56
elliott,0.008709,3,42
discuss,0.008689,4,34
cling,0.008414,11,559
nutshell,0.008373,2,3
tape,0.008373,2,3
elliot,0.007726,2,9
reveal,0.007708,4,57
inconstant,0.007584,3,34
sensation,0.007420,16,884
deliberately,0.007173,3,42
kaleidoscope,0.006911,2,6
tingle,0.006716,3,30
constant,0.006542,4,74
object,0.006496,7,302
draw,0.006478,4,95
noble,0.006428,5,268
grip,0.006423,3,50
pulse,0.006375,2,9
lecture,0.006375,2,8
widen,0.005974,2,17
beneath,0.005974,2,12
gross,0.005974,2,12
cultivate,0.005917,7,462
soundscape,0.005654,2,18
suffer,0.005628,15,1695
coast,0.005515,2,27
rain,0.005515,3,84
nature,0.005495,8,397
attention,0.005279,22,1275
closely,0.005110,3,53
perceive,0.005058,3,99
ultimately,0.005056,2,21
shift,0.004927,8,465
laugh,0.004868,2,44
depression,0.004782,2,28
sliver,0.004739,1,1
intruder,0.004739,1,1
of5,0.004739,1,1
groundwork,0.004739,1,1
nicca,0.004739,1,1
unsupportive,0.004739,1,1
calcify,0.004739,1,1
paradise,0.004739,1,1
rooftop,0.004739,1,1
snapshot,0.004739,1,1
monolith,0.004739,1,1
swiss,0.004739,1,1
inextricable,0.004739,1,1
immutable,0.004739,1,1
perception,0.004719,3,208
vibration,0.004700,2,27
typically,0.004548,2,38
level,0.004508,5,283
core,0.004422,3,130
notice,0.004409,13,1217
truth,0.004380,5,525
pas,0.004305,3,94
reality,0.004268,3,120
crest,0.004186,1,2
pulsation,0.004186,1,2
digestion,0.004186,1,2
17-year-old,0.004186,1,2
transitory,0.004186,1,2
punctuate,0.004186,1,2
fingertip,0.004186,1,3
rainer,0.004186,1,2
burn,0.004108,2,57
impermanent,0.004001,2,58
ongoing,0.003951,2,41
refer,0.003920,3,108
choiceless,0.003863,1,4
sunrise,0.003863,1,3
imprison,0.003863,1,4
fluctuation,0.003863,1,3
liberative,0.003863,1,4
destabilize,0.003863,1,4
sufficiently,0.003863,1,3
sadness,0.003854,2,62
theme,0.003646,3,126
momentarily,0.003634,1,4
secondly,0.003634,1,5
teacup,0.003634,1,4
cheese,0.003634,1,5
story,0.003487,7,1012
horizon,0.003456,1,5
heartbeat,0.003456,1,7
transformational,0.003456,1,5
storyline,0.003456,1,5
ever-present,0.003456,1,6
glimmer,0.003456,1,5
boil,0.003456,1,7
rilke,0.003456,1,5
transient,0.003456,1,7
arise,0.003454,11,1074
belief,0.003452,3,286
not-self,0.003443,2,162
connect,0.003352,7,666
mind-heart,0.003310,1,7
neurosis,0.003310,1,7
terror,0.003310,1,10
aperture,0.003187,1,9
unchanging,0.003187,1,13
latter,0.003187,1,7
sip,0.003187,1,9
beam,0.003081,1,11
upcoming,0.003081,1,8
modicum,0.003081,1,8
camera,0.003081,1,11
unreliable,0.003081,1,11
pot,0.003081,1,19
zen,0.003058,2,139
view,0.002995,4,683
pull,0.002995,4,326
glide,0.002987,1,12
dominate,0.002987,1,10
spouse,0.002987,1,9
glance,0.002987,1,12
facilitate,0.002903,1,17
poke,0.002903,1,15
ouch,0.002903,1,25
palm,0.002757,1,17
dy,0.002757,1,15
overlay,0.002694,1,34
intuitively,0.002694,1,14
compulsion,0.002694,1,27
cruz,0.002635,1,17
regardless,0.002580,1,15
everything,0.002537,8,902
flap,0.002528,1,25
prison,0.002528,1,62
anytime,0.002528,1,18
supportive,0.002509,2,133
wake,0.002509,2,124
hurt,0.002489,2,138
recall,0.002480,1,22
aren't,0.002469,2,135
hole,0.002434,1,38
job,0.002411,2,196
explore,0.002374,2,197
concept,0.002355,2,259
lineage,0.002350,1,29
demonstrate,0.002350,1,30
reliable,0.002350,1,33
maria,0.002350,1,75
temperature,0.002274,1,25
discus,0.002274,1,28
santa,0.002239,1,32
depress,0.002239,1,26
non-clinging,0.002239,1,59
primary,0.002232,2,164
seem,0.002226,5,500
initially,0.002205,1,28
yesterday,0.002198,2,162
conceptual,0.002172,1,36
source,0.002166,2,355
hold,0.002150,8,1026
stabilize,0.002141,1,66
afterwards,0.002141,1,29
reduce,0.002141,1,34
narrative,0.002111,1,46
image,0.002086,2,210
hand,0.002056,4,491
territory,0.002054,1,31
clearly,0.002017,3,404
investigation,0.002001,1,65
able,0.001995,5,623
anchor,0.001975,1,60
temple,0.001975,1,70
convince,0.001975,1,40
sad,0.001975,1,55
pressure,0.001938,2,263
example,0.001931,3,379
diminish,0.001927,1,60
sun,0.001904,1,67
tiny,0.001904,1,50
actively,0.001881,1,46
sustain,0.001881,1,141
intentionally,0.001860,1,42
upright,0.001860,1,64
impulse,0.001860,1,66
trap,0.001818,1,77
investigate,0.001778,1,102
