word,tfidf_score,talk_frequency,global_frequency
aversion,0.023695,27,484
crave,0.023289,19,277
tease,0.019516,8,26
dukkha,0.018998,18,410
predicament,0.015652,5,11
suffer,0.015258,43,1695
f,0.014613,4,6
object,0.014041,16,302
mei,0.013726,5,56
elliott,0.013726,5,42
characteristic,0.012996,10,192
desire,0.012795,19,743
r,0.010960,3,5
raft,0.010431,4,40
acronym,0.010309,3,6
apart,0.009374,6,77
vicara,0.009043,3,15
incompetent,0.008963,2,2
sustain,0.008896,5,141
vitakka,0.008741,3,19
coffee,0.008603,4,39
chronic,0.007823,3,15
dissatisfaction,0.007475,3,19
chah,0.007475,3,28
sock,0.007306,2,4
discontent,0.007035,3,33
waste,0.007035,3,22
unsatisfactoriness,0.006906,3,36
pain,0.006881,10,514
ajahn,0.006512,4,108
contact,0.006479,6,225
recur,0.006261,2,7
circumstance,0.006249,4,88
recognize,0.006189,14,668
impermanence,0.006066,4,144
unsatisfactory,0.006028,2,31
visitor,0.006028,2,10
contraction,0.005678,4,91
yesterday,0.005198,5,162
relationship,0.005165,9,498
consume,0.005095,2,16
condition,0.004940,9,691
absence,0.004936,3,109
fantasize,0.004604,2,25
observe,0.004506,3,123
painful,0.004506,3,102
notice,0.004491,14,1217
explore,0.004490,4,197
r-a-f-t,0.004482,1,1
upfront,0.004482,1,1
onlooker,0.004482,1,1
crummy,0.004482,1,1
rustic,0.004482,1,1
multi-hour,0.004482,1,1
digestive,0.004482,1,1
incredulous,0.004482,1,1
r-a-f,0.004482,1,1
facade,0.004482,1,1
check,0.004387,4,167
letter,0.004371,2,32
cup,0.004371,2,50
cling,0.004340,6,559
wasn't,0.004340,6,293
contentment,0.004220,3,294
fixate,0.004108,2,46
regret,0.004108,2,37
unpleasant,0.004108,3,233
liberation,0.004108,3,118
source,0.004096,4,355
shouldn't,0.004036,3,98
reject,0.003992,2,47
cement,0.003959,1,2
sweater,0.003959,1,5
sprain,0.003959,1,2
insecure,0.003959,1,4
salty,0.003959,1,2
ventana,0.003959,1,2
zendo,0.003959,1,3
throe,0.003959,1,2
clearly,0.003814,6,404
tightness,0.003801,3,115
isn't,0.003787,6,406
untrained,0.003653,1,4
worldling,0.003653,1,4
itchy,0.003653,1,3
drip,0.003653,1,5
liberative,0.003653,1,4
connect,0.003623,8,666
complete,0.003531,3,138
wear,0.003477,2,69
difficulty,0.003475,3,219
overt,0.003436,1,5
check-in,0.003436,1,4
unstable,0.003436,1,7
disability,0.003436,1,4
knife,0.003436,1,7
noteworthy,0.003436,1,4
roommate,0.003436,1,5
job,0.003421,3,196
fuel,0.003326,2,91
message,0.003290,2,65
storyline,0.003268,1,5
coworker,0.003268,1,5
costume,0.003268,1,8
dissolve,0.003156,2,83
suck,0.003130,1,7
okayness,0.003130,1,9
jerk,0.003130,1,7
ankle,0.003130,1,6
tassajara,0.003130,1,11
stomach,0.003130,1,7
mind-heart,0.003130,1,7
masquerade,0.003130,1,10
tanya,0.003014,1,20
sneak,0.003014,1,9
lastly,0.003014,1,10
rehearse,0.003014,1,8
sip,0.003014,1,9
stimulus,0.003014,1,29
trash,0.003014,1,14
constantly,0.003004,2,94
train,0.002982,3,306
upcoming,0.002914,1,8
pronounce,0.002914,1,12
noon,0.002914,1,11
barely,0.002914,1,9
consist,0.002914,1,10
house,0.002892,2,119
typical,0.002825,1,14
glance,0.002825,1,12
glide,0.002825,1,12
heartbreak,0.002825,1,22
till,0.002825,1,11
spell,0.002825,1,13
pattern,0.002813,2,133
core,0.002788,2,130
monk,0.002763,2,213
coin,0.002745,1,11
replay,0.002745,1,10
invest,0.002745,1,12
instant,0.002745,1,12
ouch,0.002745,1,25
goldstein,0.002745,1,12
guest,0.002745,1,13
pas,0.002714,2,94
hijack,0.002673,1,17
winter,0.002673,1,14
present,0.002608,13,1238
besides,0.002608,1,15
sucitto,0.002608,1,20
extraordinary,0.002608,1,14
pray,0.002608,1,24
fundamentally,0.002608,1,20
wisdom,0.002580,4,546
problem,0.002576,3,294
arrange,0.002547,1,14
joseph,0.002547,1,15
rather,0.002506,6,543
unseen,0.002492,1,14
forehead,0.002492,1,22
secret,0.002492,1,18
thai,0.002492,1,17
merely,0.002439,1,22
fulfillment,0.002439,1,23
skillfully,0.002439,1,19
wilderness,0.002439,1,31
content,0.002431,2,171
flap,0.002391,1,25
supportive,0.002373,2,133
wouldn't,0.002354,2,131
manifestation,0.002345,1,23
conversation,0.002335,2,185
ruminate,0.002302,1,24
theme,0.002299,2,126
plan,0.002299,2,163
path,0.002279,4,849
deliberately,0.002261,1,42
minor,0.002261,1,29
unpleasantness,0.002261,1,26
prayer,0.002261,1,52
fine,0.002245,2,150
aspect,0.002233,3,271
rid,0.002228,2,176
directly,0.002228,2,116
throat,0.002223,1,31
obstacle,0.002223,1,34
landscape,0.002186,1,26
dinner,0.002186,1,26
study,0.002160,2,181
contemplate,0.002151,1,34
frequently,0.002151,1,36
typically,0.002151,1,38
chant,0.002151,1,47
claim,0.002117,1,35
aim,0.002117,1,38
illness,0.002085,1,34
absolute,0.002085,1,30
occur,0.002063,2,142
wing,0.002054,1,42
tibetan,0.002054,1,48
elsewhere,0.002054,1,27
hour,0.002033,2,193
spectrum,0.002025,1,45
we'd,0.002025,1,36
transformation,0.002025,1,55
meet,0.002021,4,610
obviously,0.001996,1,33
vacation,0.001969,1,53
tea,0.001969,1,55
stress,0.001944,2,294
discern,0.001942,1,39
freeze,0.001942,1,50
heat,0.001917,1,44
provide,0.001901,2,214
step,0.001893,3,419
dwell,0.001892,1,43
impermanent,0.001892,1,58
master,0.001892,1,54
tranquility,0.001892,1,65
morning,0.001884,4,399
fix,0.001874,2,284
physical,0.001874,2,212
anchor,0.001868,1,60
satisfaction,0.001868,1,40
temple,0.001868,1,70
peace,0.001855,4,645
cold,0.001845,1,53
anicca,0.001822,1,58
attitude,0.001820,2,296
physically,0.001800,1,47
jaw,0.001759,1,48
enlightenment,0.001759,1,70
inspire,0.001743,2,240
alert,0.001738,1,50
forever,0.001738,1,68
solve,0.001738,1,77
partner,0.001719,1,62
happiness,0.001709,3,860
strike,0.001681,1,57
suddenly,0.001681,1,52
excite,0.001681,1,60
war,0.001681,1,74
transform,0.001681,1,81
intentional,0.001663,1,58
thousand,0.001645,1,68
brief,0.001628,1,102
easeful,0.001628,1,69
external,0.001628,1,73
absolutely,0.001628,1,67
seed,0.001611,1,90
forest,0.001611,1,123
difference,0.001610,2,233
today,0.001605,8,842
cultivate,0.001599,2,462
seek,0.001594,1,83
cut,0.001594,1,59
sacred,0.001594,1,92
lens,0.001578,1,70
cover,0.001578,1,66
refuge,0.001578,1,171
allow,0.001555,10,1528
slight,0.001547,1,63
dependent,0.001547,1,92
teach,0.001533,7,1458
actually,0.001533,7,1098
news,0.001532,1,76
track,0.001532,1,94
able,0.001509,4,623
ahead,0.001502,1,77
name,0.001499,2,307
bird,0.001488,1,113
particularly,0.001488,1,87
necessary,0.001488,1,67
task,0.001488,1,77
awake,0.001473,1,82
reactivity,0.001473,1,146
lack,0.001473,1,95
zen,0.001446,1,139
resistance,0.001446,1,123
want,0.001433,28,3042
fact,0.001426,2,245
capacity,0.001426,2,403
push,0.001416,2,318
