word,tfidf_score,talk_frequency,global_frequency
poetry,0.052315,7,93
certainty,0.038587,4,21
curious,0.029376,6,93
armor,0.028053,3,14
disillusion,0.026260,2,14
del,0.026260,2,6
rio,0.026260,2,6
overcoat,0.026260,2,6
what-ifs,0.026260,2,6
prescription,0.024223,2,13
rebecca,0.024223,2,7
swamp,0.024223,2,21
spit,0.022777,2,8
stale,0.022777,2,8
astonish,0.022777,2,10
sour,0.021656,2,11
unmet,0.021656,2,9
waft,0.021656,2,9
arrive,0.020899,6,158
blink,0.020739,2,10
useless,0.019965,2,13
backrest,0.019294,2,11
scent,0.019294,2,17
rigid,0.016854,2,19
plan,0.015076,4,163
poem,0.012921,3,393
remove,0.012822,2,40
entitle,0.012111,1,3
cloud,0.012023,2,82
drop,0.011799,4,270
memorization,0.011388,1,5
buttock,0.011388,1,4
settledness,0.011206,2,75
vision,0.010843,2,179
passively,0.010828,1,6
readily,0.010828,1,5
list,0.010449,3,269
notion,0.009888,2,96
language,0.009753,3,165
result,0.009606,2,98
amount,0.009535,3,165
expectation,0.009426,2,106
taste,0.009086,2,148
sequence,0.008847,1,25
consume,0.008427,1,16
manner,0.008241,1,16
tremendously,0.008067,1,15
combination,0.008067,1,21
post,0.007474,1,24
extremely,0.007474,1,23
belief,0.007301,2,280
scan,0.007222,1,36
contact,0.007131,2,224
couch,0.006993,1,29
instruction,0.006913,2,212
there'll,0.006784,1,30
new,0.006700,4,550
every,0.006087,4,489
mouth,0.006086,1,51
sensation,0.005843,4,867
trap,0.005799,1,74
unpack,0.005799,1,56
choose,0.005770,2,246
behind,0.005727,2,185
ear,0.005541,1,65
title,0.005480,1,53
organize,0.005252,1,153
bed,0.005198,1,62
clark,0.005145,1,281
aliveness,0.005145,1,84
align,0.005093,1,83
youtube,0.004896,1,78
diana,0.004669,1,333
reality,0.004543,1,117
project,0.004502,1,106
you've,0.004465,2,346
connect,0.004455,3,658
alternative,0.004422,1,108
valuable,0.004383,1,93
attune,0.004345,1,116
fear,0.004335,2,501
leg,0.004233,1,104
cushion,0.004197,1,115
tightness,0.004197,1,113
nourish,0.004126,1,119
chair,0.004126,1,105
lay,0.004126,1,141
touch,0.004098,3,493
allow,0.004058,8,1508
wherever,0.003990,1,101
silence,0.003799,1,195
surface,0.003651,1,160
check,0.003651,1,165
chest,0.003510,1,144
eye,0.003335,3,617
soften,0.003298,2,544
ground,0.003227,1,218
figure,0.003178,1,218
story,0.003144,2,988
morning,0.003093,2,390
shoulder,0.003039,1,207
imagine,0.003019,2,456
introduction,0.002994,2,275
leave,0.002994,2,469
foot,0.002972,1,229
available,0.002801,1,214
certainly,0.002720,1,204
already,0.002681,1,256
direction,0.002622,1,241
belly,0.002603,1,266
breathe,0.002585,3,2454
engage,0.002547,1,319
fact,0.002402,1,235
certain,0.002351,2,610
guide,0.002331,4,876
useful,0.002282,1,275
helpful,0.002249,1,562
set,0.002249,1,310
read,0.002104,1,421
support,0.002078,2,928
whether,0.002073,1,305
tension,0.002027,1,604
instead,0.001938,1,440
remember,0.001895,1,388
ease,0.001852,1,533
without,0.001799,3,957
settle,0.001781,2,1501
use,0.001774,3,1166
i'd,0.001755,1,426
whatever,0.001736,4,1184
live,0.001667,2,1127
experience,0.001624,6,3049
tell,0.001610,1,560
attention,0.001500,2,1261
teach,0.001482,2,1396
dharma,0.001425,1,838
rather,0.001401,1,511
dharmette,0.001401,1,318
bring,0.001304,2,1164
awareness,0.001297,1,1247
back,0.001265,4,1479
rest,0.001263,1,550
posture,0.001230,1,594
would,0.001206,3,1958
point,0.001200,2,1111
life,0.001173,7,2727
day,0.001165,2,989
heart,0.001115,2,1666
open,0.001115,2,1195
okay,0.001091,1,1128
welcome,0.001031,2,692
learn,0.000979,1,759
relax,0.000969,1,1230
arise,0.000969,1,1066
information,0.000965,2,405
different,0.000949,3,1883
moment,0.000903,3,1823
around,0.000900,2,1126
week,0.000890,1,710
link,0.000852,1,507
need,0.000836,2,1551
practice,0.000804,9,3716
bite,0.000804,2,1484
help,0.000787,1,853
little,0.000786,4,2311
understand,0.000777,1,1194
happy,0.000687,1,840
love,0.000678,1,1737
away,0.000617,1,1003
idea,0.000574,1,1586
well,0.000557,1,1325
might,0.000524,3,2112
sometimes,0.000511,2,1848
try,0.000499,1,1260
body,0.000482,2,3238
let,0.000442,4,2651
sit,0.000423,2,1473
word,0.000418,1,1319
right,0.000363,1,2070
u,0.000334,7,3291
part,0.000286,1,1601
find,0.000233,1,1649
sense,0.000153,1,2910
good,0.000146,1,2445
make,0.000125,1,2377
think,0.000102,3,5868
feel,0.000095,7,6172
take,0.000089,1,2211
even,0.000075,1,1850
time,0.000068,2,2834
ai-generated,0.000000,1,374
transcript,0.000000,1,377
auto-generated,0.000000,1,374
subtitle,0.000000,1,375
video,0.000000,1,393
meditation,0.000000,6,3415
likely,0.000000,1,466
contain,0.000000,1,405
inaccuracy,0.000000,1,374
follow,0.000000,1,699
talk,0.000000,2,2392
give,0.000000,1,1870
insight,0.000000,1,1665
center,0.000000,1,1099
redwood,0.000000,1,421
city,0.000000,1,479
california,0.000000,1,432
please,0.000000,1,559
visit,0.000000,1,462
website,0.000000,1,441
www,0.000000,1,389
audiodharma,0.000000,1,389
org,0.000000,1,404
