word,tfidf_score,talk_frequency,global_frequency
suitable,0.019876,8,15
stuckness,0.019818,7,11
comprehension,0.018908,9,34
domain,0.017412,9,36
refrigerator,0.016158,6,11
non-delusion,0.015047,5,8
suitability,0.014760,4,4
juiciness,0.013043,4,7
stagnation,0.012038,4,6
purpose,0.010111,13,282
traction,0.009782,3,4
spin,0.008479,5,43
vitality,0.008128,5,54
doubt,0.007931,7,165
clark,0.007598,6,298
awful,0.007463,4,36
notebook,0.007380,2,2
quarterback,0.007380,2,2
category,0.007101,5,75
diana,0.006920,6,353
snack,0.006521,2,4
cow,0.006452,3,60
faith,0.006210,5,185
pasture,0.006019,2,4
dhammas,0.006019,2,7
ask,0.006018,15,699
complain,0.005698,3,42
metabolize,0.005662,2,7
revisit,0.005662,2,5
vacillation,0.005386,2,11
cushion,0.005245,5,116
anywhere,0.005219,4,65
linear,0.005160,2,8
co-worker,0.005160,2,7
distract,0.005134,6,156
answer,0.005103,7,254
nourish,0.005034,5,127
engage,0.004957,8,332
pound,0.004803,2,11
figuratively,0.004803,2,9
aren't,0.004799,5,136
investigation,0.004687,3,65
softness,0.004687,3,38
netflix,0.004658,2,12
coach,0.004527,2,16
recognize,0.004386,12,670
question,0.004346,11,863
loneliness,0.004301,2,31
hang,0.004196,4,103
questioner,0.004123,3,242
energy,0.004099,7,443
step,0.004065,8,432
disconnect,0.004037,3,94
scenario,0.004025,2,17
commentary,0.003914,3,87
door,0.003870,4,155
clarity,0.003861,5,256
align,0.003836,3,83
hindrance,0.003691,3,198
vicikiccha,0.003690,1,1
janna,0.003690,1,1
nana,0.003690,1,1
pa,0.003690,1,1
sati-sampajanna,0.003690,1,1
in-the-background,0.003690,1,1
aining,0.003690,1,1
aloe,0.003690,1,1
vera,0.003690,1,1
gocara,0.003690,1,1
story-ness,0.003690,1,1
re-engaged,0.003690,1,1
non-stuckness,0.003690,1,1
interception,0.003690,1,1
beat,0.003668,2,42
cook,0.003608,2,33
absolute,0.003442,2,30
stick,0.003423,4,193
instead,0.003382,7,463
clear,0.003344,10,581
tenderness,0.003343,2,58
somebody,0.003323,4,354
control,0.003323,4,282
approach,0.003298,4,281
cultivate,0.003278,5,465
sleeve,0.003261,1,2
sam,0.003261,1,2
inventory,0.003261,1,2
cliche,0.003261,1,4
coconut,0.003261,1,2
clear-cut,0.003261,1,3
show,0.003190,7,553
ago,0.003142,5,272
amount,0.003111,4,177
spend,0.003070,6,301
front,0.003070,3,116
example,0.003027,6,380
sadness,0.003011,2,62
backstory,0.003009,1,3
impulsively,0.003009,1,3
remembrance,0.003009,1,4
lever,0.003009,1,3
smack,0.003009,1,3
grandkids,0.003009,1,3
reservation,0.002831,1,7
