word,tfidf_score,talk_frequency,global_frequency
poetry,0.031781,12,93
cassette,0.026410,5,5
vein,0.021497,5,8
poem,0.021296,14,393
carpathios,0.021128,4,4
wordy,0.021128,4,4
embellishment,0.021128,4,4
blackness,0.021128,4,4
knuckle,0.021128,4,4
radio,0.019335,6,19
pavement,0.018648,4,5
neil,0.017198,4,8
orange,0.017198,4,6
stubborn,0.017198,4,6
blue,0.015615,6,68
crow,0.015370,4,16
song,0.014207,6,49
perfection,0.014011,5,30
silly,0.012586,5,30
exaggerate,0.012549,4,16
car,0.011660,7,135
wheel,0.011508,5,62
wet,0.011439,4,29
undistracted,0.011038,3,17
dignity,0.010992,4,26
hair,0.010787,4,24
disconnect,0.009802,5,85
grip,0.009471,4,50
dullness,0.009412,3,23
red,0.009336,4,46
color,0.009206,4,62
phone,0.009081,4,61
wash,0.008729,4,51
tyranny,0.008599,2,4
autopilot,0.008599,2,4
drag,0.008580,3,25
skin,0.008408,4,61
rain,0.008307,4,82
line,0.008078,7,215
dark,0.008021,4,57
window,0.007842,4,71
smell,0.007756,4,78
perfect,0.007540,5,123
leaf,0.007353,4,63
aliveness,0.007278,4,84
break,0.007032,6,185
everyday,0.006905,3,38
era,0.006844,2,9
enliven,0.006844,2,10
otherwise,0.006479,4,93
uncomfortableness,0.006445,2,18
old,0.005997,5,198
connect,0.005778,11,654
energize,0.005720,2,25
tree,0.005587,4,196
punctuation,0.005282,1,1
infotainment,0.005282,1,1
10-foot,0.005282,1,1
sens,0.005244,3,139
inhabit,0.005035,2,31
tune,0.004729,3,124
arrangement,0.004662,1,3
priceless,0.004662,1,2
low-grade,0.004662,1,2
lawfulness,0.004662,1,3
notice,0.004559,12,1188
beauty,0.004524,3,165
busy,0.004485,3,93
independent,0.004480,2,49
content,0.004370,3,164
windshield,0.004299,1,5
ooey-gooey,0.004299,1,3
oppressive,0.004299,1,4
encourage,0.004297,3,120
type,0.004297,3,178
tiny,0.004256,2,49
prose,0.004042,1,7
buttock,0.004042,1,4
medium,0.003965,2,78
intimate,0.003965,2,53
external,0.003965,2,69
power,0.003863,3,215
connectedness,0.003843,1,7
shield,0.003843,1,5
ordinariness,0.003843,1,6
sensitization,0.003843,1,5
start,0.003740,23,1483
painful,0.003602,2,98
