word,tfidf_score,talk_frequency,global_frequency
poetry,0.051303,21,98
billy,0.049769,11,12
collins,0.045898,11,13
poem,0.043522,30,341
hose,0.025035,6,8
waterski,0.020505,4,4
beating,0.019927,6,16
confession,0.016690,4,6
laureate,0.016690,4,6
hive,0.015379,3,3
waterskiing,0.015379,3,3
waving,0.014916,4,11
mouse,0.013573,3,9
rope,0.012875,4,17
ada,0.012518,3,7
limón,0.012518,3,7
probe,0.011768,3,7
torture,0.011768,3,6
poet,0.011416,6,82
press,0.011187,3,13
figuring,0.010469,4,23
author,0.010077,5,47
unhelpful,0.009618,4,48
writes,0.009470,4,36
figure,0.008960,8,195
walls,0.008699,3,21
tie,0.008506,3,17
helpful,0.008480,11,561
malleability,0.008345,2,5
shimmer,0.008345,2,4
hammer,0.008345,2,5
harassed,0.008345,2,6
bob,0.008345,2,4
koans,0.008345,2,4
color,0.008158,3,37
ear,0.008158,3,28
united,0.008062,4,46
surface,0.007869,6,151
title,0.007784,4,47
shore,0.007711,3,101
stepping,0.007445,4,78
switch,0.007329,3,27
limits,0.007213,3,42
canoe,0.007142,2,13
slide,0.007102,3,56
commitment,0.006701,3,47
light,0.006449,8,402
flexibility,0.006438,2,10
drop,0.006248,5,164
offers,0.006195,3,40
brains,0.006089,2,18
professor,0.005671,2,18
across,0.005655,4,149
topics,0.005551,2,28
presented,0.005334,2,22
gloves,0.005126,1,1
shimmers,0.005126,1,1
chuckle,0.005126,1,1
hospitable,0.005126,1,1
nudges,0.005126,1,1
harangued,0.005126,1,1
boldly,0.005126,1,1
teresa,0.005126,1,1
cousins,0.005126,1,1
waterskied,0.005126,1,1
recognize,0.005083,7,404
noticing,0.004962,5,329
poems,0.004886,2,71
ask,0.004816,5,285
type,0.004804,3,109
trap,0.004735,2,37
touching,0.004673,3,88
tubes,0.004524,1,2
shimmering,0.004524,1,2
whimsy,0.004524,1,2
universities,0.004524,1,2
arguably,0.004524,1,3
butterflies,0.004524,1,2
trained,0.004467,2,42
religion,0.004467,2,77
lines,0.004406,2,45
watch,0.004390,3,115
chair,0.004390,3,97
media,0.004348,2,60
tightness,0.004315,3,113
thoughts,0.004252,12,1192
solve,0.004235,2,60
laboratory,0.004173,1,3
chord,0.004173,1,3
armored,0.004173,1,3
kitten,0.004173,1,3
riddle,0.004173,1,3
name,0.004121,4,217
introduction,0.004078,8,276
engage,0.004067,3,133
pointing,0.004067,3,155
rich,0.004031,2,48
nails,0.003923,1,4
rewarded,0.003923,1,4
format,0.003923,1,4
podcasts,0.003923,1,4
consuming,0.003923,1,4
